,Product,Manufacturer,Architecture,Released,BUS,Memory,GPU.Clock,Memory.Clock,Shaders.TMUs.ROPs,Production.Status
625,Mobility Radeon HD 5670 Mac Edition,ATI,Madison,"Apr 22nd, 2010",PCIe 2.0 x16,"512 MB, GDDR3, 128 bit",650 MHz,795 MHz,400 / 20 / 8,End-of-life
626,Mobility Radeon HD 5730,ATI,Madison,"Jan 7th, 2010",PCIe 2.0 x16,"1024 MB, GDDR3, 128 bit",650 MHz,800 MHz,400 / 20 / 8,End-of-life
627,Mobility Radeon HD 5750,ATI,Madison,"Jan 7th, 2010",PCIe 2.0 x16,"1024 MB, GDDR5, 128 bit",550 MHz,800 MHz,400 / 20 / 8,End-of-life
628,Mobility Radeon HD 5770,ATI,Madison,"Jan 7th, 2010",PCIe 2.0 x16,"1024 MB, GDDR5, 128 bit",650 MHz,800 MHz,400 / 20 / 8,End-of-life
629,Mobility Radeon HD 5830,ATI,Broadway,"Jan 7th, 2010",PCIe 2.0 x16,"1024 MB, GDDR3, 128 bit",500 MHz,800 MHz,800 / 40 / 16,End-of-life
630,Mobility Radeon HD 5850,ATI,Broadway,"Jan 7th, 2010",PCIe 2.0 x16,"1024 MB, GDDR5, 128 bit",500 MHz,1000 MHz,800 / 40 / 16,End-of-life
631,Mobility Radeon HD 5850 Mac Edition,ATI,Broadway,"Jan 7th, 2010",MXM-B (3.0),"1024 MB, GDDR5, 128 bit",628 MHz,1000 MHz,800 / 40 / 16,End-of-life
632,Mobility Radeon HD 5870,ATI,Broadway,"Jan 7th, 2010",MXM-B (3.0),"1024 MB, GDDR5, 128 bit",700 MHz,1000 MHz,800 / 40 / 16,End-of-life
633,Radeon HD 3570,ATI,RV620,"Jul 5th, 2010",PCIe 2.0 x16,"512 MB, DDR2, 64 bit",796 MHz,495 MHz,40 / 4 / 4,End-of-life
634,Radeon HD 4250 IGP,ATI,RS880,"Mar 1st, 2010",PCIe 1.0 x16,System Shared,560 MHz,System Shared,40 / 4 / 4,End-of-life
635,Radeon HD 4290 IGP,ATI,RS880,"Mar 1st, 2010",PCIe 1.0 x16,System Shared,500 MHz,System Shared,40 / 4 / 4,End-of-life
636,Radeon HD 4700,ATI,RV730,"Feb 11th, 2010",PCIe 2.0 x16,"512 MB, DDR2, 128 bit",600 MHz,400 MHz,320 / 32 / 8,End-of-life
637,Radeon HD 4855,ATI,RV770,"Jan 3rd, 2010",PCIe 2.0 x16,"512 MB, GDDR5, 256 bit",575 MHz,900 MHz,640 / 32 / 16,End-of-life
638,Radeon HD 5450,ATI,Cedar,"Feb 4th, 2010",PCIe 2.0 x16,"512 MB, DDR2, 64 bit",650 MHz,400 MHz,80 / 8 / 4,End-of-life
639,Radeon HD 5450 PCI,ATI,Cedar,"Feb 4th, 2010",PCI,"512 MB, DDR2, 64 bit",650 MHz,333 MHz,80 / 8 / 4,End-of-life
640,Radeon HD 5450 PCIe x1,ATI,Cedar,"Feb 4th, 2010",PCIe 2.0 x1,"512 MB, DDR3, 64 bit",650 MHz,500 MHz,80 / 8 / 4,End-of-life
641,Radeon HD 5550,ATI,Redwood,"Feb 9th, 2010",PCIe 2.0 x16,"512 MB, GDDR5, 128 bit",550 MHz,800 MHz,320 / 16 / 8,End-of-life
642,Radeon HD 5570,ATI,Redwood,"Feb 9th, 2010",PCIe 2.0 x16,"1024 MB, GDDR3, 128 bit",650 MHz,800 MHz,400 / 20 / 8,End-of-life
643,Radeon HD 5570,ATI,Pinewood,"Feb 9th, 2010",PCIe 2.0 x16,"1024 MB, GDDR5, 128 bit",625 MHz,800 MHz,400 / 20 / 8,End-of-life
644,Radeon HD 5570 OEM,ATI,Redwood,"Feb 9th, 2010",PCIe 2.0 x16,"1024 MB, GDDR3, 128 bit",550 MHz,667 MHz,320 / 16 / 8,End-of-life
645,Radeon HD 5670,ATI,Redwood,"Jan 14th, 2010",PCIe 2.0 x16,"1024 MB, GDDR5, 128 bit",775 MHz,1000 MHz,400 / 20 / 8,End-of-life
646,Radeon HD 5670 640SP Edition,ATI,Juniper,"Jul 18th, 2010",PCIe 2.0 x16,"512 MB, GDDR5, 128 bit",750 MHz,1000 MHz,640 / 32 / 8,End-of-life
647,Radeon HD 5770 Mac Edition,ATI,Juniper,"Jul 4th, 2010",PCIe 2.0 x16,"1024 MB, GDDR5, 128 bit",850 MHz,1195 MHz,800 / 40 / 16,End-of-life
648,Radeon HD 5770 X2,ATI,Juniper,"Oct 13th, 2010",PCIe 2.0 x16,"1024 MB, GDDR5, 128 bit",850 MHz,1200 MHz,800 / 40 / 16,End-of-life
649,Radeon HD 5830,ATI,Cypress,"Feb 25th, 2010",PCIe 2.0 x16,"1024 MB, GDDR5, 256 bit",800 MHz,1000 MHz,1120 / 56 / 16,End-of-life
650,Radeon HD 5870 Eyefinity 6,ATI,Cypress,"Mar 11th, 2010",PCIe 2.0 x16,"2 GB, GDDR5, 256 bit",850 MHz,1200 MHz,1600 / 80 / 32,End-of-life
651,Radeon HD 5870 Mac Edition,ATI,Cypress,"Jun 30th, 2010",PCIe 2.0 x16,"1024 MB, GDDR5, 256 bit",850 MHz,1195 MHz,1600 / 80 / 32,End-of-life
652,Xbox 360 S GPU,ATI,Xenos Vejle,"Jun 19th, 2010",IGP,"512 MB, GDDR3, 128 bit",500 MHz,700 MHz,240 / 16 / 8,End-of-life
653,FirePro 2450 Multi-View,ATI,RV620,2009,PCIe 2.0 x16,"256 MB, DDR3, 64 bit",400 MHz,400 MHz,40 / 4 / 4,End-of-life
654,FirePro 2450 Multi-View PCIe x1,ATI,RV620,2009,PCIe 2.0 x1,"256 MB, DDR3, 64 bit",400 MHz,400 MHz,40 / 4 / 4,End-of-life
655,FirePro M5725,ATI,M96,"Jan 9th, 2009",PCIe 2.0 x16,"512 MB, GDDR3, 128 bit",675 MHz,800 MHz,320 / 32 / 8,End-of-life
656,FirePro M7740,ATI,M97,"Aug 4th, 2009",PCIe 2.0 x16,"1024 MB, GDDR5, 128 bit",650 MHz,846 MHz,640 / 32 / 16,End-of-life
657,FirePro V7750,ATI,RV730,"Mar 27th, 2009",PCIe 2.0 x16,"1024 MB, GDDR3, 128 bit",800 MHz,900 MHz,320 / 32 / 8,End-of-life
658,Mobility FireGL V5725,ATI,M86,2009,PCIe 2.0 x16,"256 MB, GDDR3, 128 bit",680 MHz,800 MHz,120 / 8 / 4,End-of-life
659,Mobility Radeon HD 4100 IGP,ATI,RS880,"Nov 1st, 2009",PCIe 1.0 x16,System Shared,400 MHz,System Shared,40 / 4 / 4,End-of-life
660,Mobility Radeon HD 4200 IGP,ATI,RS880,"Sep 10th, 2009",PCIe 1.0 x16,System Shared,500 MHz,System Shared,40 / 4 / 4,End-of-life
661,Mobility Radeon HD 4330,ATI,M92,"Jan 9th, 2009",PCIe 2.0 x16,"512 MB, GDDR3, 64 bit",450 MHz,600 MHz,80 / 8 / 4,End-of-life
662,Mobility Radeon HD 4350,ATI,M93,"Jan 9th, 2009",PCIe 2.0 x16,"512 MB, GDDR3, 64 bit",450 MHz,800 MHz,80 / 8 / 4,End-of-life
663,Mobility Radeon HD 4530,ATI,M92,"Jan 9th, 2009",MXM-II,"512 MB, GDDR3, 64 bit",500 MHz,700 MHz,80 / 8 / 4,End-of-life
664,Mobility Radeon HD 4570,ATI,M92,"Jan 9th, 2009",MXM-II,"512 MB, GDDR3, 64 bit",680 MHz,800 MHz,80 / 8 / 4,End-of-life
665,Mobility Radeon HD 4650,ATI,M96,"Jan 9th, 2009",PCIe 2.0 x16,"1024 MB, GDDR3, 128 bit",550 MHz,667 MHz,320 / 32 / 8,End-of-life
666,Mobility Radeon HD 4670,ATI,M96,"Jan 9th, 2009",MXM-A (3.0),"512 MB, GDDR3, 128 bit",675 MHz,800 MHz,320 / 32 / 8,End-of-life
667,Mobility Radeon HD 4670 Mac Edition,ATI,M96,"Sep 16th, 2009",MXM-A (3.0),"256 MB, GDDR3, 128 bit",680 MHz,790 MHz,320 / 32 / 8,End-of-life
668,Mobility Radeon HD 4830,ATI,M97,"Mar 3rd, 2009",PCIe 2.0 x16,"1024 MB, GDDR3, 128 bit",500 MHz,800 MHz,640 / 32 / 16,End-of-life
669,Mobility Radeon HD 4850,ATI,M98,"Jan 9th, 2009",PCIe 2.0 x16,"1024 MB, GDDR3, 256 bit",503 MHz,850 MHz,800 / 40 / 16,End-of-life
670,Mobility Radeon HD 4850 Mac Edition,ATI,M98,"Aug 28th, 2009",MXM-B (3.0),"512 MB, GDDR3, 256 bit",503 MHz,850 MHz,800 / 40 / 16,End-of-life
671,Mobility Radeon HD 4850 X2,ATI,M98,"Jan 9th, 2009",PCIe 2.0 x16,"1024 MB, GDDR5, 256 bit",500 MHz,700 MHz,800 / 40 / 16,End-of-life
672,Mobility Radeon HD 4860,ATI,M97,"Mar 3rd, 2009",PCIe 2.0 x16,"1024 MB, GDDR5, 128 bit",650 MHz,1000 MHz,640 / 32 / 16,End-of-life
673,Mobility Radeon HD 4870,ATI,M98,"Jan 9th, 2009",PCIe 2.0 x16,"512 MB, GDDR3, 256 bit",550 MHz,888 MHz,800 / 40 / 16,End-of-life
674,Mobility Radeon HD 4870 X2,ATI,M98,"Jan 9th, 2009",PCIe 2.0 x16,"1024 MB, GDDR5, 256 bit",550 MHz,700 MHz,800 / 40 / 16,End-of-life
675,Radeon 3000 IGP,ATI,RS780,2009,PCIe 1.0 x16,System Shared,350 MHz,System Shared,40 / 4 / 4,End-of-life
676,Radeon E4690 MXM,ATI,M96,"Jun 1st, 2009",MXM-II,"512 MB, GDDR3, 128 bit",600 MHz,700 MHz,320 / 32 / 8,End-of-life
677,Radeon E4690 MXM,ATI,M96,"Jun 1st, 2009",MXM-A (3.0),"512 MB, GDDR3, 128 bit",600 MHz,700 MHz,320 / 32 / 8,End-of-life
678,Radeon E4690 PCIe,ATI,M96,"Jun 1st, 2009",PCIe 2.0 x16,"512 MB, GDDR3, 128 bit",600 MHz,700 MHz,320 / 32 / 8,End-of-life
679,Radeon HD 3200 Mobile IGP,ATI,RS780,"Nov 1st, 2009",PCIe 1.0 x16,System Shared,380 MHz,System Shared,40 / 4 / 4,End-of-life
680,Radeon HD 3410,ATI,RV610,"May 7th, 2009",PCIe 1.0 x16,"256 MB, DDR2, 64 bit",519 MHz,396 MHz,40 / 4 / 4,End-of-life
681,Radeon HD 3610,ATI,RV630,"Sep 24th, 2009",PCIe 1.0 x16,"512 MB, DDR2, 128 bit",594 MHz,396 MHz,120 / 8 / 4,End-of-life
682,Radeon HD 4200 IGP,ATI,RS880,"Aug 1st, 2009",PCIe 1.0 x16,System Shared,500 MHz,System Shared,40 / 4 / 4,End-of-life
683,Radeon HD 4250,ATI,RV620,"Feb 25th, 2009",PCIe 2.0 x16,"512 MB, DDR2, 64 bit",594 MHz,396 MHz,40 / 4 / 4,End-of-life
684,Radeon HD 4520,ATI,RV710,"Dec 2nd, 2009",PCIe 2.0 x16,"512 MB, DDR2, 64 bit",600 MHz,400 MHz,80 / 8 / 4,End-of-life
685,Radeon HD 4570 Rebrand,ATI,RV635,"Nov 22nd, 2009",PCIe 2.0 x16,"1024 MB, DDR2, 128 bit",796 MHz,396 MHz,120 / 8 / 4,End-of-life
686,Radeon HD 4670 AGP,ATI,RV730,"Jul 17th, 2009",AGP 8x,"1024 MB, GDDR3, 128 bit",750 MHz,800 MHz,320 / 32 / 8,End-of-life
687,Radeon HD 4730,ATI,RV770,"Jun 8th, 2009",PCIe 2.0 x16,"512 MB, GDDR5, 128 bit",750 MHz,900 MHz,640 / 32 / 8,End-of-life
688,Radeon HD 4750,ATI,RV740,"Sep 9th, 2009",PCIe 2.0 x16,"512 MB, GDDR5, 128 bit",730 MHz,800 MHz,640 / 32 / 16,End-of-life
689,Radeon HD 4770,ATI,RV740,"Apr 28th, 2009",PCIe 2.0 x16,"512 MB, GDDR5, 128 bit",750 MHz,800 MHz,640 / 32 / 16,End-of-life
690,Radeon HD 4810,ATI,RV770,"May 28th, 2009",PCIe 2.0 x16,"512 MB, GDDR5, 128 bit",625 MHz,900 MHz,640 / 32 / 8,End-of-life
691,Radeon HD 4860,ATI,RV790,"Sep 9th, 2009",PCIe 2.0 x16,"512 MB, GDDR5, 256 bit",700 MHz,750 MHz,640 / 32 / 16,End-of-life
692,Radeon HD 4870 Mac Edition,ATI,RV770,"Jan 6th, 2009",PCIe 2.0 x16,"512 MB, GDDR5, 256 bit",750 MHz,850 MHz,800 / 40 / 16,End-of-life
693,Radeon HD 4890,ATI,RV790,"Apr 2nd, 2009",PCIe 2.0 x16,"1024 MB, GDDR5, 256 bit",850 MHz,975 MHz,800 / 40 / 16,End-of-life
694,Radeon HD 5750,ATI,Juniper,"Oct 13th, 2009",PCIe 2.0 x16,"1024 MB, GDDR5, 128 bit",700 MHz,1150 MHz,720 / 36 / 16,End-of-life
695,Radeon HD 5770,ATI,Juniper,"Oct 13th, 2009",PCIe 2.0 x16,"1024 MB, GDDR5, 128 bit",850 MHz,1200 MHz,800 / 40 / 16,End-of-life
696,Radeon HD 5850,ATI,Cypress,"Sep 30th, 2009",PCIe 2.0 x16,"1024 MB, GDDR5, 256 bit",725 MHz,1000 MHz,1440 / 72 / 32,End-of-life
697,Radeon HD 5870,ATI,Cypress,"Sep 23rd, 2009",PCIe 2.0 x16,"1024 MB, GDDR5, 256 bit",850 MHz,1200 MHz,1600 / 80 / 32,End-of-life
698,Radeon HD 5950,ATI,Hemlock,Never Released,PCIe 2.0 x16,"1024 MB, GDDR5, 256 bit",725 MHz,1000 MHz,1440 / 72 / 32,End-of-life
699,Radeon HD 5970,ATI,Hemlock,"Nov 18th, 2009",PCIe 2.0 x16,"1024 MB, GDDR5, 256 bit",725 MHz,1000 MHz,1600 / 80 / 32,End-of-life
700,All-In-Wonder HD 3650,ATI,RV635,"Jun 28th, 2008",PCIe 2.0 x16,"512 MB, DDR2, 128 bit",725 MHz,600 MHz,120 / 8 / 4,End-of-life
701,FireMV 2260,ATI,RV620,2008,PCIe 2.0 x16,"256 MB, DDR2, 64 bit",500 MHz,500 MHz,40 / 4 / 4,End-of-life
702,FireMV 2260 PCIe x1,ATI,RV620,2008,PCIe 2.0 x1,"256 MB, DDR2, 64 bit",500 MHz,500 MHz,40 / 4 / 4,End-of-life
703,FireMV 2400 PCI,ATI,RV380,2008,PCI,"128 MB, DDR, 128 bit",500 MHz,500 MHz,4 / 2 / 4 / 4,End-of-life
704,FireMV 2400 PCIe x1,ATI,RV380,2008,PCIe 2.0 x1,"64 MB, DDR3, 128 bit",250 MHz,203 MHz,4 / 2 / 4 / 4,End-of-life
705,FirePro 2260 PCI,ATI,RV620,2008,PCI,"256 MB, DDR2, 64 bit",500 MHz,500 MHz,40 / 4 / 4,End-of-life
706,FirePro V3700,ATI,RV620,"Aug 8th, 2008",PCIe 2.0 x16,"256 MB, GDDR3, 64 bit",800 MHz,950 MHz,40 / 4 / 4,End-of-life
707,FirePro V3750,ATI,RV730,"Sep 11th, 2008",PCIe 2.0 x16,"256 MB, GDDR3, 128 bit",550 MHz,700 MHz,320 / 32 / 8,End-of-life
708,FirePro V5700,ATI,RV730,"Aug 8th, 2008",PCIe 2.0 x16,"512 MB, GDDR3, 128 bit",700 MHz,900 MHz,320 / 32 / 8,End-of-life
709,FirePro V8700,ATI,RV770,"Sep 11th, 2008",PCIe 2.0 x16,"1024 MB, GDDR5, 256 bit",750 MHz,850 MHz,800 / 40 / 16,End-of-life
710,FirePro V8700 Duo,ATI,RV770,Never Released,PCIe 2.0 x16,"1024 MB, GDDR5, 256 bit",750 MHz,850 MHz,800 / 40 / 16,End-of-life
711,FirePro V8750,ATI,RV770,"Jul 28th, 2008",PCIe 2.0 x16,"2 GB, GDDR5, 256 bit",750 MHz,900 MHz,800 / 40 / 16,End-of-life
712,Mobility FireGL V5700,ATI,M86,"Jan 7th, 2008",PCIe 2.0 x16,"512 MB, GDDR3, 128 bit",600 MHz,700 MHz,120 / 8 / 4,End-of-life
713,Mobility Radeon HD 3410,ATI,M82,"Jul 25th, 2008",MXM-II,"256 MB, DDR2, 64 bit",400 MHz,400 MHz,40 / 4 / 4,End-of-life
714,Mobility Radeon HD 3430,ATI,M82,"Jul 25th, 2008",MXM-II,"256 MB, DDR2, 64 bit",450 MHz,400 MHz,40 / 4 / 4,End-of-life
715,Mobility Radeon HD 3450,ATI,M82,"Jan 7th, 2008",MXM-II,"256 MB, DDR2, 64 bit",500 MHz,400 MHz,40 / 4 / 4,End-of-life
716,Mobility Radeon HD 3470,ATI,M82,"Jan 7th, 2008",MXM-II,"256 MB, DDR2, 64 bit",680 MHz,400 MHz,40 / 4 / 4,End-of-life
717,Mobility Radeon HD 3650,ATI,M86,"Jan 7th, 2008",MXM-II,"512 MB, GDDR3, 128 bit",500 MHz,700 MHz,120 / 8 / 4,End-of-life
718,Mobility Radeon HD 3670,ATI,M86,"Jan 7th, 2008",MXM-II,"256 MB, GDDR3, 128 bit",680 MHz,800 MHz,120 / 8 / 4,End-of-life
719,Mobility Radeon HD 3850,ATI,M88,"Jun 4th, 2008",PCIe 2.0 x16,"512 MB, GDDR3, 256 bit",580 MHz,750 MHz,320 / 16 / 16,End-of-life
720,Mobility Radeon HD 3850 X2,ATI,M88,"Jun 4th, 2008",PCIe 2.0 x16,"512 MB, GDDR3, 256 bit",580 MHz,750 MHz,320 / 16 / 16,End-of-life
721,Mobility Radeon HD 3870,ATI,M88,"Jun 4th, 2008",PCIe 2.0 x16,"512 MB, GDDR3, 256 bit",660 MHz,850 MHz,320 / 16 / 16,End-of-life
722,Mobility Radeon HD 3870 X2,ATI,M88,"Sep 1st, 2008",PCIe 2.0 x16,"512 MB, GDDR3, 256 bit",660 MHz,850 MHz,320 / 16 / 16,End-of-life
723,Radeon 2100 IGP,ATI,RS740,"Mar 4th, 2008",PCIe 1.0 x16,System Shared,400 MHz,System Shared,4 / 2 / 4 / 4,End-of-life
724,Radeon 3100 IGP,ATI,RS780,"Mar 4th, 2008",PCIe 1.0 x16,System Shared,350 MHz,System Shared,40 / 4 / 4,End-of-life
725,Radeon 3100 Mobile IGP,ATI,RS780,"Aug 15th, 2008",PCIe 1.0 x16,System Shared,350 MHz,System Shared,40 / 4 / 4,End-of-life
726,Radeon HD 2400,ATI,RV610,"Feb 19th, 2008",PCIe 1.0 x16,"256 MB, DDR2, 64 bit",398 MHz,495 MHz,40 / 4 / 4,End-of-life
727,Radeon HD 2600 XT Mac Edition,ATI,RV630,"Feb 21st, 2008",PCIe 1.0 x16,"256 MB, GDDR3, 128 bit",700 MHz,800 MHz,120 / 8 / 4,End-of-life
728,Radeon HD 3200 IGP,ATI,RS780,"Mar 4th, 2008",PCIe 1.0 x16,System Shared,500 MHz,System Shared,40 / 4 / 4,End-of-life
729,Radeon HD 3300 IGP,ATI,RS780,"Aug 6th, 2008",PCIe 1.0 x16,System Shared,500 MHz,System Shared,40 / 4 / 4,End-of-life
730,Radeon HD 3450 AGP,ATI,RV620,"Jan 23rd, 2008",AGP 8x,"512 MB, DDR2, 64 bit",600 MHz,500 MHz,40 / 4 / 4,End-of-life
731,Radeon HD 3450 PCI,ATI,RV620,"Jan 23rd, 2008",PCI,"512 MB, DDR2, 64 bit",600 MHz,400 MHz,40 / 4 / 4,End-of-life
732,Radeon HD 3470,ATI,RV620,"Jan 23rd, 2008",PCIe 2.0 x16,"256 MB, GDDR3, 64 bit",800 MHz,950 MHz,40 / 4 / 4,End-of-life
733,Radeon HD 3550,ATI,RV620,"Aug 4th, 2008",PCIe 2.0 x16,"512 MB, DDR2, 64 bit",594 MHz,396 MHz,40 / 4 / 4,End-of-life
734,Radeon HD 3650,ATI,RV635,"Jan 20th, 2008",PCIe 2.0 x16,"256 MB, GDDR3, 128 bit",725 MHz,800 MHz,120 / 8 / 4,End-of-life
735,Radeon HD 3650 AGP,ATI,RV635,"Jan 23rd, 2008",AGP 8x,"512 MB, DDR2, 128 bit",725 MHz,500 MHz,120 / 8 / 4,End-of-life
736,Radeon HD 3690,ATI,RV670,"Mar 30th, 2008",PCIe 2.0 x16,"256 MB, GDDR3, 128 bit",670 MHz,830 MHz,320 / 16 / 16,End-of-life
737,Radeon HD 3730,ATI,RV635,"Oct 5th, 2008",PCIe 2.0 x16,"512 MB, DDR2, 128 bit",722 MHz,396 MHz,120 / 8 / 4,End-of-life
738,Radeon HD 3750,ATI,RV635,"Sep 11th, 2008",PCIe 2.0 x16,"512 MB, GDDR3, 128 bit",796 MHz,693 MHz,120 / 8 / 4,End-of-life
739,Radeon HD 3830,ATI,RV670,"Apr 1st, 2008",PCIe 2.0 x16,"256 MB, GDDR3, 128 bit",668 MHz,828 MHz,320 / 16 / 16,End-of-life
740,Radeon HD 3850 AGP,ATI,RV670,"Jan 3rd, 2008",AGP 8x,"512 MB, GDDR3, 256 bit",668 MHz,828 MHz,320 / 16 / 16,End-of-life
741,Radeon HD 3850 X2,ATI,RV670,"Apr 4th, 2008",PCIe 2.0 x16,"512 MB, GDDR3, 256 bit",669 MHz,828 MHz,320 / 16 / 16,End-of-life
742,Radeon HD 3850 X3,ATI,RV670,Never Released,PCIe 2.0 x16,"512 MB, GDDR3, 256 bit",669 MHz,850 MHz,320 / 16 / 16,End-of-life
743,Radeon HD 3870 Mac Edition,ATI,RV670,"Jun 12th, 2008",PCIe 2.0 x16,"512 MB, GDDR4, 256 bit",777 MHz,1126 MHz,320 / 16 / 16,End-of-life
744,Radeon HD 3870 X2,ATI,R680,"Jan 26th, 2008",PCIe 2.0 x16,"512 MB, GDDR3, 256 bit",825 MHz,901 MHz,320 / 16 / 16,End-of-life
745,Radeon HD 4350,ATI,RV710,"Sep 30th, 2008",PCIe 2.0 x16,"512 MB, DDR3, 64 bit",600 MHz,400 MHz,80 / 8 / 4,End-of-life
746,Radeon HD 4350 AGP,ATI,RV710,"Sep 30th, 2008",AGP 8x,"512 MB, DDR3, 64 bit",600 MHz,650 MHz,80 / 8 / 4,End-of-life
747,Radeon HD 4350 PCI,ATI,RV710,"Sep 30th, 2008",PCI,"512 MB, DDR2, 64 bit",600 MHz,400 MHz,80 / 8 / 4,End-of-life
748,Radeon HD 4350 PCIe x1,ATI,RV710,"Sep 30th, 2008",PCIe 2.0 x1,"512 MB, DDR2, 64 bit",600 MHz,400 MHz,80 / 8 / 4,End-of-life
749,Radeon HD 4550,ATI,RV710,"Sep 30th, 2008",PCIe 2.0 x16,"256 MB, DDR2, 64 bit",600 MHz,655 MHz,80 / 8 / 4,End-of-life
750,Radeon HD 4570,ATI,RV710,"Nov 25th, 2008",PCIe 2.0 x16,"1024 MB, DDR2, 64 bit",650 MHz,500 MHz,80 / 8 / 4,End-of-life
751,Radeon HD 4650,ATI,RV730,"Sep 10th, 2008",PCIe 2.0 x16,"256 MB, GDDR3, 128 bit",600 MHz,700 MHz,320 / 32 / 8,End-of-life
752,Radeon HD 4650 AGP,ATI,RV730,"Sep 10th, 2008",AGP 8x,"512 MB, DDR2, 128 bit",600 MHz,400 MHz,320 / 32 / 8,End-of-life
753,Radeon HD 4670,ATI,RV730,"Sep 10th, 2008",PCIe 2.0 x16,"512 MB, GDDR3, 128 bit",750 MHz,1000 MHz,320 / 32 / 8,End-of-life
754,Radeon HD 4670 X2,ATI,RV730,"Sep 10th, 2008",PCIe 2.0 x16,"512 MB, GDDR3, 128 bit",750 MHz,700 MHz,320 / 32 / 8,End-of-life
755,Radeon HD 4710,ATI,RV730,"Sep 10th, 2008",PCIe 2.0 x16,"1024 MB, GDDR3, 128 bit",750 MHz,800 MHz,320 / 32 / 8,End-of-life
756,Radeon HD 4730 OEM,ATI,RV670,"Dec 26th, 2008",PCIe 2.0 x16,"1024 MB, DDR2, 256 bit",669 MHz,396 MHz,320 / 16 / 16,End-of-life
757,Radeon HD 4830,ATI,RV770,"Oct 21st, 2008",PCIe 2.0 x16,"512 MB, GDDR3, 256 bit",575 MHz,900 MHz,640 / 32 / 16,End-of-life
758,Radeon HD 4850,ATI,RV770,"Jun 25th, 2008",PCIe 2.0 x16,"512 MB, GDDR3, 256 bit",625 MHz,993 MHz,800 / 40 / 16,End-of-life
759,Radeon HD 4850 X2,ATI,R700,"Nov 7th, 2008",PCIe 2.0 x16,"512 MB, GDDR3, 256 bit",625 MHz,995 MHz,800 / 40 / 16,End-of-life
760,Radeon HD 4870,ATI,RV770,"Jun 25th, 2008",PCIe 2.0 x16,"512 MB, GDDR5, 256 bit",750 MHz,900 MHz,800 / 40 / 16,End-of-life
761,Radeon HD 4870 X2,ATI,R700,"Aug 12th, 2008",PCIe 2.0 x16,"1024 MB, GDDR5, 256 bit",750 MHz,900 MHz,800 / 40 / 16,End-of-life
762,Radeon X1050,ATI,RV410,"Jan 25th, 2008",PCIe 1.0 x16,"128 MB, DDR, 64 bit",400 MHz,200 MHz,8 / 6 / 8 / 8,End-of-life
763,Radeon Xpress 2100 IGP,ATI,RS780,"Mar 4th, 2008",PCIe 1.0 x16,System Shared,500 MHz,System Shared,40 / 4 / 4,End-of-life
764,Xbox 360 GPU 65nm,ATI,Xenos Jasper,"Aug 1st, 2008",IGP,"512 MB, GDDR3, 128 bit",500 MHz,700 MHz,240 / 16 / 8,End-of-life
765,ES1000,ATI,ES1000,"Oct 18th, 2007",PCI,System Shared,200 MHz,System Shared,0 / 0 / 3 / 1,End-of-life
766,FireGL V3600,ATI,RV630,"Jun 28th, 2007",PCIe 1.0 x16,"256 MB, DDR2, 128 bit",600 MHz,500 MHz,120 / 8 / 4,End-of-life
767,FireGL V5600,ATI,RV630,"Aug 6th, 2007",PCIe 1.0 x16,"512 MB, GDDR4, 128 bit",800 MHz,1100 MHz,120 / 8 / 4,End-of-life
768,FireGL V7600,ATI,R600,"Aug 6th, 2007",PCIe 1.0 x16,"512 MB, GDDR3, 256 bit",600 MHz,800 MHz,320 / 16 / 16,End-of-life
769,FireGL V7700,ATI,RV670,"Nov 19th, 2007",PCIe 2.0 x16,"512 MB, GDDR4, 256 bit",777 MHz,1126 MHz,320 / 16 / 16,End-of-life
770,FireGL V8600,ATI,R600,"May 14th, 2007",PCIe 1.0 x16,"1024 MB, GDDR4, 512 bit",688 MHz,868 MHz,320 / 16 / 16,End-of-life
771,FireGL V8650,ATI,R600,"Aug 6th, 2007",PCIe 1.0 x16,"2 GB, GDDR4, 512 bit",688 MHz,868 MHz,320 / 16 / 16,End-of-life
772,FireMV 2250,ATI,RV516,2007,PCIe 1.0 x16,"256 MB, DDR2, 128 bit",600 MHz,400 MHz,4 / 2 / 4 / 4,End-of-life
773,FireMV 2250 PCIe x1,ATI,RV516,2007,PCIe 1.0 x1,"256 MB, DDR2, 128 bit",600 MHz,400 MHz,4 / 2 / 4 / 4,End-of-life
774,Mobility FireGL V5250,ATI,M66,2007,PCIe 1.0 x16,"256 MB, GDDR3, 128 bit",450 MHz,350 MHz,12 / 5 / 12 / 12,End-of-life
775,Mobility FireGL V5600,ATI,M76,"May 14th, 2007",PCIe 2.0 x16,"256 MB, GDDR3, 128 bit",500 MHz,400 MHz,120 / 8 / 4,End-of-life
776,Mobility Radeon HD 2300,ATI,M71,"Mar 1st, 2007",PCIe 1.0 x16,"128 MB, DDR2, 128 bit",480 MHz,400 MHz,4 / 2 / 4 / 4,End-of-life
777,Mobility Radeon HD 2400,ATI,M72,"May 14th, 2007",PCIe 1.0 x16,"256 MB, DDR2, 64 bit",450 MHz,400 MHz,40 / 4 / 4,End-of-life
778,Mobility Radeon HD 2400 XT,ATI,M74,"May 14th, 2007",PCIe 1.0 x16,"256 MB, DDR2, 64 bit",600 MHz,400 MHz,40 / 4 / 4,End-of-life
