,Product,Manufacturer,Architecture,Released,BUS,Memory,GPU.Clock,Memory.Clock,Shaders.TMUs.ROPs,Production.Status
126,Radeon E6465,AMD,Caicos,"Sep 29th, 2015",PCIe 2.0 x16,"2 GB, GDDR5, 64 bit",600 MHz,800 MHz,160 / 8 / 4,End-of-life
127,Radeon E8870 MXM,AMD,Saturn,"Sep 29th, 2015",MXM-B (3.0),"4 GB, GDDR5, 128 bit",1000 MHz,1500 MHz,768 / 48 / 16,End-of-life
128,Radeon E8870 PCIe,AMD,Saturn,"Sep 29th, 2015",PCIe 3.0 x16,"4 GB, GDDR5, 128 bit",1000 MHz,1500 MHz,768 / 48 / 16,End-of-life
129,Radeon E8950,AMD,Amethyst,"Sep 29th, 2015",MXM-B (3.0),"8 GB, GDDR5, 256 bit",735 MHz,1500 MHz,2048 / 128 / 32,End-of-life
130,Radeon R2 Mobile Graphics,AMD,Beema,"Jan 28th, 2015",IGP,System Shared,497 MHz,System Shared,128 / 8 / 4,End-of-life
131,Radeon R2 Mobile Graphics,AMD,Beema,"Jan 28th, 2015",IGP,System Shared,300 MHz,System Shared,128 / 8 / 4,End-of-life
132,Radeon R2E Mobile Graphics,AMD,Beema,"Jan 28th, 2015",IGP,System Shared,300 MHz,System Shared,128 / 8 / 4,End-of-life
133,Radeon R3 Mobile Graphics,AMD,Beema,"Jan 28th, 2015",IGP,System Shared,600 MHz,System Shared,128 / 8 / 4,End-of-life
134,Radeon R3E Mobile Graphics,AMD,Beema,"Jan 28th, 2015",IGP,System Shared,351 MHz,System Shared,128 / 8 / 4,End-of-life
135,Radeon R5 310 OEM,AMD,Caicos,"May 5th, 2015",PCIe 2.0 x16,"1024 MB, DDR3, 64 bit",875 MHz,900 MHz,160 / 8 / 4,End-of-life
136,Radeon R5 310 OEM,AMD,Caicos,"May 5th, 2015",PCIe 2.0 x16,"2 GB, DDR3, 64 bit",775 MHz,805 MHz,160 / 8 / 4,End-of-life
137,Radeon R5 330 OEM,AMD,Exo,"May 5th, 2015",PCIe 3.0 x8,"2 GB, DDR3, 64 bit",830 MHz,900 MHz,320 / 20 / 8,End-of-life
138,Radeon R5 340 OEM,AMD,Oland,"May 5th, 2015",PCIe 3.0 x8,"1024 MB, GDDR5, 64 bit",730 MHz,1150 MHz,384 / 24 / 8,End-of-life
139,Radeon R5 340X OEM,AMD,Oland,"May 5th, 2015",PCIe 3.0 x8,"2 GB, DDR3, 64 bit",900 MHz,1000 MHz,384 / 24 / 8,End-of-life
140,Radeon R5 A320,AMD,Jet,2015,PCIe 3.0 x8,"1024 MB, DDR3, 64 bit",750 MHz,1000 MHz,320 / 20 / 8,End-of-life
141,Radeon R5 A330,AMD,Exo,"Oct 21st, 2015",PCIe 3.0 x8,"2 GB, DDR3, 64 bit",1030 MHz,900 MHz,320 / 20 / 8,End-of-life
142,Radeon R5 A335,AMD,Exo,"Oct 21st, 2015",PCIe 3.0 x8,"2 GB, DDR3, 64 bit",1070 MHz,900 MHz,320 / 20 / 8,End-of-life
