,game,release,peak_players,total_reviews,rating
275,HELLCARD: Prologue,2023-01-30,482,34,82.31
276,Dear Monster,2023-01-17,102,2,82.31
277,Bumblebee - Little Bee Adventure,2023-02-10,6,2,82.31
278,Scorchlands,2023-02-07,24,1,82.27
279,Eggcelerate! to the Tropics,2023-03-30,15,1,82.27
280,Tell Some Story: Foz,2023-02-02,9,0,82.22
281,Gore Storm,2023-03-10,15,0,82.22
282,TerraScape,2023-04-05,353,13,82.21
283,TET,2023-01-31,5,3,82.19
284,Unholy Angel,2023-01-16,11,2,82.19
285,Pets Hotel: Prologue,2023-01-25,197,28,82.17
286,Brave's Rage,2023-02-01,160,23,82.14
287,Missing Hiker,2023-02-14,169,148,82.13
288,NSFW Solitaire,2023-01-27,70,10,82.13
289,Yihongyuan,2023-03-02,416,70,82.05
290,Akka Arrh,2023-02-21,15,0,82.04
291,Rustled Pete,2023-02-28,8,0,82.04
292,ToriDori,2023-04-06,13,0,82.04
293,柒愿传说,2023-04-01,8,0,82.04
294,天外武林 (Traveler of Wuxia),2023-01-06,5874,359,81.99
295,The Sea-demon,2023-01-06,75,18,81.97
296,Catch Me!,2023-01-24,24,1,81.97
297,ハッピーライヴ ショウアップ！,2023-03-10,23,1,81.97
298,The Secret of Darkwoods,2023-03-28,21,1,81.97
299,Sunrider 4: The Captain's Return,2023-02-08,199,12,81.95
300,Treason,2023-01-31,226,52,81.94
301,The Black Grimoire: Cursebreaker,2023-03-10,137,7,81.93
302,inhabit,2023-01-27,7,0,81.86
303,DEFECTIVE,2023-02-03,4,0,81.86
304,Tactical Command,2023-01-27,11,0,81.86
305,Jury,2023-04-02,60,0,81.86
306,Dusk of the Cage,2023-02-21,7,0,81.86
307,Smalland: Survive the Wilds,2023-03-29,12741,384,81.84
308,Sons Of The Forest,2023-02-23,414257,20716,81.83
309,Outlanders,2023-03-07,147,8,81.8
310,Wretched Depths,2023-03-24,20,4,81.78
311,File Destined,2023-02-25,32,19,81.77
312,HELLCARD,2023-02-16,3539,147,81.73
313,Reshaping Mars,2023-03-30,642,85,81.73
314,你农我农-Need Know What Know,2023-02-05,84,8,81.71
