id,game,release,peak_players,positive_reviews,negative_reviews,total_reviews,rating
65493,inMomentum,2011,9,129,48,48,68.07%
65494,B.U.T.T.O.N.,2011,4,38,12,12,68.04%
65495,Virtua Tennis 4,2011,288,229,91,91,67.77%
65496,Critical Mass,2011,24,305,128,128,67.15%
65497,Alien Zombie Megadeath,2011,6,52,19,19,66.83%
65498,A.R.E.S.,2011,756,610,273,273,66.61%
65499,Patrician IV: Rise of a Dynasty,2011,167,291,128,128,66.29%
65500,American Conquest - Fight Back,2011,60,329,148,148,66.01%
65501,Who's That Flying?!,2011,14,112,47,47,66.00%
65502,Hamilton's Great Adventure,2011,125,210,94,94,65.67%
65503,Shift 2 Unleashed,2011,400,"1,651",802,802,65.65%
65504,TRAUMA,2011,30,445,209,209,65.48%
65505,From Dust,2011,9759,"1,756",882,882,65.02%
65506,Air Conflicts - Secret Wars,2011,87,274,132,132,64.62%
65507,IL-2 Sturmovik: Cliffs of Dover,2011,1185,662,331,331,64.58%
65508,Vertex Dispenser,2011,15,23,9,9,64.24%
65509,Mishap 2: An Intentional Haunting,2011,6,2,0,0,64.08%
65510,American Conquest,2011,61,350,177,177,63.93%
65511,Smash Cars,2011,7,30,13,13,63.44%
65512,APB Reloaded,2011,11813,"23,091","13,208","13,208",63.04%
65513,Robin Hood,2011,56,858,487,487,62.22%
65514,Nancy Drew: Trail of the Twister,2011,23,78,41,41,61.87%
65515,Memoir '44 Online,2011,994,369,209,209,61.80%
65516,Pirates of Black Cove,2011,213,103,56,56,61.57%
65517,LUXOR: 5th Passage ,2011,23,62,33,33,61.40%
65518,Inside a Star-filled Sky ,2011,11,60,32,32,61.33%
65519,BRINK,2011,16824,"4,611","2,828","2,828",61.17%
65520,Two Worlds II HD,2011,10863,"3,899","2,400","2,400",61.04%
65521,Achron,2011,9,69,38,38,60.95%
65522,DETOUR,2011,575,"1,103",681,681,60.59%
65523,Data Jammers: FastForward,2011,90,62,35,35,60.42%
65524,Alien Hallway,2011,20,187,113,113,60.12%
65525,Sengoku,2011,174,260,162,162,59.73%
65526,Anno 2070,2011,11217,"7,044","4,651","4,651",59.62%
65527,The Clockwork Man: The Hidden World,2011,16,47,28,28,59.23%
65528,Steel Storm: Burning Retribution,2011,475,210,135,135,59.00%
65529,Hydrophobia: Prophecy,2011,705,"1,363",914,914,58.90%
65530,Yar's Revenge,2011,4,43,27,27,58.26%
65531,Zombie Pirates,2011,8,33,21,21,57.79%
65532,Supreme Ruler Cold War,2011,87,118,80,80,57.65%
65533,Tobe's Vertical Adventure,2011,9,79,53,53,57.59%
65534,Dungeon Siege III,2011,4189,"1,523","1,108","1,108",57.15%
65535,Sideway,2011,13,71,50,50,56.63%
65536,Wasteland Angel,2011,9,178,129,129,56.56%
65537,Trino,2011,2,8,5,5,56.32%
65538,Ignite,2011,33,168,128,128,55.54%
65539,Stroke of Fate: Operation Valkyrie,2011,8,16,12,12,54.55%
65540,Dinner Date,2011,9,454,377,377,54.02%
65541,The Clockwork Man,2011,19,46,37,37,53.99%
65542,Cossacks II: Napoleonic Wars,2011,53,283,236,236,53.84%
65543,Post Mortem,2011,24,181,153,153,53.46%
65544,Astro Tripper,2011,6,34,28,28,53.45%
65545,Armada 2526,2011,18,19,16,16,52.83%
65546,Naval Warfare,2011,34,143,126,126,52.57%
65547,Real Warfare,2011,11,47,42,42,52.08%
65548,Grotesque Tactics 2 - Dungeons and Donuts,2011,61,121,112,112,51.56%
65549,Elizabeth Find M.D. - Diagnosis Mystery - Season 2,2011,5,17,16,16,50.99%
65550,PT Boats: Knights of the Sea,2011,6,20,19,19,50.86%
65551,Agricultural Simulator 2011: Extended Edition,2011,24,89,86,86,50.68%
65552,Serious Sam: The Random Encounter,2011,38,371,381,381,49.43%
65553,PT Boats: South Gambit,2011,5,12,13,13,48.75%
65554,Garshasp: The Monster Slayer,2011,6,173,186,186,48.50%
65555,Bunch Of Heroes,2011,2115,202,219,219,48.31%
65556,Might & Magic: Heroes VI,2011,9047,"3,895","4,215","4,215",48.16%
65557,Painkiller: Redemption,2011,33,287,323,323,47.48%
65558,Still Life 2,2011,37,211,247,247,46.69%
65559,Lume,2011,36,223,267,267,46.21%
65560,Real Warfare 2: Northern Crusades,2011,28,49,60,60,46.18%
65561,Dungeons,2011,1475,321,393,393,45.66%
65562,Theatre of War 3: Korea,2011,20,76,98,98,45.01%
65563,Sword of the Stars II: Enhanced Edition,2011,1379,398,506,506,44.80%
65564,Global Ops: Commando Libya,2011,26,149,219,219,42.09%
65565,ArcaniA: Fall of Setarrif,2011,26,281,409,409,42.02%
65566,Trapped Dead,2011,1385,297,433,433,41.96%
65567,Dungeons - The Dark Lord,2011,184,102,159,159,41.12%
65568,Ironclads: Schleswig War 1864,2011,4,8,17,17,38.75%
65569,Dead Mountaineer's Hotel,2011,10,35,67,67,38.20%
65570,Ironclads: Anglo Russian War 1866,2011,5,9,20,20,37.85%
65571,Hacker Evolution Duality,2011,54,174,335,335,36.61%
65572,A Game of Thrones - Genesis,2011,742,234,449,449,36.47%
65573,Dead Horde,2011,98,219,432,432,35.97%
65574,Disciples III: Resurrection,2011,69,86,178,178,35.82%
65575,Death and the Fly,2011,2,3,10,10,35.24%
65576,Shadow Harvest: Phantom Ops,2011,33,38,90,90,34.39%
65577,Ironclads: Chincha Islands War 1866,2011,3,3,12,12,33.02%
65578,APOX,2011,94,50,127,127,32.82%
65579,Dungeons & Dragons: Daggerdale,2011,571,134,330,330,32.20%
65580,Star Raiders ,2011,2,6,27,27,29.19%
65581,Airline Tycoon 2,2011,329,92,457,457,21.73%
65582,Flatout 3,2011,47,555,"2,779","2,779",19.55%
65583,Mount & Blade: Warband,2010,33054,"147,120","3,390","3,390",96.43%
65584,STAR WARS™ Empire at War: Gold Pack,2010,5716,"30,455",784,784,95.38%
65585,Fallout: New Vegas,2010,51038,"169,903","6,245","6,245",95.23%
65586,Sid Meier's Civilization V,2010,91363,"183,717","7,370","7,370",94.96%
65587,Batman: Arkham Asylum GOTY Edition,2010,6739,"48,359","1,837","1,837",94.56%
65588,VVVVVV,2010,2174,"8,780",339,339,93.31%
65589,S.T.A.L.K.E.R.: Call of Pripyat,2010,1359,"23,316","1,181","1,181",93.02%
65590,Recettear: An Item Shop's Tale,2010,2986,"6,456",261,261,92.87%
65591,Super Meat Boy,2010,5153,"29,793","1,647","1,647",92.78%
65592,Amnesia: The Dark Descent,2010,5666,"28,992","1,624","1,624",92.70%
65593,Alien Swarm,2010,60467,"19,477","1,054","1,054",92.61%
65594,Bejeweled 3,2010,1415,"5,447",230,230,92.54%
65595,Serious Sam Classic: The First Encounter,2010,158,"2,549",105,105,91.75%
65596,Beat Hazard,2010,4123,"6,797",375,375,91.68%
65597,F.E.A.R.,2010,865,"11,934",771,771,91.38%
65598,Serious Sam Classic: The Second Encounter,2010,112,"1,534",60,60,91.21%
65599,Monkey Island 2: Special Edition,2010,1813,"2,278",106,106,91.17%
65600,Metro 2033,2010,14743,"28,600","2,214","2,214",90.91%
65601,Fallout: New Vegas PCR,2010,3777,"13,169",939,939,90.90%
65602,Arma 2: Operation Arrowhead,2010,19175,"20,073","1,664","1,664",90.25%
65603,Victoria II,2010,3419,"15,785","1,301","1,301",90.13%
65604,Singularity,2010,831,"4,518",357,357,89.37%
65605,Just Cause 2,2010,7547,"44,665","4,488","4,488",89.29%
65606,Call of Duty: Black Ops,2010,63343,"29,938","2,999","2,999",89.11%
65607,Total War: NAPOLEON - Definitive Edition,2010,9935,"18,865","1,841","1,841",89.05%
65608,Broken Sword 1 - Shadow of the Templars: Director's Cut,2010,155,"2,161",160,160,88.93%
65609,Shatter,2010,2761,"1,138",72,72,88.85%
65610,Aliens vs. Predator,2010,3794,"15,303","1,541","1,541",88.67%
65611,DeathSpank,2010,434,756,46,46,88.35%
65612,Lara Croft and the Guardian of Light,2010,877,"3,789",355,355,88.06%
65613,Moonbase Alpha,2010,1443,"11,387","1,224","1,224",87.95%
65614,Assassin's Creed II,2010,3617,"37,549","4,444","4,444",87.82%
65615,Chime,2010,2099,675,46,46,87.61%
65616,Warhammer 40 000: Dawn of War II - Chaos Rising,2010,8132,"2,686",259,259,87.48%
65617,Faerie Solitaire,2010,2389,"2,276",224,224,87.15%
65618,BioShock 2,2010,4635,"11,737","1,402","1,402",87.07%
65619,Darksiders,2010,3929,"10,528","1,260","1,260",86.97%
65620,Eversion ,2010,178,"1,133",102,102,86.85%
65621,Poker Night at the Inventory,2010,10146,"7,996",958,958,86.76%
65622,Fortix,2010,190,845,72,72,86.74%
65623,King's Bounty: Crossworlds,2010,404,"1,076",98,98,86.69%
65624,Shank,2010,573,"2,824",320,320,86.30%
65625,Nimbus,2010,88,227,13,13,86.03%
65626,Supreme Commander 2,2010,3730,"9,856","1,329","1,329",85.81%
65627,Tropico 3: Absolute Power,2010,1947,402,32,32,85.78%
65628,Flight Control HD,2010,1266,472,40,40,85.74%
65629,RUSH,2010,3944,"1,122",124,124,85.36%
65630,Farm Frenzy 2,2010,22,98,3,3,85.34%
65631,Pirates  Vikings  & Knights II,2010,878,"4,946",681,681,85.08%
65632,Cossacks: Back to War,2010,384,"2,027",257,257,84.97%
65633,Farming Simulator 2011,2010,674,680,74,74,84.72%
65634,Puzzle Agent,2010,228,"2,129",282,282,84.63%
65635,Nation Red,2010,6850,"2,354",316,316,84.62%
65636,Back to the Future: Ep 1 - It's About Time,2010,448,"2,023",267,267,84.61%
65637,Puzzle Dimension,2010,43,438,45,45,84.36%
65638,Lost Horizon,2010,74,382,38,38,84.31%
65639,Toki Tori,2010,4511,"1,802",251,251,83.97%
65640,Sol Survivor,2010,4153,365,39,39,83.73%
65641,Worms Reloaded,2010,7814,"3,886",606,606,83.61%
65642,MX vs. ATV Reflex,2010,429,"2,888",440,440,83.58%
65643,Battlefield: Bad Company™ 2,2010,21923,"30,873","5,471","5,471",83.47%
65644,Riven,2010,82,949,132,132,83.18%
65645,Sword of the Stars Complete Collection,2010,1005,531,67,67,83.14%
65646,Dragon Age: Origins - Awakening,2010,9,137,11,11,83.13%
65647,Dawn of Discovery - Venice,2010,371,430,52,52,83.11%
65648,Oddworld: Stranger's Wrath HD,2010,158,"1,216",177,177,83.08%
65649,Age of Wonders: Shadow Magic,2010,123,455,57,57,82.93%
65650,Anno 1404: Venice,2010,3677,"1,054",157,157,82.67%
65651,Puzzler World ,2010,81,339,42,42,82.47%
65652,The Misadventures of P.B. Winterbottom,2010,120,385,50,50,82.33%
65653,Jolly Rover,2010,18,286,35,35,82.22%
65654,4 Elements,2010,262,633,93,93,82.07%
65655,Farm Frenzy,2010,11,66,4,4,82.01%
65656,Sonic and SEGA All Stars Racing,2010,100,"2,123",364,364,82.00%
65657,Nancy Drew: Warnings at Waverly Academy,2010,36,200,23,23,81.90%
65658,Gemini Lost,2010,7,38,1,1,81.81%
65659,Zen Bound® 2,2010,39,480,72,72,81.44%
65660,Farm Frenzy 3,2010,16,33,1,1,80.92%
65661,Need for Speed: Hot Pursuit,2010,3005,"16,230","3,462","3,462",80.77%
65662,Greed Corp,2010,850,447,74,74,80.35%
65663,LEGO® Indiana Jones™ 2: The Adventure Continues,2010,95,"1,062",199,199,80.23%
65664,NyxQuest,2010,5,103,12,12,80.11%
65665,The Guild II: Renaissance,2010,1249,"3,026",639,639,79.81%
65666,Arsenal of Democracy,2010,97,287,49,49,79.27%
65667,Secret of the Magic Crystal,2010,256,"1,372",294,294,78.89%
65668,Fantasy Wars,2010,32,208,35,35,78.79%
65669,Arma 2: British Armed Forces,2010,43,302,55,55,78.70%
65670,Alpha Protocol,2010,2427,"3,738",890,890,78.34%
65671,Pat & Mat,2010,25,387,76,76,78.30%
65672,Cradle of Rome,2010,37,41,4,4,78.13%
65673,Puzzle Quest 2,2010,337,313,61,61,78.03%
65674,Star Wolves,2010,55,307,62,62,77.60%
65675,Flotilla,2010,214,181,34,34,77.41%
65676,Super Laser Racer,2010,9,82,13,13,77.12%
65677,Arma 2: Private Military Company,2010,44,291,61,61,77.08%
65678,Star Ruler,2010,794,260,54,54,77.00%
65679,Nail'd,2010,147,944,231,231,76.73%
65680,Eschalon: Book 2,2010,34,95,17,17,76.43%
65681,BIT.TRIP BEAT,2010,4318,673,164,164,76.40%
65682,Star Wolves 3: Civil War,2010,573,483,115,115,76.28%
65683,Archon:Classic,2010,8,131,26,26,76.16%
65684,Age of Wonders 2: The Wizard's Throne,2010,59,231,51,51,76.08%
65685,Dead Rising 2,2010,2812,"4,925","1,389","1,389",75.99%
65686,Season of Mystery : The Cherry Blossom Murders,2010,69,219,50,50,75.59%
65687,Blue Toad Murder Files - The Mysteries of Little Riddle,2010,11,87,17,17,75.36%
65688,Zero Gear,2010,4659,696,186,186,75.16%
65689,Farm Frenzy Pizza Party,2010,9,25,3,3,75.03%
65690,Age of Wonders,2010,86,638,172,172,74.94%
65691,Lugaru HD ,2010,12,391,102,102,74.78%
65692,Swords and Soldiers HD,2010,1235,738,207,207,74.52%
65693,Bloody Good Time,2010,778,776,223,223,74.22%
65694,Farm Frenzy 3 American Pie,2010,9,8,0,0,74.19%
65695,Making History II: The War of the World,2010,346,283,76,76,73.93%
65696,Oddworld: Munch's Oddysee,2010,122,685,207,207,73.33%
65697,EVE Online,2010,10627,"22,612","7,856","7,856",73.13%
65698,GridRunner Revolution,2010,4,55,12,12,73.08%
65699,Blood Bowl: Legendary Edition,2010,2035,814,263,263,72.45%
65700,Hotel Dash,2010,16,66,16,16,72.43%
65701,Grand Theft Auto: Episodes from Liberty City,2010,3013,"7,626","2,705","2,705",72.34%
65702,Medal of Honor(TM) Single Player,2010,2285,"5,961","2,111","2,111",72.26%
65703,UFO: Extraterrestrials Gold,2010,247,174,53,53,71.45%
65704,The Fish Fillets 2,2010,25,197,61,61,71.41%
65705,Clones,2010,1986,281,92,92,71.08%
65706,Darkest of Days,2010,177,230,74,74,71.07%
65707,Alien Breed: Impact,2010,641,"1,172",421,421,71.01%
65708,The Ball,2010,3337,768,272,272,70.90%
65709,Puzzle Bots,2010,35,121,37,37,70.80%
65710,Voodoo Dice,2010,3,13,2,2,70.75%
65711,X: Beyond the Frontier,2010,159,238,81,81,70.27%
65712,Lead and Gold - Gangs of the Wild West,2010,5013,"1,557",604,604,69.86%
65713,Tom Clancy's Splinter Cell: Conviction,2010,3856,"2,574","1,023","1,023",69.73%
65714,Alien Breed 3: Descent,2010,23,368,136,136,69.48%
65715,The Polynomial,2010,28,354,131,131,69.42%
65716,AquaNox 2: Revelation,2010,38,166,59,59,69.13%
65717,Rocket Knight,2010,8,104,36,36,68.81%
65718,Chaser,2010,40,807,325,325,68.73%
65719,X-Tension,2010,56,83,29,29,68.30%
65720,Cradle of Persia,2010,17,7,1,1,68.15%
65721,Mishap: An Accidental Haunting,2010,6,13,3,3,67.93%
65722,Axel & Pixel,2010,6,60,21,21,67.69%
65723,Victoria: Revolutions,2010,47,160,63,63,67.48%
65724,AquaNox,2010,27,234,95,95,67.44%
65725,The Guild II,2010,674,540,230,230,67.41%
65726,NecroVisioN: Lost Company,2010,45,327,137,137,67.25%
65727,Diamond Dan,2010,6,42,15,15,66.71%
65728,The Guild II - Pirates of the European Seas,2010,175,164,68,68,66.68%
65729,Prince of Persia: The Forgotten Sands,2010,356,"1,243",579,579,66.32%
65730,Alter Ego,2010,15,180,77,77,66.27%
65731,Alien Breed 2: Assault,2010,363,630,290,290,66.11%
65732,Swarm Arena,2010,8,45,17,17,66.09%
65733,Lost Planet 2,2010,608,"1,731",833,833,65.86%
65734,Ion Assault,2010,267,111,49,49,65.18%
65735,Bob Came in Pieces,2010,31,78,34,34,64.91%
65736,The Otherside,2010,5,5,1,1,64.78%
65737,Fitness Dash,2010,7,10,3,3,64.76%
65738,Max and the Magic Marker,2010,12,39,16,16,64.68%
65739,Hacker Evolution,2010,1831,646,334,334,63.92%
65740,Plain Sight,2010,1145,187,92,92,63.90%
65741,Fluttabyes,2010,6,19,8,8,62.90%
65742,Wings of Prey,2010,2474,411,221,221,62.88%
65743,Kane & Lynch 2: Dog Days,2010,289,"5,192","2,967","2,967",62.73%
65744,Tidalis,2010,47,149,78,78,62.59%
65745,Emergency 2012,2010,38,6,2,2,62.10%
65746,Winter Voices,2010,94,161,89,89,61.67%
65747,Front Mission Evolved,2010,769,654,393,393,60.93%
65748,The UnderGarden,2010,8,55,31,31,60.32%
65749,Ziro,2010,6,21,11,11,60.17%
65750,Grotesque Tactics: Evil Heroes,2010,381,266,163,163,60.07%
65751,TriJinx,2010,4,5,2,2,59.97%
65752,DogFighter,2010,555,262,164,164,59.64%
65753,NightShift Legacy,2010,4,3,1,1,59.60%
65754,Delve Deeper,2010,259,252,161,161,59.22%
65755,Dark Fall: Lost Souls,2010,136,145,92,92,59.03%
65756,Mahjong Roadshow,2010,6,6,3,3,58.33%
65757,Pound of Ground,2010,17,97,63,63,58.32%
65758,Hacker Evolution - Untold,2010,2015,235,159,159,58.05%
65759,Sniper: Ghost Warrior,2010,1586,"4,151","3,082","3,082",56.88%
65760,Aura: Fate of the Ages,2010,31,110,80,80,56.27%
65761,ProtoGalaxy,2010,14,35,26,26,55.25%
65762,Trainz: Settle & Carlisle,2010,5,27,20,20,55.12%
65763,Air Forte ,2010,33,42,34,34,53.84%
65764,Patrician IV: Steam Special Edition,2010,140,308,261,261,53.52%
65765,Dark Void,2010,120,300,256,256,53.37%
65766,Disciples III: Renaissance,2010,534,245,215,215,52.75%
65767,Romance of Rome,2010,5,6,5,5,52.39%
65768,Woody Two-Legs Attack of the Zombie Pirates,2010,7,32,28,28,52.37%
65769,Tommy Tronic,2010,15,9,8,8,51.71%
65770,Puzzle Chronicles,2010,8,22,21,21,50.79%
65771,Ship Simulator Extremes,2010,229,"1,062","1,028","1,028",50.73%
65772,Commander: Conquest of the Americas,2010,140,83,83,83,50.00%
65773,Valerie Porter,2010,3,6,6,6,50.00%
65774,Vancouver 2010: The Official Video Game of the Olympic Winter Games,2010,5,3,3,3,50.00%
65775,Booster Trooper,2010,29,96,101,101,48.99%
65776,Numen: Contest of Heroes,2010,26,86,91,91,48.88%
65777,AlternativA,2010,36,96,103,103,48.60%
65778,Dark Void Zero,2010,63,138,149,149,48.43%
65779,Haunted House,2010,6,13,15,15,47.72%
65780,Arcadia,2010,4,37,43,43,47.25%
65781,Doc Clock: The Toasted Sandwich of Time,2010,23,84,98,98,46.96%
65782,NightShift Code,2010,5,3,4,4,46.68%
65783,Hotel Giant 2,2010,26,114,146,146,45.00%
65784,Silent Hunter 5: Battle of the Atlantic,2010,394,"1,023","1,292","1,292",44.75%
65785,Greed: Black Border,2010,83,127,175,175,43.48%
65786,Burn Zombie Burn,2010,20,73,104,104,43.08%
65787,M.U.D. TV,2010,114,71,102,102,42.94%
65788,Blacklight: Tango Down,2010,19,145,211,211,42.31%
65789,Ironclads: High Seas,2010,5,15,24,24,42.26%
65790,DinerTown Detective Agency,2010,3,6,11,11,41.45%
65791,Flight of the Icarus,2010,42,99,153,153,41.31%
65792,Guardians of Graxia,2010,42,67,108,108,40.76%
65793,Dive to the Titanic,2010,6,29,54,54,38.91%
65794,Trainz: Classic Cabon City,2010,5,16,32,32,38.50%
65795,Turba,2010,55,49,91,91,38.38%
65796,World Basketball Manager 2010,2010,7,40,87,87,35.79%
65797,Future Wars,2010,32,90,210,210,33.59%
65798,Dimensity,2010,5,5,17,17,33.34%
65799,Power Of Defense,2010,3,9,30,30,31.95%
65800,Hazen: The Dark Whispers,2010,4,12,39,39,31.59%
65801,Biozone,2010,3,5,20,20,31.25%
65802,Ironclads: American Civil War,2010,6,10,36,36,30.61%
65803,Razor2: Hidden Skies,2010,12,55,161,161,30.32%
65804,Command and Conquer 4: Tiberian Twilight,2010,1068,549,"2,557","2,557",20.55%
65805,Plants vs. Zombies: Game of the Year,2009,16225,"100,088","2,645","2,645",95.96%
65806,LEGO® Star Wars™: The Complete Saga,2009,2004,"19,612",676,676,94.31%
65807,The Elder Scrolls IV: Oblivion ,2009,6390,"38,535","1,761","1,761",93.76%
65808,The Elder Scrolls IV: Oblivion® Game of the Year Edition Deluxe,2009,0,"38,535","1,761","1,761",93.76%
65809,Killing Floor,2009,24107,"61,129","3,247","3,247",93.35%
65810,Trine,2009,2659,"13,320",577,577,93.25%
65811,The Elder Scrolls III: Morrowind,2009,1396,"20,817","1,005","1,005",93.15%
65812,STAR WARS™ Republic Commando,2009,1267,"13,169",587,587,93.14%
65813,Machinarium,2009,1279,"11,373",524,524,92.89%
65814,Star Wars: Battlefront 2 (Classic  2005),2009,4789,"46,408","2,796","2,796",92.60%
65815,The Secret of Monkey Island: Special Edition,2009,746,"4,713",226,226,91.91%
65816,Call of Duty: Modern Warfare 2 (2009),2009,22614,"47,660","3,361","3,361",91.75%
65817,Fallout 2,2009,657,"10,964",673,673,91.58%
65818,Fallout,2009,8130,"15,024","1,019","1,019",91.28%
65819,Braid,2009,947,"8,397",550,550,91.02%
65820,Alien Shooter,2009,1029,"3,104",165,165,91.02%
65821,Serious Sam HD: The First Encounter,2009,1214,"6,508",438,438,90.65%
65822,Zuma's Revenge,2009,290,"1,668",89,89,90.20%
65823,Everyday Genius: SquareLogic,2009,33,377,7,7,90.15%
65824,Evil Genius,2009,1041,"3,158",209,209,89.99%
65825,Penumbra: Black Plague,2009,121,"2,208",137,137,89.89%
65826,Dead Space (2008),2009,2305,"22,528","2,084","2,084",89.55%
65827,STAR WARS™ Knights of the Old Republic™,2009,5642,"25,338","2,478","2,478",89.20%
65828,Dragon Age: Origins,2009,7089,"9,525",854,854,89.19%
65829,Total War: EMPIRE - Definitive Edition,2009,27559,"27,412","2,719","2,719",89.14%
65830,Indiana Jones and the Fate of Atlantis,2009,144,"1,087",66,66,88.97%
65831,Company of Heroes: Tales of Valor,2009,2945,"1,959",150,150,88.61%
65832,Torchlight,2009,6217,"5,675",520,520,88.60%
65833,Knights of Honor,2009,550,"2,012",163,163,88.30%
65834,Alien Shooter 2: Reloaded,2009,1444,"2,396",204,204,88.20%
65835,Altitude,2009,4940,"1,692",145,145,87.72%
65836,Red Faction: Guerrilla Steam Edition,2009,5613,"6,736",726,726,87.52%
65837,Devil May Cry 4,2009,501,"1,910",178,178,87.32%
65838,Majesty: Gold Edition,2009,132,471,32,32,86.93%
65839,Warhammer 40 000: Dawn of War II,2009,18862,"9,530","1,154","1,154",86.80%
65840,Penumbra: Overture,2009,213,"2,842",303,303,86.79%
65841,The Dig,2009,143,930,82,82,86.68%
65842,King's Bounty: The Legend,2009,862,"2,522",272,272,86.57%
65843,Delta Force: Black Hawk Down,2009,36,611,49,49,86.55%
65844,Thrillville: Off the Rails,2009,48,662,55,55,86.48%
65845,King's Bounty: Armored Princess,2009,401,939,89,89,86.22%
65846,Darkest Hour: Europe '44-'45,2009,1083,"1,839",200,200,86.14%
65847,Risen,2009,1382,"7,243",926,926,86.10%
65848,Men of War,2009,664,"2,757",321,321,86.05%
65849,Mini Ninjas,2009,255,"3,525",426,426,85.98%
65850,Mirror's Edge,2009,3805,"29,294","4,151","4,151",85.96%
65851,Sacrifice,2009,336,511,44,44,85.80%
65852,STAR WARS™: Dark Forces,2009,288,"2,349",276,276,85.79%
65853,Resident Evil 5,2009,2585,"29,873","4,348","4,348",85.68%
65854,Driver: Parallel Lines,2009,38,845,85,85,85.64%
65855,Overlord II,2009,1702,"3,602",460,460,85.51%
65856,Anno 1404,2009,1070,"1,171",128,128,85.51%
65857,Spore: Galactic Adventures,2009,1517,"5,215",692,692,85.48%
65858,Unreal Tournament 3: Black Edition,2009,1514,"3,332",440,440,85.12%
65859,Delta Force: Land Warrior,2009,23,260,20,20,85.01%
65860,Burnout Paradise: The Ultimate Box,2009,6284,"11,482","1,702","1,702",84.96%
65861,Delta Force: Black Hawk Down - Team Sabre,2009,52,405,38,38,84.81%
65862,Delta Force,2009,21,454,45,45,84.67%
65863,LEGOⓇ Indiana Jones™: The Original Adventures,2009,177,"2,308",317,317,84.38%
65864,Musaic Box,2009,16,228,19,19,84.26%
65865,Armed and Dangerous,2009,8,231,21,21,83.79%
65866,Dawn of Discovery,2009,268,373,41,41,83.57%
65867,Cogs,2009,4532,759,98,98,83.52%
65868,F.E.A.R. 2: Project Origin,2009,4209,"5,844",949,949,83.50%
65869,Tales of Monkey Island: Chapter 1 - Launch of the Screaming Narwhal,2009,294,563,70,70,83.36%
65870,Command and Conquer: Red Alert 3,2009,2984,"10,162","1,737","1,737",83.30%
65871,Osmos,2009,486,"1,076",155,155,83.02%
65872,Call of Juarez: Bound in Blood,2009,1444,"2,866",467,467,82.86%
65873,Emerald City Confidential,2009,9,74,4,4,82.83%
65874,Loom,2009,18,472,61,61,82.73%
65875,Nancy Drew: Legend of the Crystal Skull ,2009,27,136,12,12,82.60%
65876,Judge Dredd: Dredd vs Death,2009,164,851,124,124,82.59%
65877,Tropico,2009,111,663,93,93,82.57%
65878,Samorost 2,2009,86,"1,501",239,239,82.43%
65879,Zeno Clash,2009,712,"2,410",405,405,82.35%
65880,Comanche 4,2009,20,221,25,25,82.25%
65881,Crayon Physics Deluxe,2009,615,883,143,143,81.59%
65882,Tachyon: The Fringe,2009,13,173,20,20,81.52%
65883,Tales of Monkey Island: Chapter 3 - Lair of the Leviathan ,2009,328,90,8,8,81.35%
65884,Command and Conquer: Red Alert 3 - Uprising,2009,1681,"3,500",662,662,81.32%
65885,Eternal Silence,2009,457,449,69,69,81.09%
65886,Joint Operations: Combined Arms,2009,34,223,30,30,80.94%
65887,Zombie Bowl-O-Rama,2009,17,337,52,52,80.55%
65888,Dystopia,2009,387,868,155,155,80.52%
65889,Europa Universalis III,2009,1315,"1,566",300,300,80.41%
65890,Men of War: Red Tide,2009,77,583,101,101,80.30%
65891,Tales of Monkey Island: Chapter 2 - The Siege of Spinner Cay ,2009,136,105,12,12,80.29%
65892,Tales of Monkey Island: Chapter 5 - Rise of the Pirate God,2009,194,115,14,14,80.10%
65893,Spectromancer,2009,90,226,34,34,80.01%
65894,Hearts of Iron II: Complete,2009,161,453,78,78,79.97%
65895,Delta Force 2,2009,22,330,54,54,79.95%
65896,Death to Spies: Moment of Truth,2009,60,384,65,65,79.88%
65897,Eschalon: Book 1,2009,101,274,44,44,79.79%
65898,Shattered Horizon,2009,1141,401,71,71,79.48%
65899,Zombie Shooter,2009,63,829,165,165,79.22%
65900,AaAaAA!!! - A Reckless Disregard for Gravity,2009,4253,608,117,117,79.20%
65901,Nancy Drew: The Phantom of Venice,2009,27,121,17,17,79.15%
65902,AI War: Fleet Command,2009,5027,"1,263",264,264,79.11%
65903,Wandering Willows,2009,6,25,1,1,79.04%
65904,King's Quest Collection,2009,107,260,45,45,78.95%
65905,Mahjong Quest,2009,19,38,3,3,78.83%
65906,Wallace & Gromit Ep 1: Fright of the Bumblebees,2009,112,158,25,25,78.78%
65907,The Last Remnant,2009,1544,"3,210",737,737,78.74%
65908,Fallout 3 - Game of the Year Edition,2009,10401,"32,060","8,075","8,075",78.65%
65909,Prototype,2009,1570,"7,823","1,899","1,899",78.55%
65910,Medal of Honor: Airborne,2009,777,"3,770",902,902,78.28%
65911,Crash Time III,2009,38,452,91,91,78.25%
65912,BRAINPIPE: A Plunge to Unhumanity,2009,5,154,26,26,78.12%
65913,Madballs in...Babo: Invasion,2009,4017,236,44,44,78.01%
65914,Freedom Force vs. the 3rd Reich,2009,89,215,40,40,77.85%
65915,Space Quest Collection,2009,95,279,55,55,77.71%
65916,Obulis,2009,37,637,143,143,77.40%
65917,The Void,2009,289,804,186,186,77.30%
65918,Bad Rats,2009,1529,"11,669","3,121","3,121",77.29%
65919,Coil,2009,7,129,24,24,76.78%
65920,Caster,2009,3184,"3,196",843,843,76.74%
65921,MEVO & the Grooveriders,2009,7,24,2,2,76.62%
