id,game,release,peak_players,positive_reviews,negative_reviews,total_reviews,rating
202,Pocky & Rocky Reshrined,2023,34,65,2,2,83.81%
203,Elle: Portal,2023,46,114,7,7,83.80%
204,STRANGER OF PARADISE FINAL FANTASY ORIGIN,2023,2544,454,51,51,83.78%
205,Garden in!,2023,63,131,9,9,83.75%
206,Fears to Fathom - Episode 3,2023,383,627,76,76,83.74%
207,Tails: The Backbone Preludes,2023,55,113,7,7,83.74%
208,Breakout 13,2023,11996,"4,041",625,625,83.73%
209,PARANOIA PLACE,2023,68,205,18,18,83.71%
210,Half-Life 2: VR Mod - Episode Two,2023,113,94,5,5,83.71%
211,Barbaria,2023,13,84,4,4,83.69%
212,Truxton,2023,30,40,0,0,83.65%
213,Slobbish Dragon Princess 3,2023,15,40,0,0,83.65%
214,Into The Flames,2023,212,755,97,97,83.55%
215,Children of Silentown,2023,285,365,40,40,83.54%
216,Have a Nice Death,2023,2510,"5,917",959,959,83.53%
217,See You Later,2023,10,51,1,1,83.53%
218,Misericorde: Volume One,2023,17,39,0,0,83.53%
219,Miniland Adventure: Prologue,2023,525,303,32,32,83.43%
220,Future Radio,2023,97,142,11,11,83.41%
221,Conjury Revell,2023,25,125,9,9,83.40%
222,Rising Front,2023,663,860,115,115,83.39%
223,West Hunt,2023,449,662,85,85,83.35%
224,Zombie Admin,2023,8,49,1,1,83.30%
225,My Girlfriend’s Special Place,2023,15,49,1,1,83.30%
226,A War of a Madman's Making,2023,10,37,0,0,83.27%
227,Helpless,2023,34,88,5,5,83.26%
228,Siege of Dungeon,2023,95,155,13,13,83.24%
229,GunSuit Guardians,2023,85,59,2,2,83.23%
230,Diary of Lucie,2023,156,296,32,32,83.21%
231,MINDHACK,2023,195,48,1,1,83.19%
232,Phantom Tentacle,2023,19,337,38,38,83.18%
233,TitTok Kitty,2023,6,36,0,0,83.14%
234,Ghostland Yard,2023,16,36,0,0,83.14%
235,Interior Worlds,2023,35,36,0,0,83.14%
236,I commissioned some bunnies,2023,11,36,0,0,83.14%
237,Life After Magic,2023,16,36,0,0,83.14%
238,Flashback,2023,119,153,13,13,83.13%
239,銀斧 The Honest Elf,2023,17,58,2,2,83.13%
240,Swords and Sandals Immortals,2023,326,652,86,86,83.10%
241,Ogu and the Secret Forest,2023,235,120,9,9,83.08%
242,Neptunia: Sisters VS Sisters,2023,417,374,44,44,83.06%
243,The Missing Parts of Maria Gwozdek,2023,12,57,2,2,83.02%
244,LoFi Hotel,2023,6,35,0,0,83.00%
245,Physical Layer,2023,43,35,0,0,83.00%
246,Broken Universe - Tower Defense,2023,387,210,21,21,82.97%
247,Dread Templar,2023,159,837,117,117,82.95%
248,YOLKED,2023,8,46,1,1,82.95%
249,Veil of Dust: A Homesteading Game,2023,14,46,1,1,82.95%
250,DESTRUCTURE: Among Debris,2023,15,46,1,1,82.95%
251,Rich Lady's Slave Role Play,2023,68,75,4,4,82.92%
252,Absinthia,2023,12,34,0,0,82.85%
253,XXX_CYBERRAT_XXX,2023,37,74,4,4,82.83%
254,Netherguild,2023,21,45,1,1,82.82%
255,Yggdra Union,2023,118,91,6,6,82.79%
256,Song Of The Prairie,2023,927,154,14,14,82.77%
257,大侠立志传,2023,28936,"5,218",898,898,82.76%
258,HITLER: BDSM BUNKER,2023,403,90,6,6,82.71%
259,Finnish Army Simulator,2023,456,287,33,33,82.70%
260,DARK NIGHT WITH FLOPPA,2023,12,239,26,26,82.70%
261,Stuffo the Puzzle Bot,2023,9,33,0,0,82.70%
262,Low Oxygen,2023,46,63,3,3,82.63%
263,WW2 Rebuilder,2023,1219,608,84,84,82.58%
264,Alien maze,2023,20,143,13,13,82.57%
265,枪神出击,2023,490,43,1,1,82.55%
266,Awakened Evil,2023,6,32,0,0,82.55%
267,The Pyramid Of Bones,2023,16,32,0,0,82.55%
268,乱世无双,2023,24,71,4,4,82.54%
269,Full Metal Sergeant,2023,151,52,2,2,82.44%
270,Spiritfall,2023,587,259,30,30,82.43%
271,Berry People,2023,11,61,3,3,82.42%
272,Mage Kanade's Futanari Dungeon Quest,2023,152,140,13,13,82.39%
273,Limbus Company,2023,30225,"7,546","1,376","1,376",82.34%
274,Beer Factory - Prologue,2023,1279,665,96,96,82.31%
275,HELLCARD: Prologue,2023,482,282,34,34,82.31%
276,Dear Monster,2023,102,51,2,2,82.31%
277,Bumblebee - Little Bee Adventure,2023,6,51,2,2,82.31%
278,Scorchlands,2023,24,41,1,1,82.27%
279,Eggcelerate! to the Tropics,2023,15,41,1,1,82.27%
280,Tell Some Story: Foz,2023,9,30,0,0,82.22%
281,Gore Storm,2023,15,30,0,0,82.22%
282,TerraScape,2023,353,137,13,13,82.21%
283,TET,2023,5,59,3,3,82.19%
284,Unholy Angel,2023,11,50,2,2,82.19%
285,Pets Hotel: Prologue,2023,197,239,28,28,82.17%
286,Brave's Rage,2023,160,205,23,23,82.14%
287,Missing Hiker,2023,169,954,148,148,82.13%
288,NSFW Solitaire,2023,70,114,10,10,82.13%
289,Yihongyuan,2023,416,496,70,70,82.05%
290,Akka Arrh,2023,15,29,0,0,82.04%
291,Rustled Pete,2023,8,29,0,0,82.04%
292,ToriDori,2023,13,29,0,0,82.04%
293,柒愿传说,2023,8,29,0,0,82.04%
294,天外武林 (Traveler of Wuxia),2023,5874,"2,093",359,359,81.99%
295,The Sea-demon,2023,75,168,18,18,81.97%
296,Catch Me!,2023,24,39,1,1,81.97%
297,ハッピーライヴ ショウアップ！,2023,23,39,1,1,81.97%
298,The Secret of Darkwoods,2023,21,39,1,1,81.97%
299,Sunrider 4: The Captain's Return,2023,199,126,12,12,81.95%
300,Treason,2023,226,383,52,52,81.94%
301,The Black Grimoire: Cursebreaker,2023,137,89,7,7,81.93%
302,inhabit,2023,7,28,0,0,81.86%
303,DEFECTIVE,2023,4,28,0,0,81.86%
304,Tactical Command,2023,11,28,0,0,81.86%
305,Jury,2023,60,28,0,0,81.86%
306,Dusk of the Cage,2023,7,28,0,0,81.86%
307,Smalland: Survive the Wilds,2023,12741,"2,200",384,384,81.84%
308,Sons Of The Forest,2023,414257,"99,696","20,716","20,716",81.83%
309,Outlanders,2023,147,95,8,8,81.80%
310,Wretched Depths,2023,20,64,4,4,81.78%
311,File Destined,2023,32,171,19,19,81.77%
312,HELLCARD,2023,3539,916,147,147,81.73%
313,Reshaping Mars,2023,642,568,85,85,81.73%
314,你农我农-Need Know What Know,2023,84,94,8,8,81.71%
315,Lunar Mirror:The Pavilion of Desire,2023,1331,605,92,92,81.67%
316,One Night At Barneys 3,2023,24,86,7,7,81.66%
317,Joshua's Legs,2023,5,27,0,0,81.66%
318,QUALIA ~The Path of Promise~,2023,12,27,0,0,81.66%
319,Joe Wander,2023,12,27,0,0,81.66%
320,不可思异世界,2023,10,27,0,0,81.66%
321,Luckily  My Arm Is A Shotgun,2023,3,27,0,0,81.66%
322,Hydrofoil Generation,2023,39,37,1,1,81.65%
323,Ballistic Zen,2023,9,37,1,1,81.65%
324,Wall World,2023,4403,924,150,150,81.63%
325,Wander Hero,2023,851,499,74,74,81.61%
326,Terra Nil,2023,5916,"1,732",305,305,81.49%
327,UnderDungeon,2023,7,45,2,2,81.48%
328,Forrader Hero,2023,28,45,2,2,81.48%
329,Forest Of Relics,2023,10,45,2,2,81.48%
330,Helvetii,2023,21,36,1,1,81.47%
331,Deadnaut: Signal Lost,2023,56,36,1,1,81.47%
332,Mythargia,2023,7,26,0,0,81.46%
333,FUR Squadron,2023,5,26,0,0,81.46%
334,Iron Mandate,2023,42,69,5,5,81.45%
335,Dice Kingdoms,2023,110,53,3,3,81.42%
336,Ancient Saga: Vikings Journey - Resource Management Simulator,2023,20,53,3,3,81.42%
337,Puppet Master: The Game,2023,249,293,40,40,81.38%
338,SpaceBourne 2,2023,1241,"1,384",241,241,81.37%
339,The Wreck,2023,20,68,5,5,81.34%
340,Paperback Adventures,2023,22,44,2,2,81.33%
341,Digimon World: Next Order,2023,1685,429,64,64,81.30%
342,World Of Mystery,2023,362,117,12,12,81.30%
343,Toy Tactics,2023,12,35,1,1,81.30%
344,Star Ring,2023,38,52,3,3,81.29%
345,山海灵妖录,2023,362,434,65,65,81.28%
346,Tactical Assault VR,2023,185,278,38,38,81.27%
347,The Director's Disorder: Pilot Episode,2023,57,162,19,19,81.26%
348,Agent in Depth,2023,20,103,10,10,81.26%
349,Buildest,2023,10,25,0,0,81.25%
350,BLACK★ACADEMY,2023,11,25,0,0,81.25%
351,No:Worse,2023,6,25,0,0,81.25%
352,Konkan Coast Pirate Solutions,2023,6,25,0,0,81.25%
353,I commissioned some cats,2023,11,25,0,0,81.25%
354,September 7th,2023,149,808,134,134,81.22%
355,Magic Research,2023,1109,59,4,4,81.17%
356,Shiner,2023,28,59,4,4,81.17%
357,Nienix,2023,352,179,22,22,81.15%
358,2112TD: Tower Defense Survival,2023,332,172,21,21,81.11%
359,Lost Cartridge - Cold Read,2023,15,34,1,1,81.11%
360,Zedfest,2023,19,159,19,19,81.07%
361,Hero's Quest: Automatic Roguelite RPG,2023,137,80,7,7,81.05%
362,Belle Automata,2023,13,24,0,0,81.03%
363,Takara Cards,2023,5,24,0,0,81.03%
364,Chief Emoji Officer,2023,7,24,0,0,81.03%
365,Pipe Dreams,2023,5,24,0,0,81.03%
366,Citizens: Far Lands - Prologue,2023,145,100,10,10,81.00%
367,SATUS,2023,13,42,2,2,81.00%
368,Like a Dragon: Ishin!,2023,8461,"2,315",437,437,80.98%
369,Spectator,2023,16,65,5,5,80.98%
370,The Wall Mustn't Fall,2023,43,33,1,1,80.92%
371,The Voidness - LIDAR Horror Survival Game,2023,23,33,1,1,80.92%
372,Bad cat Sam,2023,12,57,4,4,80.90%
373,Lucie Adult Game HD,2023,120,92,9,9,80.88%
374,X Invader: Prologue,2023,549,451,71,71,80.87%
375,United heist,2023,335,732,124,124,80.86%
376,Monster Girl 1 000,2023,416,49,3,3,80.84%
377,Under Maintenance,2023,34,41,2,2,80.83%
378,Labyrinth of Galleria: The Moon Society,2023,859,197,26,26,80.82%
379,Sakura Succubus 7,2023,22,23,0,0,80.79%
380,Speedonauts,2023,5,23,0,0,80.79%
381,Gum Ball Run,2023,206,440,70,70,80.72%
382,Lovely Crush,2023,15,32,1,1,80.72%
383,The Test: Secrets of the Soul 2,2023,9,32,1,1,80.72%
384,Warman,2023,26,48,3,3,80.69%
385,Sorry We're Open,2023,19,40,2,2,80.66%
386,Athenian Rhapsody: Thunder Goober's Personality Dungeon,2023,13,40,2,2,80.66%
387,Earth's Shadow,2023,15,69,6,6,80.60%
388,Cold Shell,2023,5,22,0,0,80.54%
389,Oedo Trigger!!,2023,29,22,0,0,80.54%
390,TeamPunk,2023,8,22,0,0,80.54%
391,Museum of Monoliths,2023,3,22,0,0,80.54%
392,Apex Armor Swap Trainer,2023,15,22,0,0,80.54%
393,I Won't Forget Hue,2023,32,120,14,14,80.52%
394,Squirrel Launcher,2023,32,120,14,14,80.52%
395,HYPERBLADE,2023,9,31,1,1,80.51%
396,Deflector,2023,629,225,32,32,80.49%
397,Family curse,2023,23,39,2,2,80.48%
398,Horde Hunters,2023,47,39,2,2,80.48%
399,Bone Dust,2023,13,54,4,4,80.47%
400,LUNARK,2023,57,94,10,10,80.44%
401,Undead Horde 2: Necropolis,2023,839,177,24,24,80.36%
402,The Beast In The Cave,2023,21,46,3,3,80.36%
403,The Fernweh Saga: Book One,2023,114,67,6,6,80.34%
404,Nope Nope Nope Nurses,2023,20,53,4,4,80.32%
405,bearcycle,2023,11,30,1,1,80.30%
406,Wet Sand,2023,9,30,1,1,80.30%
407,Keep the Keep,2023,4,21,0,0,80.28%
408,First Racer,2023,10,21,0,0,80.28%
409,Super Greedy Cat,2023,4,21,0,0,80.28%
410,Endless Nesla,2023,4,21,0,0,80.28%
411,메스가키 영애님!,2023,22,66,6,6,80.21%
412,远征三国-策略卡牌,2023,49,104,12,12,80.20%
413,The Simulacrum,2023,16,45,3,3,80.19%
414,Germinal,2023,10,37,2,2,80.09%
415,Offroad Mechanic Simulator: Prologue - First Job,2023,58,37,2,2,80.09%
416,三国真龙传,2023,12,37,2,2,80.09%
417,GunSoul Girl 2,2023,180,370,61,61,80.08%
418,Research Story,2023,96,65,6,6,80.08%
419,Hellscreen,2023,7,29,1,1,80.07%
420,Conur Life,2023,7,29,1,1,80.07%
421,A TAVERN FOR TEA,2023,8,29,1,1,80.07%
422,Verlet Ascend,2023,20,58,5,5,80.04%
423,Land of the Mage Lords,2023,18,51,4,4,80.01%
424,Joon Shining,2023,3,20,0,0,80.00%
425,Elohim Eternal: The Babel Code,2023,9,20,0,0,80.00%
426,Heartwood Heroes,2023,43,20,0,0,80.00%
427,The Overlord Isn't Another Isekai Protagonist  Is He?,2023,8,20,0,0,80.00%
428,奇谭文字游戏,2023,9,20,0,0,80.00%
429,SokoChess White,2023,8,20,0,0,80.00%
430,Shooting Saucer,2023,11,20,0,0,80.00%
431,Hood Warfare,2023,25,64,6,6,79.95%
432,Dark Chess,2023,27,101,12,12,79.92%
433,Socrates Jones: Pro Philosopher,2023,15,36,2,2,79.89%
434,Striving for Light: Survival,2023,55,50,4,4,79.84%
435,BDSM Love,2023,10,43,3,3,79.83%
436,Finding Xavier,2023,5,43,3,3,79.83%
437,Snafu,2023,11,43,3,3,79.83%
438,WHALIEN - Unexpected Guests,2023,9,28,1,1,79.83%
439,Re:Call,2023,13,28,1,1,79.83%
440,Fairy Biography3 : Obsession,2023,166,167,24,24,79.74%
441,《奇门遁甲》,2023,137,172,25,25,79.72%
442,The Legend of Heroes: Kuro no Kiseki Ⅱ -CRIMSON SiN-,2023,1071,313,52,52,79.71%
443,Drakkar Crew,2023,9,19,0,0,79.71%
444,Asfalia,2023,5,19,0,0,79.71%
