,game,release,peak_players,total_reviews,rating
58511,Dicetiny,2016-07-21,33,74,65.6
58512,Automata Empire,2016-04-08,36,15,65.57
58513,CABAL Online,2016-02-18,1439,358,65.55
58514,Deputy Dangle,2016-07-30,11,6,65.51
58517,Beyond Dimensions,2016-03-11,119,6,65.51
58518,Alien Blitz,2016-05-10,45,6,65.51
58519,Running Gods,2016-09-13,4993,6,65.51
58521,SkyBoats,2016-08-23,35,6,65.51
58523,vrAMP,2016-05-27,5,12,65.5
58524,Lop Nor Zombie VR,2016-10-01,7,16,65.47
58527,Stranger of Sword City,2016-06-06,638,186,65.44
58528,Smash Pixel Racing,2016-06-20,3,2,65.42
58530,Desperate Times,2016-09-30,3,2,65.42
58531,Awesome Obstacle Challenge,2016-09-22,4,2,65.42
58532,Crystal Shard Adventure Bundle,2016-12-15,3,2,65.42
58534,The Night Christmas Ended,2016-12-04,3,2,65.42
58535,The Wizards Who Fell In A Hole,2016-12-10,80,2,65.42
58536,Lumo,2016-05-24,21,32,65.41
58537,Turbo Pug 3D,2016-09-20,3889,109,65.4
58538,Big Bang Empire,2016-08-24,629,360,65.39
58541,Mech Anarchy,2016-03-15,59,4,65.38
58542,Silhouette,2016-11-13,2,4,65.38
58545,Spell Fighter VR,2016-03-23,32,117,65.36
58546,Void Raiders,2016-06-14,203,22,65.36
58549,Goliath,2016-05-12,187,84,65.29
58550,Crystal Cosmos,2016-07-22,273,10,65.29
58551,Malus Code,2016-05-06,40,30,65.25
58552,Snow Horse,2016-08-04,5,7,65.25
58553,Quatros Origins,2016-07-29,78,7,65.25
58554,Just Bones,2016-06-09,8,7,65.25
58555,Spareware,2016-10-10,211,7,65.25
58556,Gem Monster,2016-12-18,1123,7,65.25
58557,A Boy and His Blob,2016-01-19,319,155,65.24
58558,moto RKD dash,2016-06-03,140,19,65.23
58559,XenoShyft,2016-03-29,23,31,65.22
58560,Ninja Senki DX,2016-02-23,34,26,65.16
58561,Riders of Icarus,2016-07-06,17162,3539,65.15
58562,1993 Space Machine,2016-03-28,337,94,65.14
58565,Holiday Bonus GOLD,2016-12-27,461,11,65.14
58566,We Are The Dwarves,2016-02-26,1464,371,65.13
58567,Anima Gate of Memories,2016-06-03,145,218,65.13
58568,Amigdala,2016-03-28,2813,34,65.13
58571,True or False,2016-09-16,334,432,65.08
58572,Trillion,2016-11-07,246,143,65.08
58573,Defect,2016-07-28,32,16,65.08
58574,Last Heroes 2,2016-01-22,1225,16,65.08
58575,Galaxy Reavers,2016-09-19,139,59,65.05
58576,Vaccine War,2016-03-21,4,8,65.03
58577,The Enlightened League of Bone Builders and the Osseous Enigma Content,2016-08-29,10,8,65.03
58578,The Lords of the Earth Flame,2016-09-02,965,80,65.01
58579,Liquid Pinball,2016-11-24,913,30,65.01
58580,Chesster,2016-03-17,80,5,65.0
58581,Adventure Apes and the Mayan Mystery,2016-07-15,307,5,65.0
58582,Arcane,2016-12-19,5,5,65.0
58583,DemonicGuestVR,2016-10-17,3,5,65.0
58584,Summer times Afternoon,2016-12-24,4,5,65.0
58587,Death Stair,2016-08-16,130,92,64.96
58589,Epic Clicker Journey,2016-04-21,1087,221,64.92
58590,Push Me Pull You,2016-07-14,9,9,64.87
58591,Soko Match,2016-09-16,20,9,64.87
58592,Midnight,2016-01-28,30,20,64.83
58593,Dark Days,2016-06-03,7,14,64.83
58594,Pick a Hero,2016-06-10,21,14,64.83
58595,Until I Have You,2016-04-04,12,54,64.81
58597,Pavilion,2016-09-23,11,40,64.8
58598,Color By,2016-01-22,4,1,64.78
58599,Swift,2016-06-02,6,1,64.78
58601,One Clone Left,2016-08-14,6,1,64.78
58602,VReakout,2016-07-14,2,1,64.78
58603,Car Car Crash Hands On Edition,2016-07-06,3,1,64.78
58606,Crate Punks,2016-12-02,2,1,64.78
58607,Kapsul Infinite,2016-08-25,2,1,64.78
58608,Blind Blades,2016-09-01,3,1,64.78
58610,WRC 6,2016-10-07,233,336,64.77
58611,ABC Coloring Town,2016-05-30,192,93,64.77
58612,Hyspherical 2,2016-02-16,69,3,64.76
58613,Magic Flute,2016-02-17,4,3,64.76
58615,Banzai Escape,2016-03-01,141,44,64.75
58616,Ground Breakers,2016-06-15,173,15,64.75
58617,Underground Keeper,2016-08-15,15,15,64.75
58619,Pertinence,2016-03-25,249,10,64.73
58620,ASRECorp,2016-07-22,201,10,64.73
58621,DUO,2016-07-08,3,10,64.73
58622,Ultimate Solid,2016-10-26,188,10,64.73
58623,World VR Competition,2016-12-06,5,6,64.73
58624,DEADLOCK,2016-08-15,4,6,64.73
58625,Too Angry to Space,2016-08-08,23,16,64.68
58627,Sweet Volley High,2016-10-26,516,24,64.67
58628,The Lost Mythologies,2016-01-28,96,560,64.65
58629,INTERSHELTER,2016-11-21,1330,348,64.64
58630,Jeeboman,2016-04-05,8,11,64.62
58633,Zezenia Online,2016-07-07,132,92,64.59
58634,Lantern,2016-11-15,33,18,64.58
58635,Into The Unknown,2016-11-09,17,28,64.57
58636,AdVenture Communist,2016-08-23,2871,1528,64.56
58638,The Treasures of Montezuma 5,2016-03-10,100,50,64.53
58639,Mini Metal,2016-04-22,18,7,64.52
58640,Trackmania Turbo,2016-03-24,2085,480,64.48
58641,Epic Manager,2016-12-12,158,74,64.48
58642,Envy the Dead,2016-09-12,924,69,64.48
58643,Pigmentone,2016-07-08,100,13,64.44
58644,Alteric,2016-07-13,153,37,64.43
58645,METAGAL,2016-05-23,16,43,64.39
58646,Trimmer Tycoon,2016-11-04,184,231,64.38
58647,Tales from the Void,2016-05-20,1704,14,64.38
58648,Cursed West,2016-09-09,2322,24,64.37
58649,EmergeNYC,2016-11-03,479,1264,64.36
58651,RollerForce,2016-09-14,9,8,64.36
58652,Falcon,2016-01-08,2,4,64.35
58655,Farm Tribe,2016-05-27,5,4,64.35
58658,Super Button Soccer,2016-07-20,42,30,64.28
58659,Mount Wingsuit,2016-08-25,8,30,64.28
58661,Brain Booster,2016-12-26,201,9,64.24
58664,The Girl and the Robot,2016-08-18,18,20,64.14
58666,Space Junk Patrol,2016-12-01,2,0,64.08
58667,Spheria,2016-04-01,3,0,64.08
58670,Four Realms,2016-10-24,4,0,64.08
58671,Alveari,2016-10-10,2,0,64.08
58672,Malkia,2016-07-26,7,0,64.08
58675,Puzzling Rooms VR,2016-08-26,2,0,64.08
58676,Garden Wars,2016-11-09,5,0,64.08
58677,DOPAMINE,2016-10-17,1,0,64.08
58678,ROBUST ROAD ROLLER,2016-12-12,5,0,64.08
58681,The Minims,2016-04-01,6,5,64.07
58682,King Lucas,2016-12-01,1194,46,64.02
58684,Vanguards,2016-10-28,18,29,64.02
58686,Mahjong Deluxe 3,2016-04-22,157,36,64.01
58687,Dimensional Intersection,2016-10-05,3,12,64.0
58688,Painted Legend,2016-07-29,363,12,64.0
58689,Pixel Survivors,2016-05-05,3617,90,63.99
58690,Purino Party,2016-06-23,177,90,63.99
58691,Hybrid Wars,2016-09-29,197,71,63.99
58693,Masked Forces,2016-11-23,573,151,63.9
58695,Base Raid,2016-11-17,40,2,63.89
58696,OCCHIO,2016-08-11,3,2,63.89
58697,DragonBlast VR,2016-09-01,4,2,63.89
58699,Destroyer,2016-10-20,3,2,63.89
58700,Rogues or Heroes,2016-10-18,5,2,63.89
58701,Vulture Island,2016-10-31,5,2,63.89
58702,VR Apocalypse,2016-12-17,4,2,63.89
58703,Futuridium EP Deluxe,2016-01-08,5,6,63.88
58704,Giga Girl,2016-08-17,4,6,63.88
58706,Archipelago,2016-08-18,3422,17,63.83
58707,ToyOdyssey,2016-09-20,102,107,63.82
58708,Allods Online RU,2016-01-27,2563,544,63.79
58709,Labyrinth,2016-03-08,79,91,63.79
58710,Nomad Fleet,2016-04-19,683,62,63.79
58711,Necropolis,2016-07-12,5148,1595,63.78
58712,Emporea,2016-06-08,606,159,63.76
58714,One Last Chance,2016-04-07,609,26,63.75
58715,Skedaddle,2016-06-17,110,7,63.75
58716,Amihailu in Dreamland,2016-08-24,5,7,63.75
58717,Kubz VR,2016-09-05,3,7,63.75
58718,CrazyCars3D,2016-06-14,1933,70,63.73
58719,Trials of the Blood Dragon,2016-06-13,126,65,63.68
58721,Felt Tip Circus,2016-04-05,5,8,63.65
58722,Infinity Saga,2016-02-29,54,8,63.65
58724,Perfect Golf,2016-05-03,198,301,63.54
58725,Zamarian,2016-01-22,20,10,63.53
58726,Kill The Plumber,2016-01-01,72,33,63.52
58727,The NADI Project,2016-06-01,42,143,63.5
58728,Janken Cards,2016-10-17,216,11,63.49
58729,Florensia,2016-11-29,385,219,63.48
58731,Krautscape,2016-02-24,23,79,63.46
58732,Carton,2016-10-02,2452,25,63.45
58733,planktOs,2016-02-03,2,3,63.45
58734,Slime Jumper,2016-04-07,3,3,63.45
58737,Toxic Terror,2016-06-03,191,3,63.45
58742,SolForge,2016-07-25,2103,415,63.44
58744,Diorama Battle of NINJA,2016-09-20,29,13,63.44
58745,Inexistence,2016-02-17,1542,120,63.43
58747,Quantum Chess,2016-12-12,16,15,63.42
58748,Psycho on the loose,2016-12-21,2759,15,63.42
58749,Toro,2016-01-26,4,17,63.41
58750,I Am Caligula,2016-03-25,18,17,63.41
58751,Virginia,2016-09-22,240,1107,63.39
58752,WWE 2K16,2016-03-10,2520,995,63.37
58753,Soccer Manager 2017,2016-09-16,847,217,63.37
58754,Sky Break,2016-10-21,306,184,63.37
58755,Ace of Words,2016-05-13,2234,286,63.3
58757,Squirbs,2016-01-06,449,144,63.24
58759,ChessVR,2016-07-07,3,4,63.21
58760,The Multidimensional Underwear Drawer,2016-08-31,8,4,63.21
58761,RunningJoe,2016-11-01,4,4,63.21
58762,Lord Darydikilkil,2016-11-04,2,4,63.21
58764,Death Dojo,2016-11-09,9,27,63.17
58765,Goblins and Grottos,2016-07-07,44,26,63.15
58766,Sudoku Quest,2016-06-03,139,26,63.15
58767,BuildMoreCubes,2016-11-21,2490,26,63.15
58768,Pro Cycling Manager 2016,2016-06-16,2377,131,63.09
58769,Neon Prism,2016-11-18,3272,118,63.08
58771,Asteroid Bounty Hunter,2016-02-24,3999,257,63.06
58772,RollerGirls From Beyond,2016-09-09,3,5,63.06
58774,Tales of the Elements,2016-10-13,958,5,63.06
58775,Hunting Unlimited 4,2016-11-03,6,5,63.06
58776,Sol Trader,2016-06-06,47,21,63.05
58777,VR GirlFriend,2016-12-13,14,44,63.04
58778,BitMaster,2016-10-12,1713,65,62.98
58780,Rebel Wings,2016-07-08,8,6,62.98
58781,RAM BOE,2016-04-04,918,6,62.98
58782,The Last Look,2016-10-28,7,6,62.98
58784,Starfighter Arduxim,2016-10-19,3,6,62.98
58785,Solar Division,2016-04-20,1077,16,62.96
58786,The Spookening,2016-11-01,14,16,62.96
58787,Crazy Sapper 3D,2016-10-26,2742,30,62.95
58788,DeathMetal,2016-11-18,1482,15,62.94
58790,Emergency 2017,2016-10-27,601,136,62.92
58791,A Quiver of Crows,2016-10-19,10,14,62.92
58793,Extravaganza Rising,2016-07-21,780,14,62.92
58794,Candy Smash VR,2016-07-26,3062,13,62.91
58796,Space Drifters 2D,2016-03-28,506,12,62.9
58797,Neptune Flux,2016-11-15,6,12,62.9
58798,Planet in the Shadows,2016-04-15,8,8,62.9
58800,ArsonVille,2016-11-24,4,8,62.9
58801,GalaxIverse,2016-08-16,850,11,62.89
58802,Rabbit Island,2016-07-14,937,9,62.89
58803,Redswood VR,2016-08-18,5,9,62.89
58804,Back in 1995,2016-04-28,18,37,62.88
58805,WizardCraft,2016-05-27,9,10,62.88
58807,Heroine Anthem Zero,2016-12-23,209,237,62.84
58808,SWORDY,2016-07-21,9,34,62.79
58810,Marooners,2016-09-15,182,233,62.76
58816,The Infinite Black,2016-10-19,139,69,62.64
58817,Escape The Past,2016-09-14,104,20,62.64
58818,Space Run Galaxy,2016-06-17,720,335,62.63
58822,Karma Miwa,2016-08-12,621,18,62.57
58825,Jump Tanks,2016-03-08,8,1,62.51
58827,Bugspeed Collider,2016-10-06,4,1,62.51
58828,Mosaic Maze,2016-02-12,2,1,62.51
58829,Paintey,2016-04-18,3,1,62.51
58831,Subterrarium,2016-05-26,3,1,62.51
58832,ikenie,2016-08-09,11,1,62.51
58833,Gravity Shot,2016-11-09,137,1,62.51
58834,AcrossFlash,2016-09-01,2,1,62.51
58835,Supa Kila Monsta Hunta,2016-10-07,2,1,62.51
58836,Skyway,2016-12-02,3,1,62.51
58837,TacoFace,2016-12-21,3,1,62.51
58838,Baru and the Spirit Prince,2016-12-30,2,1,62.51
58840,Broomball,2016-07-26,8,15,62.45
58841,Space Rogue,2016-09-15,58,157,62.44
58844,Discouraged Workers TEEN,2016-03-22,198,24,62.44
58846,Anime Studio Simulator,2016-11-03,57,23,62.39
58848,Asemblance,2016-06-21,30,42,62.36
58849,The Haunting of Billy Classic,2016-02-26,1886,13,62.35
58850,Broken Blue,2016-12-09,8,13,62.35
58851,Townopolis,2016-04-27,1010,35,62.32
58852,Hero Defense,2016-05-31,203,247,62.31
58854,DOGOS,2016-09-06,210,21,62.3
58855,Metamorphic,2016-07-06,6,11,62.26
58856,REALITY,2016-11-30,8,33,62.23
58857,Mindless Running,2016-02-18,633,139,62.21
58859,IACTURA,2016-08-25,2296,10,62.21
58860,PolyRace,2016-03-24,11,19,62.19
58862,The Last Leviathan,2016-06-22,266,200,62.16
58863,Burly Men at Sea,2016-09-29,32,156,62.15
58864,MiniGolf Mania,2016-03-25,16,37,62.15
58865,Concealed Intent,2016-08-02,8,9,62.15
58866,FrightShow Fighter,2016-11-15,3,9,62.15
58867,Octoshield VR,2016-06-15,5,9,62.15
58868,The Orphan Dreams,2016-04-27,3,18,62.13
58869,Crown and Council,2016-04-22,725,269,62.12
58870,Puzzles Under The Hill,2016-06-11,90,36,62.11
58871,Zombie Camp,2016-08-01,60,8,62.1
58872,InterSection,2016-07-12,2,2,62.1
58873,Terrarium Land,2016-03-29,4,2,62.1
58875,Trap House,2016-06-14,6,2,62.1
58878,ThrounnelVR,2016-09-15,1001,2,62.1
58879,Live In Color,2016-09-12,2,2,62.1
58880,Solitaire 220 Plus,2016-11-04,8,2,62.1
58881,Chicken Chase,2016-10-06,5,2,62.1
58882,VR Laser Harp,2016-11-16,2,2,62.1
58885,Magma Tsunami,2016-06-01,2628,108,62.08
58886,The Minotaur,2016-01-21,657,17,62.07
58887,Tropical Fish Shop 2,2016-03-10,845,7,62.05
58888,Momentum,2016-08-12,31,7,62.05
58889,Rocket Ski Racing,2016-10-13,18,7,62.05
58890,Shuttle Siege,2016-12-30,4,7,62.05
58891,Six Feet Under,2016-09-20,4,7,62.05
58893,Charm Tale Quest,2016-10-27,8,7,62.05
58894,The Odyssey,2016-09-05,48,6,62.0
58895,Polywings,2016-10-04,3,6,62.0
58896,Pawn,2016-12-09,62,6,62.0
58899,Super Cube Smash,2016-08-16,3,3,61.97
58900,Inklings,2016-10-06,3,3,61.97
58901,Saving Harmony,2016-09-26,4,3,61.97
58902,Armor Clash VR,2016-08-09,4,3,61.97
58904,Rocket Craze 3D,2016-11-18,4,3,61.97
58906,Fancy Trangram VR,2016-11-04,2,3,61.97
58907,OneManVurgeR,2016-12-16,9,3,61.97
58908,Dreii,2016-02-02,7,5,61.96
58910,WinKings,2016-10-28,36,5,61.96
58911,Pong Champion VR,2016-07-26,3,4,61.95
58913,Lord of the Seal,2016-09-16,10,4,61.95
58914,Saga of the North Wind,2016-11-17,35,4,61.95
58919,Steam Squad,2016-07-28,156,31,61.85
58921,Cricket Captain 2016,2016-07-05,231,20,61.83
58922,Blight of the Immortals,2016-10-25,35,20,61.83
58923,Frozen State,2016-08-05,120,195,61.8
58924,Bohemian Killing,2016-07-21,32,69,61.78
58925,Imprisoned Light,2016-10-28,21,72,61.74
58926,Spellstone,2016-11-14,2072,149,61.73
58927,Western Press,2016-04-21,248,86,61.7
58929,Crewsaders,2016-11-17,6,12,61.69
58930,RoShamBo Arena,2016-07-14,315,157,61.68
58931,Planet Explorers,2016-11-08,2125,2498,61.67
58932,Werewolves Within,2016-12-06,203,50,61.67
58937,Satellite Command,2016-12-16,40,27,61.59
58938,Children of Orc,2016-12-20,28,27,61.59
58941,Techwars Online,2016-03-17,9,43,61.52
58942,ViveSpray,2016-11-25,15,26,61.52
58943,Copter and Sky,2016-07-22,8,21,61.5
58944,To The Capital,2016-12-28,1595,21,61.5
58945,Party Saboteurs,2016-10-20,402,16,61.5
58946,Marrow,2016-11-26,3,10,61.49
58947,ASTROKILL,2016-05-27,8,25,61.44
58948,Tabletopia,2016-12-01,1207,566,61.42
58949,Bottle,2016-04-21,932,155,61.42
58950,Syndrome,2016-10-06,54,109,61.42
58951,Approaching Blocks,2016-06-04,1501,108,61.39
58952,Galactic Storm,2016-09-17,4,9,61.38
58953,Children of Colossus,2016-12-16,880,9,61.38
58954,Dungeon Fighter Online,2016-08-09,3469,1878,61.36
58955,8i,2016-04-26,16,24,61.36
58956,Expect The Unexpected,2016-12-09,17,28,61.34
58957,Dungeon Rushers,2016-09-06,263,436,61.33
58958,Hover Junkers,2016-04-05,110,301,61.33
58960,Time of Dragons,2016-02-01,365,636,61.27
58961,V ARRR,2016-06-10,12,27,61.26
58962,Sky Valley,2016-08-05,38,27,61.26
58963,Best Buds,2016-12-07,5,8,61.25
58964,Burokku Girls,2016-02-17,24,18,61.21
58966,NORTH,2016-04-27,1800,155,61.12
58967,Virtual Pool 4 Multiplayer,2016-06-13,25,44,61.12
58968,Wolfsong,2016-02-01,6,7,61.11
58969,Project G,2016-05-13,50,7,61.11
58970,Vex,2016-09-13,3,7,61.11
58971,Space Jones VR,2016-08-11,9,7,61.11
58972,Beat Boxer,2016-11-22,4,7,61.11
58974,Hero Battle,2016-04-28,1338,54,61.1
58976,Ball of Wonder,2016-10-28,3329,29,61.09
58979,MilitAnt,2016-07-12,9,12,61.05
58980,Hieroglyphika,2016-02-03,11,53,61.04
58981,Shoppe Keep,2016-05-20,683,1054,61.03
58982,Stay Close,2016-10-14,71,614,61.02
58983,Battleborn,2016-05-03,12101,3699,60.98
58984,Fallen,2016-12-20,1149,24,60.98
58985,Shadows of Kurgansk,2016-12-15,72,77,60.96
58987,MAGATAMA Earrings,2016-06-14,4,6,60.95
58988,Worldy Cup,2016-08-10,3,6,60.95
58989,Finque,2016-11-11,102,6,60.95
58990,Obscuritas,2016-03-17,47,67,60.93
58991,Rugby Challenge 3,2016-06-29,50,41,60.92
58993,Machine Gun Train Run,2016-02-26,90,11,60.9
58994,Zeus Quest Remastered,2016-06-28,412,11,60.9
58996,Haeven,2016-08-05,301,11,60.9
58997,Prospekt,2016-02-18,406,573,60.88
58998,90 Minute Fever,2016-07-12,129,93,60.86
58999,Strange Night,2016-07-27,2299,136,60.84
59000,Unending Galaxy,2016-02-19,141,40,60.84
59004,The Butterfly Sign,2016-12-14,1650,70,60.76
59005,Castle Torgeath,2016-12-15,207,29,60.76
59006,Heroes of Issachar,2016-11-03,7,5,60.76
59007,Andromedum,2016-04-19,2,5,60.76
59008,Crazy Otto,2016-06-13,93,5,60.76
59009,In The Shadow Of The Truth,2016-10-18,2,5,60.76
59010,Stars,2016-08-30,5,5,60.76
59011,Glaive,2016-07-26,3,5,60.76
59012,Cogito,2016-10-15,6,5,60.76
59013,Empyrean,2016-12-01,39,5,60.76
59014,kunlun fight,2016-12-16,4,5,60.76
59015,Tiny Knight,2016-03-17,8,10,60.74
59016,The Impossible Travel Agency,2016-09-02,5,14,60.71
59017,Snooker Nation Championship,2016-04-27,107,105,60.65
59018,Doors,2016-02-12,134,113,60.64
59019,Soccer Manager,2016-02-09,382,82,60.63
59020,Phantaruk,2016-08-16,39,76,60.62
59023,WAR CUBE,2016-09-12,1759,24,60.59
59024,Defense Of Greece TD,2016-11-10,2985,24,60.59
59026,Herding Dog,2016-01-15,114,17,60.59
59027,Magic Quest,2016-05-07,850,17,60.59
59028,Pirate Pop Plus,2016-11-04,91,52,60.58
59029,Trawl,2016-05-13,5,13,60.55
59030,Concrete and Steel,2016-05-27,11,9,60.55
59031,RX squad,2016-07-30,1553,9,60.55
59032,Interfectorem,2016-11-04,4,9,60.55
59033,Independence War Deluxe Edition,2016-08-10,2,4,60.54
59034,UnderEarth,2016-06-22,74,4,60.54
59035,Ego Protocol,2016-02-16,2,4,60.54
59036,Leave The Nest,2016-05-28,9,4,60.54
59037,Con Amore,2016-07-25,98,4,60.54
59038,Crazy Saloon VR,2016-11-30,8,4,60.54
59039,Plankton,2016-10-28,794,33,60.52
59040,Smell of Death,2016-07-04,6,20,60.52
59041,Clown2Beat,2016-10-26,6,16,60.44
59044,Time Machine VR,2016-05-19,17,41,60.42
59045,Gone In November,2016-08-18,1273,141,60.4
59047,Hooligan Vasja,2016-08-19,1081,63,60.36
59048,Maria the Witch,2016-03-01,147,22,60.35
59049,Locked Fears,2016-11-04,22,22,60.35
59051,Hiragana Pixel Party,2016-03-18,170,8,60.34
59052,The Inner Sea,2016-03-30,15,8,60.34
59055,Monsti,2016-09-12,2515,238,60.31
59056,Ant Queen,2016-06-17,44,94,60.3
59057,Defragmented,2016-02-12,24,15,60.28
59058,Hikikomori No Chuunibyou,2016-07-15,228,15,60.28
59059,Fatal Theory,2016-09-14,12,3,60.28
59060,Hacked,2016-11-01,2,3,60.28
59061,Holodaze,2016-05-19,3,3,60.28
59062,The Wire Loop Game VR,2016-08-08,4,3,60.28
59063,Happy Pong,2016-08-22,3,3,60.28
59064,Raging Titan,2016-10-16,6,3,60.28
59065,Viking Escape,2016-11-10,3,3,60.28
59066,Moto Racer 4,2016-11-03,3011,408,60.26
59067,Francisca,2016-07-26,679,126,60.24
59069,Boss Monster,2016-04-28,99,135,60.2
59072,Bridge Constructor Stunts,2016-02-23,14,51,60.09
59073,Clockwork,2016-10-10,83,26,60.07
59074,Panzer Warfare,2016-08-26,1011,26,60.07
59075,Ruckus Ridge VR Party,2016-04-05,8,20,60.06
59076,Chamber 19,2016-10-21,8,17,60.06
59079,Handball 17,2016-11-15,21,39,59.97
59080,DeathCrank,2016-12-15,8,2,59.97
59081,Ninja Outbreak,2016-03-30,72,2,59.97
59082,Quarterback SNAP,2016-08-26,4,2,59.97
59084,The Food Run,2016-12-10,44,2,59.97
59086,Globe Rush,2016-09-02,23,2,59.97
59089,Disposable Heroes,2016-03-22,151,28,59.96
59091,Robot Squad Simulator 2017,2016-10-20,17,57,59.95
59092,Excubitor,2016-05-26,10,10,59.94
59093,Endorlight,2016-04-26,3110,530,59.93
59095,The Nest,2016-06-14,136,69,59.9
59096,Pinball HD Collection,2016-08-03,8,33,59.9
59097,Valiant,2016-05-02,11,19,59.89
59098,Tank Brawl,2016-04-20,7,13,59.89
59099,The Cooking Game,2016-10-21,1342,68,59.84
59100,Fossil Echo,2016-07-08,693,48,59.84
59101,Starship Annihilator,2016-09-03,17248,53,59.83
59102,Pointless,2016-02-22,110,99,59.81
59105,Drone Hunter VR,2016-12-21,6,18,59.71
59106,7 Mages,2016-06-23,30,49,59.7
59107,Chasing Dead,2016-03-03,15,85,59.69
59108,Planet Driller,2016-07-04,441,26,59.69
59110,Wooden House,2016-09-05,7676,110,59.66
59111,Feelings Adrift,2016-03-01,13,31,59.66
59113,Eyestorm,2016-08-26,2,1,59.6
59114,Logic Missile,2016-04-29,1,1,59.6
59115,Dashing Dinos,2016-10-27,3,1,59.6
59116,Infinite Shooter,2016-04-20,4,1,59.6
59117,Spa Mania,2016-06-15,5,1,59.6
59118,Crongdor the Barbarian,2016-07-06,3,1,59.6
59120,Puzzle Nebula,2016-07-06,2,1,59.6
59121,Abandoned Hospital VR,2016-08-04,5,1,59.6
59122,Dungeon of Doom Puzzle,2016-10-28,3,1,59.6
59123,Septic Savages,2016-11-01,3,1,59.6
59124,Beneath The Cherry Trees,2016-10-14,8,43,59.59
59125,Summer Fling,2016-06-16,38,38,59.59
59126,Kung Fu Panda Showdown of Legendary Legends,2016-01-06,10,33,59.59
59128,CURSE,2016-09-02,9,25,59.54
59129,SUPERFIGHT,2016-07-21,3124,143,59.53
59130,SkyTime,2016-12-02,1600,75,59.5
59131,Outrage,2016-04-06,3345,54,59.5
59132,Love in the Glen,2016-06-09,525,22,59.47
59133,Domain Defense,2016-07-14,49,14,59.46
59134,A Long Way Home,2016-05-27,23,14,59.46
59135,Infinitesimal Point,2016-02-03,4,5,59.43
59136,Nanobots,2016-03-15,2759,5,59.43
59137,Medieval Battlefields,2016-06-02,6,5,59.43
59138,Galaxy Cannon Rider,2016-05-10,98,5,59.43
59139,KYOTO TANOJI QUEST,2016-12-24,3,5,59.43
59140,Happy Critters,2016-10-20,2,0,59.42
59142,Octamari Rescue,2016-07-26,4,0,59.42
59143,NeverMine,2016-07-26,2,0,59.42
59144,GravPool,2016-08-30,2,0,59.42
59145,ATV Quadracer Ultimate,2016-11-18,2,0,59.42
59146,Unfazed,2016-09-17,2,0,59.42
59147,NDE Rescue,2016-09-01,1,0,59.42
59148,Aleph Null,2016-08-15,1,0,59.42
59150,Wondee,2016-12-06,2,0,59.42
59152,FIGHTING SPACE,2016-12-20,40,0,59.42
59153,REVIVAL RESET,2016-12-23,2,0,59.42
59154,DinoFense,2016-12-24,3,0,59.42
59155,Borstal,2016-03-22,125,11,59.4
59158,Highland Warriors,2016-03-04,9,19,59.39
59159,Project Graviton,2016-02-15,57,8,59.37
59160,Ascension VR,2016-08-01,8,8,59.37
59161,Wave Magic VR,2016-12-29,14,8,59.37
59164,Virtual Warfighter,2016-09-02,11,26,59.29
59165,CRACKHEAD,2016-11-11,3066,423,59.28
59166,On My Own,2016-02-26,28,56,59.26
59168,Abrix the robot,2016-04-29,736,33,59.26
59169,Puzzle Galaxies,2016-04-29,6223,58,59.24
59170,Assault Suit Leynos,2016-08-30,18,69,59.23
59172,TAIKER,2016-12-01,7,13,59.21
59173,PHAT PHROG,2016-10-27,16,23,59.2
59174,Amulet of Dreams,2016-06-03,105,64,59.18
59175,NAL Is Alive,2016-12-17,2356,10,59.1
59176,CasinoXR,2016-08-04,6,10,59.1
59177,The Night The Carsons Disappeared,2016-10-24,6,10,59.1
59178,ABE VR,2016-06-23,34,116,59.08
59181,BIOS,2016-12-13,22,71,59.04
59183,Graveyard Shift,2016-10-20,3,22,59.01
59184,ReBoot,2016-10-20,138,7,59.0
59185,Sky Tower,2016-04-26,3,4,58.97
59186,Side Quest,2016-02-15,4,4,58.97
59187,Fancy Slingshot VR,2016-08-19,3,4,58.97
59188,Guardian war VR,2016-08-24,3,4,58.97
59189,Sonic Hunter VR,2016-11-23,4,4,58.97
59190,Island Racer,2016-12-15,3,4,58.97
59191,Life in Bunker,2016-02-25,283,126,58.96
59192,Lost Sea,2016-07-05,30,24,58.94
59193,Crush Online,2016-10-10,725,200,58.93
59194,Edgar,2016-03-29,6,12,58.92
59195,Football Mogul 15,2016-09-06,10,12,58.92
59197,Our Wonderful World,2016-11-29,3002,12,58.92
59198,3DRPG,2016-01-12,929,86,58.91
59200,Purgatory,2016-06-22,4242,96,58.89
59201,Skater 2D,2016-11-02,1316,30,58.81
59202,The Secret Monster Society,2016-07-28,69,14,58.79
59203,SurvHive,2016-08-01,24,32,58.78
59204,The Growth Journey,2016-01-07,1324,23,58.75
59205,Blades of the Righteous,2016-03-07,829,9,58.75
59206,Orczz,2016-11-17,955,9,58.75
59207,Bicyclism EP,2016-11-14,33,9,58.75
59209,A Game of Changes,2016-06-02,2711,42,58.68
59210,Football Manager 2017,2016-11-03,72824,4503,58.66
59211,Super Helmets on Fire DX Ultra Edition Plus Alpha,2016-02-15,59,18,58.63
59212,Wanderland,2016-12-20,60,127,58.6
59213,Ace of Protectors,2016-06-27,388,33,58.6
59216,Doritos VR Battle,2016-11-04,6,6,58.55
59217,The Life Of Greather,2016-08-25,2684,47,58.53
