,game,link,release,peak_players,positive_reviews,negative_reviews,total_reviews,rating
21204,Leviathan: The Last Day of the Decade,/app/328270/,Nov 19 2014,133,518,126,126,76.09%
21205,Praetorians,/app/277460/,Apr 11 2014,56,483,117,117,76.06%
21206,Dreamscapes: The Sandman - Premium Edition,/app/289260/,Apr 16 2014,18,191,41,41,76.06%
21207,Konung 2,/app/289360/,Apr 23 2014,21,138,28,28,76.03%
21208,Runers,/app/306550/,Sep 2 2014,275,226,50,50,76.02%
21209,Rising Angels: Reborn,/app/321840/,Sep 12 2014,103,469,114,114,75.97%
21210,GRID Autosport,/app/255220/,Jun 26 2014,"3,554","6,627","1,894","1,894",75.95%
21211,Gardens Inc. 2: The Road to Fame,/app/301260/,May 21 2014,13,47,7,7,75.95%
21212,Strike Suit Zero: Director's Cut,/app/288370/,Apr 8 2014,140,278,64,64,75.89%
21213,Dragons and Titans,/app/263500/,Mar 12 2014,991,"2,688",745,745,75.86%
21214,OMG Zombies!,/app/259870/,Feb 13 2014,246,307,72,72,75.82%
21215,Eradicator,/app/329640/,Nov 6 2014,7,73,13,13,75.79%
21216,Chariot,/app/319450/,Nov 12 2014,59,310,73,73,75.78%
21217,Super Game Jam,/app/288290/,May 22 2014,48,55,9,9,75.71%
21218,Eldevin,/app/298160/,Nov 6 2014,"1,013","1,264",341,341,75.64%
21219,Fight The Dragon,/app/250560/,Dec 4 2014,754,"1,053",281,281,75.62%
21220,Secret Agent,/app/358350/,May 5 2014,8,80,15,15,75.55%
21221,"Sir, You Are Being Hunted",/app/242880/,May 2 2014,744,"2,970",848,848,75.47%
21222,Acceleration of Suguri X-Edition,/app/265170/,Jul 1 2014,111,182,41,41,75.41%
21223,Serena,/app/272060/,Jan 30 2014,"1,418","4,877","1,429","1,429",75.38%
21224,Farm Frenzy 4,/app/296220/,Apr 29 2014,96,312,76,76,75.36%
21225,Words for Evil,/app/335790/,Dec 11 2014,634,359,89,89,75.34%
21226,Signs of Life,/app/263200/,Jan 27 2014,104,615,161,161,75.31%
21227,aerofly RC 7,/app/322930/,Nov 6 2014,25,169,38,38,75.30%
21228,Stargunner,/app/358390/,May 5 2014,64,86,17,17,75.22%
21229,Mega Coin Squad,/app/312510/,Aug 15 2014,21,69,13,13,75.12%
21230,Project Temporality,/app/290320/,May 20 2014,54,85,17,17,75.07%
21231,Killing Floor - Toy Master,/app/326960/,Oct 16 2014,268,25,3,3,75.03%
21232,Braveland Wizard,/app/333880/,Dec 4 2014,86,337,85,85,75.02%
21233,Super Life of Pixel,/app/327260/,Oct 22 2014,61,297,74,74,74.99%
21234,Infinity Wars - Animated Trading Card Game,/app/257730/,Sep 5 2014,"1,635","2,658",780,780,74.96%
21235,Pilot Brothers 2,/app/336770/,Dec 31 2014,6,64,12,12,74.96%
21236,Anomaly Defenders,/app/294750/,May 29 2014,"2,032",427,111,111,74.95%
21237,The Howler,/app/306040/,Jul 4 2014,574,"1,625",466,466,74.94%
21238,Commander : The Great War,/app/312350/,Jul 25 2014,264,209,50,50,74.94%
21239,iO,/app/324070/,Dec 5 2014,862,172,40,40,74.93%
21240,NOBUNAGA'S AMBITION: Souzou with Power Up Kit,/app/288390/,Dec 11 2014,"6,856",115,25,25,74.90%
21241,Last Knight: Rogue Rider Edition,/app/262210/,Oct 3 2014,82,185,44,44,74.80%
21242,OlliOlli,/app/274250/,Jul 22 2014,271,666,182,182,74.79%
21243,Double Dragon Neon,/app/252350/,Feb 6 2014,208,"1,825",533,533,74.75%
21244,Mashed,/app/281280/,Apr 24 2014,20,374,98,98,74.66%
21245,Retro Game Crunch,/app/290040/,May 19 2014,50,325,84,84,74.65%
21246,The Forest of Doom,/app/270490/,Oct 30 2014,70,222,55,55,74.60%
21247,Alchemy Mysteries: Prague Legends,/app/326190/,Dec 22 2014,582,877,248,248,74.58%
21248,Deep Dungeons of Doom,/app/325090/,Oct 14 2014,363,549,150,150,74.57%
21249,Famaze,/app/297210/,May 5 2014,63,306,79,79,74.57%
21250,Red Orchestra 2/Rising Storm Beta Community Maps,/app/324850/,Sep 23 2014,5,14,1,1,74.53%
21251,Millennium 4 - Beyond Sunset,/app/298840/,Sep 19 2014,382,37,6,6,74.51%
21252,[Old Edition] Croixleur Sigma,/app/250640/,Apr 30 2014,117,266,68,68,74.49%
21253,Paper Sorcerer,/app/263560/,Jan 22 2014,759,482,131,131,74.48%
21254,Reversion - The Escape,/app/270570/,Jun 10 2014,606,"1,189",346,346,74.44%
21255,Radiant Defense,/app/302970/,Jul 11 2014,32,92,20,20,74.40%
21256,Putt-Putt and Fatty Bear's Activity Pack,/app/294720/,May 15 2014,15,80,17,17,74.31%
21257,Sentinel 3: Homeworld,/app/275350/,Feb 3 2014,35,106,24,24,74.27%
21258,Game of Thrones - A Telltale Games Series,/app/330840/,Dec 2 2014,"6,771","7,986","2,542","2,542",74.26%
21259,Theatre Of The Absurd,/app/299110/,May 8 2014,25,206,52,52,74.24%
21260,Hero Siege,/app/269210/,Jan 29 2014,"5,015","26,633","8,743","8,743",74.21%
21261,A.I.M.2 Clan Wars,/app/289180/,May 22 2014,22,353,95,95,74.21%
21262,Haunted Past: Realm of Ghosts,/app/288840/,Apr 10 2014,12,131,31,31,74.20%
21263,DreadOut,/app/269790/,May 15 2014,176,"3,654","1,139","1,139",74.19%
21264,Disney Planes,/app/286880/,Oct 6 2014,17,60,12,12,74.17%
21265,The Happy Hereafter,/app/306200/,Jun 5 2014,705,307,82,82,74.12%
21266,LocoCycle,/app/224040/,Feb 14 2014,52,252,66,66,74.09%
21267,Randal's Monday,/app/314810/,Nov 12 2014,188,"1,058",313,313,74.08%
21268,Daedalus - No Escape,/app/315830/,Oct 28 2014,42,108,25,25,74.06%
21269,Ski Region Simulator,/app/270950/,Jan 31 2014,102,369,101,101,74.04%
21270,Darkstone,/app/320320/,Sep 26 2014,54,359,98,98,74.04%
21271,Flyhunter Origins,/app/300620/,Dec 10 2014,200,27,4,4,74.03%
21272,Leona's Tricky Adventures,/app/305880/,Nov 11 2014,6,27,4,4,74.03%
21273,Wings! Remastered Edition,/app/320840/,Oct 17 2014,98,378,104,104,74.00%
21274,Lifeless Planet,/app/261530/,Jun 6 2014,410,"2,574",802,802,73.97%
21275,FATE: Undiscovered Realms,/app/276890/,Apr 17 2014,68,277,74,74,73.97%
21276,Jagged Alliance Gold,/app/283270/,Apr 23 2014,298,313,85,85,73.92%
21277,Assassin's Creed Freedom Cry,/app/277590/,Feb 25 2014,447,"1,551",474,474,73.91%
21278,Dead Rising 3,/app/265550/,Sep 5 2014,"11,418","12,155","3,995","3,995",73.90%
21279,Labyrinthine Dreams,/app/278570/,May 23 2014,926,262,70,70,73.88%
21280,Season Match 3 - Curse of the Witch Crow,/app/320670/,Oct 30 2014,451,113,27,27,73.79%
21281,Heroes Rise: The Hero Project,/app/304290/,Jun 17 2014,111,134,33,33,73.77%
21282,Killer is Dead,/app/261110/,May 23 2014,"4,255","5,954","1,939","1,939",73.73%
21283,Imperial Glory,/app/277450/,Apr 11 2014,135,871,261,261,73.70%
21284,Battle Islands,/app/305260/,Aug 6 2014,"1,002","2,585",821,821,73.66%
21285,Heroes of Steel RPG,/app/291190/,Apr 23 2014,58,208,55,55,73.66%
21286,Bravada,/app/315930/,Aug 22 2014,336,50,10,10,73.66%
21287,Aeon Command,/app/304670/,Jul 3 2014,621,304,84,84,73.64%
21288,Wyv and Keep: The Temple of the Lost Idol,/app/263960/,Aug 8 2014,159,76,17,17,73.64%
21289,Winged Sakura: Mindy's Arc,/app/331390/,Nov 7 2014,73,143,36,36,73.63%
21290,Buzz Aldrin's Space Program Manager,/app/308270/,Oct 31 2014,461,354,100,100,73.54%
21291,Journal,/app/261680/,Feb 17 2014,20,269,74,74,73.53%
21292,Supreme Ruler Ultimate,/app/314980/,Oct 17 2014,302,866,263,263,73.49%
21293,Civil War II,/app/306630/,Jul 3 2014,107,232,63,63,73.48%
21294,Distant Worlds: Universe,/app/261470/,May 23 2014,"1,254","1,326",414,414,73.43%
21295,WAKFU,/app/215080/,Sep 18 2014,"4,078","6,859","2,286","2,286",73.40%
21296,Empress Of The Deep 2: Song Of The Blue Whale,/app/299160/,May 8 2014,12,78,18,18,73.37%
21297,Monster Bash,/app/358210/,May 5 2014,7,45,9,9,73.36%
21298,EPOCH,/app/270510/,Jun 5 2014,834,92,22,22,73.34%
21299,The Witcher Adventure Game,/app/303800/,Nov 27 2014,294,976,302,302,73.31%
21300,Millennium 3 - Cry Wolf,/app/298830/,Aug 29 2014,421,41,8,8,73.30%
21301,Jacob Jones and the Bigfoot Mystery : Episode 2,/app/308180/,Sep 23 2014,4,21,3,3,73.27%
21302,Elastrix,/app/336700/,Dec 18 2014,5,21,3,3,73.27%
21303,Watch_Dogs,/app/243470/,May 27 2014,"47,887","25,844","8,943","8,943",73.25%
21304,Putt-Putt and Pep's Balloon-o-Rama,/app/284000/,Apr 17 2014,9,63,14,14,73.25%
21305,B-17 Flying Fortress: The Mighty 8th,/app/328900/,Oct 30 2014,6,63,14,14,73.25%
21306,UFO: Aftermath,/app/292160/,Apr 23 2014,45,199,54,54,73.24%
21307,Freespace 2,/app/273620/,Jun 6 2014,28,224,62,62,73.17%
21308,Bio Menace,/app/358180/,May 5 2014,9,48,10,10,73.16%
21309,Battle Mages: Sign of Darkness,/app/311060/,Jul 24 2014,879,101,25,25,73.14%
21310,Deadly 30,/app/264730/,Jan 8 2014,770,"1,290",410,410,73.13%
21311,Saturday Morning RPG,/app/263320/,Jan 29 2014,977,395,116,116,73.13%
21312,Neverending Nightmares,/app/253330/,Sep 26 2014,146,"1,984",644,644,73.11%
21313,Super Motherload,/app/269110/,Apr 4 2014,219,580,176,176,73.09%
21314,Detective Case and Clown Bot in: Murder in the Hotel Lisbon,/app/297290/,Jul 17 2014,98,197,54,54,73.09%
21315,Pretentious Game,/app/279540/,May 20 2014,8,226,63,63,73.08%
21316,Defense Zone,/app/312410/,Jul 14 2014,57,55,12,12,73.08%
21317,FINAL FANTASY XIII,/app/292120/,Oct 9 2014,"8,320","11,279","3,878","3,878",73.07%
21318,Elsword,/app/237310/,Jul 2 2014,"2,587","6,820","2,316","2,316",73.07%
21319,The Whispered World Special Edition,/app/268540/,May 6 2014,223,"1,299",416,416,73.01%
21320,Descent: Freespace - The Great War,/app/273600/,May 7 2014,35,163,44,44,72.98%
21321,Muffin Knight,/app/263700/,May 20 2014,33,325,95,95,72.94%
21322,Dokuro,/app/317840/,Dec 8 2014,11,54,12,12,72.84%
21323,Xeodrifter™,/app/319140/,Dec 11 2014,39,599,186,186,72.77%
21324,Wacky Wheels,/app/358380/,May 5 2014,6,105,27,27,72.77%
21325,Aces Wild: Manic Brawling Action!,/app/269230/,Jan 31 2014,65,265,77,77,72.74%
21326,LogiGun,/app/308360/,Jul 22 2014,57,50,11,11,72.74%
21327,Z,/app/275530/,Jul 4 2014,"1,102",874,280,280,72.66%
21328,Realms of the Haunting,/app/292390/,Apr 24 2014,221,356,107,107,72.65%
21329,"7,62 High Calibre",/app/289890/,Apr 30 2014,673,322,96,96,72.64%
21330,Small Town Terrors Pilgrim's Hook Collector's Edition,/app/302110/,Jul 16 2014,13,104,27,27,72.63%
21331,GamersGoMakers,/app/314320/,Aug 8 2014,247,303,90,90,72.62%
21332,Risen 3 - Titan Lords,/app/249230/,Aug 15 2014,"8,011","4,111","1,418","1,418",72.53%
21333,Fenix Rage,/app/294460/,Sep 24 2014,39,129,35,35,72.50%
21334,Always Sometimes Monsters,/app/274310/,May 21 2014,805,"1,794",602,602,72.48%
21335,Quest of Dungeons,/app/270050/,Mar 25 2014,125,523,164,164,72.47%
21336,Amphora,/app/331510/,Nov 12 2014,12,151,42,42,72.46%
21337,Do Not Fall,/app/333130/,Dec 19 2014,7,11,1,1,72.42%
21338,Shadow Ops: Red Mercury,/app/286770/,Jul 2 2014,16,191,55,55,72.38%
21339,Reprisal Universe,/app/319560/,Sep 15 2014,160,304,92,92,72.35%
21340,Putt-Putt and Pep's Dog on a Stick,/app/294710/,May 1 2014,5,45,10,10,72.35%
21341,Disney Epic Mickey 2,/app/245300/,Oct 6 2014,57,551,175,175,72.33%
21342,The Culling Of The Cows,/app/297020/,May 9 2014,"1,483","2,525",867,867,72.32%
21343,Psy High,/app/339510/,Dec 22 2014,88,114,31,31,72.24%
21344,Hostile Waters: Antaeus Rising,/app/267980/,Jan 30 2014,"1,294",316,97,97,72.19%
21345,Crazy Plant Shop,/app/292200/,Aug 4 2014,101,207,61,61,72.18%
21346,The Sands Whisper Your Name,/app/282960/,Nov 27 2014,4,6,0,0,72.17%
21347,Ukrainian Ninja,/app/339000/,Dec 23 2014,591,554,178,178,72.16%
21348,Fearless Fantasy,/app/282100/,May 15 2014,"1,886",791,260,260,72.15%
21349,FarSky,/app/286340/,Apr 25 2014,439,"2,857",997,997,72.12%
21350,Thief Town,/app/331220/,Dec 4 2014,32,132,37,37,72.12%
21351,Hail to the King: Deathbat,/app/327440/,Oct 30 2014,54,160,46,46,72.11%
21352,Paranormal State: Poison Spring Collector's Edition,/app/268810/,Apr 9 2014,160,266,81,81,72.08%
21353,Disney Pirates of the Caribbean: At Worlds End,/app/301980/,Oct 6 2014,27,239,72,72,72.08%
21354,Spoiler Alert,/app/283230/,Jun 30 2014,760,915,305,305,72.06%
21355,Joe Dever's Lone Wolf HD Remastered,/app/279440/,Nov 27 2014,98,542,175,175,72.06%
21356,Mirror Mysteries,/app/291630/,Apr 10 2014,22,187,55,55,72.05%
21357,Feel-A-Maze,/app/333870/,Nov 25 2014,13,87,23,23,72.04%
21358,Ascendant,/app/296930/,May 13 2014,"2,000",159,46,46,72.02%
21359,Dominique Pamplemousse,/app/270310/,Mar 11 2014,71,339,106,106,72.01%
21360,Space Farmers,/app/271570/,Apr 17 2014,"1,961","1,352",462,462,71.97%
21361,Motte Island,/app/291290/,Apr 7 2014,26,67,17,17,71.95%
21362,Sea Legends: Phantasmal Light Collector's Edition,/app/323280/,Sep 17 2014,15,105,29,29,71.88%
21363,Silence of the Sleep,/app/321870/,Oct 1 2014,407,489,159,159,71.84%
21364,OTTTD,/app/312630/,Aug 7 2014,133,253,78,78,71.83%
21365,Cubic Castles,/app/317470/,Aug 13 2014,"1,348","3,143","1,125","1,125",71.73%
21366,The Last Federation,/app/273070/,Apr 18 2014,650,365,117,117,71.72%
21367,Slip,/app/291070/,Apr 29 2014,21,85,23,23,71.71%
21368,Freddi Fish and Luther's Maze Madness,/app/284020/,Apr 17 2014,9,56,14,14,71.69%
21369,The Moon Sliver,/app/329830/,Oct 28 2014,"2,153",722,243,243,71.68%
21370,Season Match,/app/320630/,Sep 15 2014,480,140,41,41,71.64%
21371,Orborun,/app/308580/,Sep 5 2014,99,311,99,99,71.63%
21372,Archeblade,/app/207230/,Apr 25 2014,"3,460","5,650","2,070","2,070",71.62%
21373,Dead State,/app/239840/,Dec 4 2014,"1,408","1,751",618,618,71.61%
21374,Kraven Manor,/app/296630/,Sep 26 2014,48,471,155,155,71.61%
21375,Millennium 2 - Take Me Higher,/app/298820/,Jul 10 2014,212,49,12,12,71.57%
21376,RC Cars,/app/289460/,Apr 23 2014,14,298,95,95,71.55%
21377,Voyage: Journey to the Moon,/app/302180/,Aug 29 2014,16,121,35,35,71.55%
21378,Final Dusk,/app/337420/,Dec 12 2014,592,289,92,92,71.54%
21379,Where is my Heart?,/app/244950/,May 29 2014,28,133,39,39,71.53%
21380,Myths Of Orion,/app/288670/,Dec 3 2014,51,32,7,7,71.49%
21381,Influent,/app/274980/,Mar 20 2014,487,"1,133",397,397,71.41%
21382,Cars 2,/app/301760/,Oct 6 2014,58,530,178,178,71.41%
21383,Homebrew - Patent Unknown,/app/325420/,Nov 14 2014,100,708,243,243,71.35%
21384,Contagion,/app/238430/,Apr 14 2014,"7,624","10,741","4,054","4,054",71.34%
21385,Echo of the Wilds,/app/305780/,Jun 10 2014,179,140,42,42,71.31%
21386,Deadstone,/app/327150/,Nov 12 2014,17,51,13,13,71.24%
21387,Midnight Mysteries: Witches of Abraham - Collector's Edition,/app/332810/,Nov 24 2014,9,38,9,9,71.23%
21388,Actual Sunlight,/app/288040/,Apr 3 2014,"1,990",424,142,142,71.22%
21389,Depth Hunter 2: Deep Dive,/app/248530/,Aug 20 2014,253,712,247,247,71.18%
21390,Gigantic Army,/app/278930/,Mar 6 2014,161,257,83,83,71.17%
21391,Halfway,/app/253150/,Jul 22 2014,189,651,225,225,71.15%
21392,Machines At War 3,/app/303860/,Jul 23 2014,17,57,15,15,71.15%
21393,Hard Truck: Apocalypse Rise Of Clans / Ex Machina: Meridian 113,/app/286810/,Mar 14 2014,277,538,184,184,71.14%
21394,Trace Vector,/app/297410/,Aug 19 2014,40,41,10,10,71.14%
21395,Diehard Dungeon,/app/277870/,Mar 5 2014,"1,146",355,118,118,71.13%
21396,Flockers,/app/260330/,Sep 19 2014,36,147,45,45,71.11%
21397,Get Off My Lawn!,/app/260410/,Nov 11 2014,330,"1,220",438,438,71.05%
21398,8BitBoy,/app/296910/,May 5 2014,220,"1,413",511,511,71.03%
21399,Princess Isabella - Return of the Curse,/app/292670/,Apr 15 2014,11,75,21,21,71.03%
21400,Potatoman Seeks the Troof,/app/328500/,Dec 3 2014,"1,852",578,200,200,71.02%
21401,Shadows on the Vatican - Act I: Greed,/app/286360/,Jun 9 2014,983,529,182,182,71.02%
21402,Moorhuhn - Tiger and Chicken,/app/321940/,Sep 24 2014,6,47,12,12,71.01%
21403,Monochroma,/app/265830/,May 28 2014,37,512,176,176,71.00%
21404,Ubersoldier II,/app/281410/,Mar 25 2014,38,360,121,121,70.98%
21405,Pox Nora,/app/201210/,Oct 15 2014,780,550,191,191,70.91%
21406,Victory At Sea,/app/298480/,Aug 8 2014,347,400,136,136,70.91%
21407,Realms of Arkania 3 - Shadows over Riva Classic,/app/270760/,Jan 10 2014,58,56,15,15,70.90%
21408,Vampires: Guide Them to Safety!,/app/328780/,Oct 22 2014,35,37,9,9,70.88%
21409,Realms of Chaos,/app/358320/,May 5 2014,4,37,9,9,70.88%
21410,O.R.B.,/app/281390/,Mar 13 2014,33,74,21,21,70.83%
21411,Fleet Defender: The F-14 Tomcat Simulation,/app/328930/,Oct 30 2014,4,27,6,6,70.81%
21412,Crowntakers,/app/294370/,Nov 7 2014,170,465,161,161,70.79%
21413,King's Bounty: Dark Side,/app/289520/,Aug 19 2014,"1,282","1,132",412,412,70.76%
21414,Rogue Shooter: The FPS Roguelike,/app/295770/,Apr 24 2014,235,270,90,90,70.75%
21415,UFO: Aftershock,/app/289500/,Apr 16 2014,70,149,47,47,70.72%
21416,Realms of Arkania 2 - Star Trail Classic,/app/270750/,Jan 10 2014,55,46,12,12,70.72%
21417,Schein,/app/321920/,Oct 10 2014,"1,990",236,78,78,70.71%
21418,Moebius: Empire Rising,/app/264520/,Apr 15 2014,196,233,77,77,70.69%
21419,Jet Gunner,/app/314250/,Aug 4 2014,"4,013",454,158,158,70.68%
21420,Rube Works,/app/292090/,Apr 22 2014,21,20,4,4,70.68%
21421,Gridiron Solitaire,/app/266270/,Jan 21 2014,68,61,17,17,70.64%
21422,Rex Rocket,/app/288020/,Aug 5 2014,79,182,59,59,70.63%
21423,Lexica,/app/306680/,Jul 4 2014,60,267,90,90,70.57%
21424,World of Subways 2 – Berlin Line 7,/app/283600/,Jun 13 2014,39,184,60,60,70.56%
21425,World of Subways 3 – London Underground Circle Line,/app/283620/,May 12 2014,58,437,153,153,70.54%
21426,Dead Effect,/app/286040/,Dec 17 2014,"1,032","2,596",989,989,70.51%
21427,Battle Fleet 2,/app/332490/,Nov 20 2014,139,255,86,86,70.50%
21428,Pixel Puzzles: UndeadZ,/app/285010/,Jun 6 2014,"3,153",639,230,230,70.47%
21429,Verde Station,/app/324120/,Dec 18 2014,21,238,80,80,70.46%
21430,Millennium - A New Hope,/app/280140/,Apr 25 2014,"1,967",295,101,101,70.45%
21431,Boo Bunny Plague,/app/313590/,Sep 4 2014,102,202,67,67,70.44%
21432,1954 Alcatraz,/app/255280/,Mar 11 2014,97,"1,091",404,404,70.43%
21433,Agarest Zero,/app/260130/,Apr 17 2014,442,270,92,92,70.42%
21434,Math Rescue,/app/358200/,May 5 2014,5,45,12,12,70.42%
21435,Color Symphony,/app/317410/,Sep 15 2014,167,942,347,347,70.41%
21436,Finn and Jake's Epic Quest,/app/258590/,Apr 11 2014,218,350,122,122,70.37%
21437,Spud's Quest,/app/315610/,Jul 31 2014,28,26,6,6,70.34%
21438,DragonSphere,/app/327940/,Oct 17 2014,5,26,6,6,70.34%
21439,Ether One,/app/265950/,Mar 25 2014,82,314,109,109,70.31%
21440,Collapse,/app/289620/,Apr 11 2014,201,573,207,207,70.30%
21441,Space Hulk Ascension,/app/317620/,Nov 12 2014,389,635,231,231,70.28%
21442,NEOTOKYO°,/app/244630/,Jul 4 2014,900,"1,939",746,746,70.15%
21443,Sledgehammer / Gear Grinder,/app/285520/,Mar 12 2014,62,102,32,32,70.15%
21444,Foresight,/app/315080/,Nov 28 2014,"1,399",35,9,9,70.15%
21445,Richard & Alice,/app/279260/,Jun 5 2014,136,300,105,105,70.13%
21446,Shan Gui,/app/307050/,Aug 19 2014,185,"1,635",629,629,70.05%
21447,Reversion - The Meeting,/app/281060/,Jul 8 2014,"2,145",145,48,48,69.98%
21448,Darkness Within: In Pursuit of Loath Nolder,/app/298930/,Nov 13 2014,106,381,137,137,69.97%
21449,Princess Isabella,/app/292660/,Apr 15 2014,12,109,35,35,69.95%
21450,CAPSULE,/app/303940/,May 29 2014,21,125,41,41,69.88%
21451,Cyto,/app/302650/,Jul 10 2014,574,72,22,22,69.84%
21452,Revolution Ace,/app/274560/,Mar 19 2014,"1,050","1,382",535,535,69.82%
21453,Insanity's Blade,/app/334190/,Dec 5 2014,14,205,71,71,69.81%
21454,It's A Wipe!,/app/330620/,Dec 12 2014,235,94,30,30,69.77%
21455,Royal Defense,/app/291170/,Nov 11 2014,"2,713",249,88,88,69.75%
21456,Amerzone: The Explorer's Legacy,/app/302190/,Aug 22 2014,13,212,74,74,69.73%
21457,TransOcean: The Shipping Company,/app/289930/,Sep 23 2014,"1,304",830,317,317,69.68%
21458,The Guild Gold Edition,/app/39520/,Sep 9 2014,173,341,124,124,69.66%
21459,Carmageddon TDR 2000,/app/331650/,Dec 4 2014,51,297,107,107,69.66%
21460,Wildlife Park 2 - Horses,/app/307770/,Jul 17 2014,31,57,17,17,69.66%
21461,Woah Dave!,/app/315110/,Oct 30 2014,26,85,27,27,69.65%
21462,Cinemaware Anthology: 1986-1991,/app/326590/,Nov 14 2014,25,85,27,27,69.65%
21463,Stronghold Crusader 2,/app/232890/,Sep 22 2014,"5,763","10,219","4,234","4,234",69.55%
21464,Shadow Puppeteer,/app/316480/,Sep 29 2014,41,117,39,39,69.54%
21465,Terrian Saga: KR-17,/app/278640/,Jul 9 2014,812,199,70,70,69.53%
21466,Vlad the Impaler,/app/295850/,Jul 16 2014,100,297,108,108,69.51%
21467,Xsyon - Prelude,/app/297470/,Dec 29 2014,45,266,96,96,69.50%
21468,Faery - Legends of Avalon,/app/303790/,Jun 16 2014,217,502,189,189,69.49%
21469,Raiden III Digital Edition,/app/315670/,Sep 24 2014,26,258,93,93,69.48%
21470,Toast Time,/app/316660/,Aug 27 2014,96,59,18,18,69.45%
21471,CONSORTIUM,/app/264240/,Jan 8 2014,"3,180","1,087",426,426,69.43%
21472,The Detail,/app/319970/,Oct 28 2014,485,475,179,179,69.42%
21473,The Old City: Leviathan,/app/297350/,Dec 3 2014,51,504,191,191,69.38%
21474,Toy Story 3,/app/300820/,Oct 6 2014,212,805,313,313,69.34%
21475,Alea Jacta Est,/app/313660/,Nov 4 2014,35,86,28,28,69.34%
21476,Thieves' Gambit: Curse of the Black Cat,/app/328550/,Oct 17 2014,13,24,6,6,69.33%
21477,NAM,/app/329650/,Nov 6 2014,9,182,65,65,69.18%
21478,Perpetuum,/app/223410/,Oct 17 2014,291,534,206,206,69.13%
21479,Kromaia,/app/285980/,Oct 23 2014,68,82,27,27,69.10%
21480,Panzer Tactics HD,/app/277630/,May 22 2014,77,145,51,51,69.09%
21481,Eschalon: Book 3,/app/257870/,Feb 14 2014,207,63,20,20,69.08%
21482,McDROID,/app/252970/,Sep 5 2014,102,142,50,50,69.04%
21483,Gods Will Be Watching,/app/274290/,Jul 24 2014,"1,082","1,944",796,796,69.02%
21484,Marauder,/app/289600/,Apr 4 2014,109,446,172,172,68.97%
21485,A Golden Wake,/app/307570/,Oct 9 2014,51,195,71,71,68.97%
21486,Rogue's Tale,/app/265990/,Mar 28 2014,190,450,174,174,68.93%
21487,Sportsfriends,/app/277850/,Dec 19 2014,19,46,14,14,68.93%
21488,Supreme Ruler 1936,/app/244410/,May 9 2014,276,202,74,74,68.92%
21489,Bionic Heart,/app/314200/,Aug 13 2014,75,89,30,30,68.92%
21490,A.R.E.S. Extinction Agenda EX,/app/315340/,Oct 3 2014,41,146,52,52,68.91%
21491,Smooth Operators,/app/262900/,Jun 10 2014,205,199,73,73,68.88%
21492,Damned,/app/251170/,Oct 6 2014,"1,038","2,717","1,134","1,134",68.84%
21493,Elliot Quest,/app/293440/,Nov 11 2014,22,130,46,46,68.84%
21494,Battle Mages,/app/302470/,May 30 2014,"1,140",122,43,43,68.80%
21495,Battle Of Europe,/app/321710/,Sep 18 2014,5,17,4,4,68.75%
21496,Disney Tangled,/app/318950/,Oct 6 2014,21,77,26,26,68.64%
21497,Jet Car Stunts,/app/274880/,May 1 2014,21,118,42,42,68.61%
21498,Haunted,/app/260550/,Aug 18 2014,228,74,25,25,68.56%
21499,Mercenary Kings,/app/218820/,Mar 25 2014,846,"1,675",700,700,68.55%
21500,Melissa K. and the Heart of Gold Collector's Edition,/app/321150/,Sep 19 2014,"1,630",525,211,211,68.41%
21501,Vanguard Princess,/app/262150/,Mar 3 2014,674,"2,007",850,850,68.40%
21502,Dream Tale,/app/337450/,Dec 16 2014,3,25,7,7,68.31%
21503,The Crew,/app/241560/,Dec 2 2014,"12,236","10,555","4,701","4,701",68.13%
21504,Starpoint Gemini 2,/app/236150/,Sep 26 2014,"20,842","2,805","1,219","1,219",68.09%
21505,1849,/app/290970/,May 8 2014,131,252,99,99,68.06%
21506,Major Stryker,/app/358300/,May 5 2014,4,30,9,9,68.05%
21507,Royal Quest,/app/295550/,Aug 6 2014,"1,410",965,407,407,68.02%
21508,Fancy Skulls,/app/307090/,Jun 16 2014,337,222,87,87,67.96%
21509,Curse: The Eye of Isis,/app/302210/,Aug 22 2014,7,106,39,39,67.95%
21510,Miko Gakkou: Second Year,/app/331290/,Nov 13 2014,4,13,3,3,67.93%
21511,Retrobooster,/app/310830/,Jul 11 2014,4,10,2,2,67.93%
21512,Proxy Blade Zero,/app/313980/,Jul 28 2014,10,118,44,44,67.91%
21513,Probability 0,/app/258070/,Jun 13 2014,22,48,16,16,67.88%
21514,X-Plane 10 Global - 64 Bit,/app/292180/,Jul 14 2014,439,717,303,303,67.77%
21515,The Samaritan Paradox,/app/283180/,Apr 18 2014,168,153,59,59,67.76%
21516,Wrack,/app/253610/,Sep 30 2014,"1,049",401,166,166,67.65%
21517,3089 -- Futuristic Action RPG,/app/263360/,Jan 10 2014,877,386,160,160,67.59%
21518,My Ex-Boyfriend the Space Tyrant,/app/312970/,Jul 22 2014,12,89,33,33,67.56%
21519,Spate,/app/269810/,Mar 28 2014,16,261,106,106,67.55%
21520,Ionball 2 : Ionstorm,/app/287120/,Jun 6 2014,826,460,193,193,67.54%
21521,Parkan 2,/app/289400/,Apr 16 2014,446,226,91,91,67.54%
21522,Roommates,/app/317300/,Oct 15 2014,154,162,64,64,67.45%
