,game,link,release,peak_players,positive_reviews,negative_reviews,total_reviews,rating
8478,Hard Time,/app/686440/,Aug 16 2017,11,198,27,27,80.57%
8479,Towards The Pantheon: Escaping Eternity,/app/709450/,Oct 25 2017,18,108,12,12,80.56%
8480,旧手表-Old Watch,/app/654260/,Dec 20 2017,89,554,93,93,80.55%
8481,THE 2048,/app/674310/,Jul 13 2017,10,82,8,8,80.54%
8482,DYSTORIA,/app/516580/,Feb 21 2017,11,47,3,3,80.53%
8483,Dies irae ~Amantes amentes~,/app/644540/,Jun 2 2017,283,432,70,70,80.51%
8484,UBERMOSH:WRAITH,/app/586350/,Jan 29 2017,7,197,27,27,80.51%
8485,Causality,/app/559930/,Feb 2 2017,5,31,1,1,80.51%
8486,Crisis in the Kremlin,/app/599750/,Mar 20 2017,"3,095","1,072",197,197,80.47%
8487,Aliens Go Home Run,/app/514340/,Jan 27 2017,53,68,6,6,80.47%
8488,Reigns: Her Majesty,/app/717640/,Dec 7 2017,292,918,166,166,80.46%
8489,Bomb Squad Academy,/app/591380/,Mar 28 2017,52,377,60,60,80.46%
8490,Antagonist,/app/585260/,Mar 17 2017,6,61,5,5,80.46%
8491,Reflex,/app/745740/,Nov 23 2017,"1,528",625,108,108,80.43%
8492,Everything,/app/582270/,Apr 21 2017,629,"2,816",566,566,80.38%
8493,Sentience: The Android's Tale,/app/635850/,Jun 2 2017,814,106,12,12,80.38%
8494,Card Quest,/app/493080/,Nov 7 2017,27,261,39,39,80.36%
8495,Induction,/app/381890/,Feb 7 2017,14,118,14,14,80.36%
8496,The Dragons' Twilight,/app/658050/,Jul 24 2017,7,46,3,3,80.36%
8497,Ticket to Earth,/app/636390/,Jun 28 2017,10,93,10,10,80.34%
8498,Gorescript,/app/618690/,Jun 15 2017,20,60,5,5,80.32%
8499,Power Solitaire VR,/app/584850/,Jun 8 2017,45,30,1,1,80.30%
8500,Fist's Elimination Tower,/app/630460/,Aug 28 2017,66,38,2,2,80.29%
8501,Wacky Wings VR Edition,/app/566900/,Jan 16 2017,3,21,0,0,80.28%
8502,Space Rogue Classic,/app/569200/,Mar 28 2017,3,21,0,0,80.28%
8503,Les Quatre Alices,/app/669280/,Aug 28 2017,3,21,0,0,80.28%
8504,Defenders of Ekron,/app/670060/,Aug 15 2017,11,21,0,0,80.28%
8505,EatWell,/app/678870/,Jul 27 2017,3,21,0,0,80.28%
8506,Lily's Day Off,/app/575650/,Jan 6 2017,17,164,22,22,80.27%
8507,Interplanetary: Enhanced Edition,/app/650220/,Aug 2 2017,370,641,113,113,80.25%
8508,Serious Sam 3 VR: BFE,/app/567670/,Nov 9 2017,52,438,73,73,80.25%
8509,BRAIN / OUT,/app/578310/,Feb 24 2017,"2,032","12,563","2,757","2,757",80.24%
8510,Computer Tycoon,/app/686680/,Oct 12 2017,390,725,130,130,80.24%
8511,CrossCells,/app/632000/,May 26 2017,113,570,99,99,80.24%
8512,Your Bunny Wrote,/app/756440/,Dec 4 2017,9,152,20,20,80.24%
8513,Park Bound,/app/611830/,Nov 30 2017,30,92,10,10,80.24%
8514,Beat Cop,/app/461950/,Mar 30 2017,754,"3,754",778,778,80.23%
8515,Styx: Shards of Darkness,/app/355790/,Mar 14 2017,"1,241","3,796",789,789,80.20%
8516,StarCrawlers,/app/318970/,May 23 2017,465,703,126,126,80.20%
8517,Bouncing Duck Simulator,/app/696560/,Sep 8 2017,34,110,13,13,80.19%
8518,Mystika 3 : Awakening of the dragons,/app/652570/,Jun 23 2017,17,59,5,5,80.18%
8519,MegaGlest,/app/578870/,Apr 1 2017,8,52,4,4,80.17%
8520,Hop Step Sing! kiss×kiss×kiss (HQ Edition),/app/646530/,Jun 30 2017,5,52,4,4,80.17%
8521,My Coloring Book: Transport,/app/739210/,Nov 21 2017,6,52,4,4,80.17%
8522,Duck Season,/app/503580/,Sep 14 2017,83,"1,089",206,206,80.15%
8523,Sundered: Eldritch Edition,/app/535480/,Jul 28 2017,708,"3,631",756,756,80.14%
8524,Counter Fight: Samurai Edition,/app/593210/,Jun 7 2017,10,72,7,7,80.14%
8525,Totemori,/app/588180/,Feb 10 2017,30,266,41,41,80.12%
8526,Road Redemption,/app/300380/,Oct 4 2017,806,"8,894","1,943","1,943",80.11%
8527,THE KING OF FIGHTERS XIV STEAM EDITION,/app/571260/,Jun 15 2017,"1,197","3,128",647,647,80.11%
8528,BIGFOOT,/app/509980/,Jan 31 2017,"1,525","12,964","2,880","2,880",80.09%
8529,Inertia,/app/666330/,Dec 1 2017,18,523,91,91,80.09%
8530,Witch of Ice Kingdom II,/app/568830/,Jan 6 2017,109,78,8,8,80.09%
