id,game,link,release,peak_players,positive_reviews,negative_reviews,total_reviews,rating
35661,Thrusty Ship,/app/942520/,Jan 23 2019,9,38,0,0,83.40%
35662,Seeker,/app/987900/,Jan 1 2019,20,564,70,70,83.38%
35663,We Were Here Together,/app/865360/,Oct 10 2019,"2,930","9,135","1,543","1,543",83.37%
35664,Clam Man,/app/1000640/,May 23 2019,7,116,8,8,83.37%
35665,SD GUNDAM G GENERATION CROSS RAYS,/app/728530/,Nov 27 2019,"10,415","5,903",971,971,83.36%
35666,Try To Fall Asleep,/app/791770/,Mar 8 2019,13,141,11,11,83.36%
35667,GOAT OF DUTY,/app/555000/,Jul 10 2019,"3,018","3,441",544,544,83.35%
35668,Beat Hazard 2,/app/618740/,Oct 16 2019,439,"1,816",270,270,83.34%
35669,"Calm Down, Stalin - VR",/app/1133990/,Sep 12 2019,7,60,2,2,83.34%
35670,Paranormal Detective: Escape from the 80's,/app/1114460/,Dec 12 2019,5,70,3,3,83.33%
35671,Totally Reliable Delivery Service Beta,/app/1106850/,Jun 24 2019,823,"3,184",502,502,83.31%
35672,Super Arcade Racing,/app/1103770/,Oct 15 2019,7,79,4,4,83.28%
35673,Undead Horde,/app/790850/,May 15 2019,683,"1,077",151,151,83.27%
35674,Exception,/app/456390/,Aug 13 2019,5,37,0,0,83.27%
35675,The Curious Tale of the Stolen Pets,/app/1099500/,Nov 14 2019,15,239,24,24,83.25%
35676,Skirmish Line,/app/666820/,Mar 21 2019,43,304,33,33,83.24%
35677,Drowning Cross,/app/1091960/,Jun 7 2019,20,163,14,14,83.24%
35678,Armored Brigade,/app/1089840/,Oct 31 2019,87,253,26,26,83.22%
35679,Age of Fear: The Undead King GOLD,/app/832770/,Jun 11 2019,18,78,4,4,83.19%
35680,Space Smash,/app/1036490/,Mar 7 2019,3,48,1,1,83.19%
35681,CounterAttack,/app/451600/,Mar 12 2019,70,237,24,24,83.17%
35682,HRDINA,/app/1077730/,Jun 26 2019,54,459,56,56,83.16%
35683,Raindancer,/app/1156000/,Oct 30 2019,19,273,29,29,83.16%
35684,NEKO-NIN exHeart 2 Love +PLUS,/app/1027130/,Apr 26 2019,22,104,7,7,83.14%
35685,Winter Polaris,/app/1150550/,Dec 12 2019,8,68,3,3,83.14%
35686,Super Crome: Bullet Purgatory,/app/984450/,Mar 19 2019,5,36,0,0,83.14%
35687,Dreamland Solitaire,/app/1149590/,Sep 19 2019,8,36,0,0,83.14%
35688,Gunkid 99,/app/906600/,Mar 13 2019,11,58,2,2,83.13%
35689,Death Live,/app/1140610/,Sep 13 2019,44,536,68,68,83.11%
35690,Crying Suns,/app/873940/,Sep 19 2019,"1,479","3,082",494,494,83.10%
35691,Hentai Crush,/app/1003520/,Mar 14 2019,"1,166","2,364",370,370,83.10%
35692,Funbag Fantasy 2,/app/1102340/,Nov 21 2019,31,47,1,1,83.07%
35693,小林正雪复仇之密室重制版,/app/899160/,Jan 30 2019,70,270,29,29,83.06%
35694,Lilycle Rainbow Stage!!!,/app/978870/,Mar 15 2019,17,111,8,8,83.04%
35695,Mini Words,/app/1158290/,Oct 24 2019,13,111,8,8,83.04%
35696,Police Stories,/app/539470/,Sep 19 2019,998,"5,776",977,977,83.03%
35697,Snakebird Primer,/app/1014140/,Feb 20 2019,14,151,13,13,83.03%
35698,Stones of Solace,/app/1122880/,Aug 20 2019,9,119,9,9,83.02%
35699,CODE CRACKER 代码破译者,/app/813300/,Mar 26 2019,73,135,11,11,83.01%
35700,The Answer is 42,/app/1199660/,Dec 12 2019,21,127,10,10,83.01%
35701,咕啾！文鸟恋爱物语 Love Story of Sparrow,/app/926310/,Feb 1 2019,24,261,28,28,83.00%
35702,REMOTE LIFE,/app/1126420/,Oct 4 2019,7,196,19,19,83.00%
35703,Giant Bear Rampage!,/app/1065850/,Jun 19 2019,5,35,0,0,83.00%
35704,Dream Flash,/app/1076480/,May 15 2019,6,35,0,0,83.00%
35705,State of War : Warmonger / 蓝色警戒 (Classic 2000),/app/748040/,Jan 17 2019,75,418,51,51,82.99%
35706,Under One Wing,/app/906300/,Feb 28 2019,65,102,7,7,82.99%
35707,Onirism,/app/1057640/,Apr 26 2019,29,274,30,30,82.96%
35708,Wizard Warfare,/app/1056350/,Dec 13 2019,10,46,1,1,82.95%
35709,Poggers,/app/1039200/,Mar 13 2019,5,75,4,4,82.92%
35710,Mystic Vale,/app/908070/,Jan 31 2019,58,307,35,35,82.91%
35711,The Terrible Old Man,/app/1147030/,Oct 10 2019,26,452,57,57,82.86%
35712,National Park Girls,/app/1036580/,Mar 14 2019,17,148,13,13,82.86%
35713,Investi-Gator: The Case of the Big Crime,/app/1043690/,Jul 1 2019,7,34,0,0,82.85%
35714,Cartoon Network Journeys VR,/app/1063530/,Oct 1 2019,9,108,8,8,82.83%
35715,Vision Soft Reset,/app/1005450/,Jan 16 2019,9,74,4,4,82.83%
35716,Last Epoch,/app/899770/,Apr 30 2019,"40,591","16,109","2,932","2,932",82.82%
35717,A Legionary's Life,/app/1058430/,Sep 25 2019,362,"1,647",255,255,82.82%
35718,The Sapling,/app/997380/,Dec 12 2019,90,398,49,49,82.82%
35719,Space Pilgrim Academy: Reunion,/app/1020590/,Mar 29 2019,15,55,2,2,82.80%
35720,They Came From the Sky,/app/1066940/,May 20 2019,6,55,2,2,82.80%
35721,TAKANARIA,/app/1005910/,Jan 15 2019,36,220,23,23,82.79%
35722,"The Princess, the Stray Cat, and Matters of the Heart",/app/1010600/,Jun 18 2019,37,227,24,24,82.78%
35723,Ni no Kuni Wrath of the White Witch™ Remastered,/app/798460/,Sep 19 2019,"1,170","2,848",468,468,82.76%
35724,Gensokyo Defenders,/app/1019920/,Apr 24 2019,58,107,8,8,82.75%
35725,Hentai Secrets,/app/982150/,Jan 31 2019,20,466,60,60,82.74%
35726,Nocked! True Tales of Robin Hood,/app/1073840/,Jul 17 2019,15,64,3,3,82.74%
35727,Deadly Days,/app/740080/,Sep 19 2019,447,"1,029",152,152,82.72%
35728,Un Pas Fragile,/app/1093520/,Jun 24 2019,4,130,11,11,82.71%
35729,StarWheels,/app/1021880/,Jun 19 2019,26,33,0,0,82.70%
35730,MineRalph,/app/1071190/,Aug 5 2019,10,33,0,0,82.70%
35731,Ballex,/app/1114430/,Aug 13 2019,36,373,46,46,82.69%
35732,Sakura MMO 3,/app/1064130/,Jun 7 2019,19,145,13,13,82.69%
35733,vApe Escape,/app/1035890/,Mar 15 2019,7,98,7,7,82.69%
35734,Serious Scramblers,/app/1141130/,Nov 11 2019,6,44,1,1,82.69%
35735,Waltz of the Wizard: Natural Magic,/app/1094390/,Jul 10 2019,55,210,22,22,82.66%
35736,Zeliria Sanctuary,/app/855630/,Jan 7 2019,113,606,83,83,82.65%
35737,Football Manager 2020 Touch,/app/1100620/,Nov 19 2019,"4,641",879,128,128,82.64%
35738,Electronic Super Joy 2,/app/1113940/,Aug 9 2019,200,599,82,82,82.63%
35739,Mr Husky,/app/964210/,Jul 25 2019,35,89,6,6,82.63%
35740,Globesweeper,/app/982220/,Feb 12 2019,107,223,24,24,82.62%
35741,Alluris,/app/1078510/,Oct 11 2019,144,151,14,14,82.60%
35742,反现实症候群γ - Counterrealstic Syndrome γ,/app/1186860/,Nov 17 2019,9,136,12,12,82.60%
35743,Blacksad,/app/1003890/,Nov 14 2019,264,"3,943",675,675,82.59%
35744,Sinking Simulator,/app/1164850/,Oct 23 2019,325,"3,022",507,507,82.59%
35745,6.0,/app/1165860/,Nov 25 2019,9,242,27,27,82.55%
35746,Professor Lupo and his Horrible Pets,/app/741520/,Jul 11 2019,7,43,1,1,82.55%
35747,Ghost Grab 3000,/app/1047580/,Nov 8 2019,5,43,1,1,82.55%
35748,KiKiMiMi/ 听能力搜查官,/app/1072490/,Jul 11 2019,4,43,1,1,82.55%
35749,Power Gunner,/app/900490/,May 17 2019,9,32,0,0,82.55%
35750,Necrolepsy,/app/985590/,Oct 11 2019,9,32,0,0,82.55%
35751,她2 : 我还想再见到你 Her2 : I Want To See You Again,/app/1003750/,Feb 16 2019,47,135,12,12,82.54%
35752,Destiny 2,/app/1085660/,Oct 1 2019,"316,750","445,447","90,251","90,251",82.53%
35753,Classic Racers,/app/1037480/,Mar 26 2019,15,393,50,50,82.53%
35754,Stranger Things 3: The Game,/app/1097800/,Jul 4 2019,95,493,66,66,82.51%
35755,Cooking Simulator,/app/641320/,Jun 6 2019,"3,500","13,119","2,429","2,429",82.50%
35756,Guard Duty,/app/872750/,May 2 2019,25,206,22,22,82.49%
35757,House of 1000 Doors: Family Secrets,/app/1151630/,Sep 5 2019,16,95,7,7,82.45%
35758,東方逆妙乱 ~ Ephemeral Unnatural Balance,/app/834580/,Aug 16 2019,6,70,4,4,82.44%
35759,Vestaria Saga I: War of the Scions,/app/694770/,Dec 27 2019,204,762,111,111,82.43%
35760,7 Sexy Sins,/app/1023740/,Apr 26 2019,67,427,56,56,82.43%
35761,Towertale,/app/980480/,Jul 30 2019,9,61,3,3,82.42%
35762,WarriOrb: Prologue,/app/1193760/,Dec 11 2019,55,337,42,42,82.41%
35763,YOU CAN'T FUCK ON AN EMPTY STOMACH,/app/1018880/,May 15 2019,10,42,1,1,82.41%
35764,Marbles on Stream,/app/1170970/,Nov 6 2019,"1,202","1,339",211,211,82.40%
35765,Idle Wizard,/app/992070/,Jan 24 2019,"1,544","1,017",155,155,82.39%
35766,Monsters of Little Haven,/app/1101930/,Jul 9 2019,9,258,30,30,82.39%
35767,The Witch's Love Diary,/app/972160/,Jul 26 2019,26,78,5,5,82.39%
35768,Space Mayhem,/app/922470/,Jan 17 2019,5,31,0,0,82.39%
35769,Jack-In-A-Castle,/app/1080790/,Jul 12 2019,4,31,0,0,82.39%
35770,Bloodholic,/app/1188710/,Nov 21 2019,4,31,0,0,82.39%
35771,Overpass,/app/773740/,Aug 15 2019,25,102,8,8,82.38%
35772,場外人生,/app/1120370/,Aug 6 2019,36,264,31,31,82.37%
35773,Stamp Boy,/app/946860/,Sep 9 2019,7,86,6,6,82.37%
35774,Gensokyo Night Festival,/app/1122050/,Oct 14 2019,"1,333","3,580",621,621,82.36%
35775,Re.Poly,/app/970300/,Dec 12 2019,15,69,4,4,82.33%
35776,Lofi Ping Pong,/app/1028570/,Mar 12 2019,35,819,122,122,82.32%
35777,Jasmine Summer,/app/913160/,Jan 17 2019,22,109,9,9,82.32%
35778,Conscious Existence - A Journey Within,/app/1093330/,Jun 15 2019,11,508,70,70,82.31%
35779,A Sceptic's Guide to Magic,/app/1074520/,Aug 16 2019,8,51,2,2,82.31%
35780,Darkness and Flame: Enemy in Reflection,/app/1195230/,Dec 25 2019,21,60,3,3,82.30%
35781,Castle Break,/app/1018130/,Feb 19 2019,9,77,5,5,82.29%
35782,Tactical Nexus,/app/1141290/,Nov 11 2019,37,77,5,5,82.29%
35783,Tribes of Midgard - Open Beta,/app/1106880/,Jul 22 2019,"1,083",433,58,58,82.28%
35784,Game Of Puzzles: Animals,/app/1077160/,May 17 2019,23,93,7,7,82.28%
35785,Age of Empires: Definitive Edition,/app/1017900/,Aug 19 2019,"2,708","9,134","1,692","1,692",82.27%
35786,FISHERY,/app/809730/,Sep 26 2019,25,281,34,34,82.27%
35787,Jey's Empire,/app/1051420/,Oct 15 2019,8,41,1,1,82.27%
35788,Hanaby the Witch,/app/1126710/,Oct 18 2019,30,41,1,1,82.27%
35789,THE DEVIL HAUNTS ME,/app/993170/,Jan 7 2019,19,152,15,15,82.25%
35790,When Ski Lifts Go Wrong ,/app/638000/,Jan 23 2019,181,625,90,90,82.24%
35791,Breach: The Archangel Job,/app/1166840/,Nov 14 2019,46,68,4,4,82.23%
35792,West Sweety,/app/1186400/,Dec 13 2019,388,"2,653",455,455,82.22%
35793,Million to One Hero,/app/595270/,Jul 23 2019,7,30,0,0,82.22%
35794,Them Bombs,/app/806900/,Jul 11 2019,14,30,0,0,82.22%
35795,Monster Hunting... For Love!,/app/1029380/,Mar 15 2019,5,30,0,0,82.22%
35796,Tank Maniacs,/app/1046630/,Dec 5 2019,7,30,0,0,82.22%
35797,"Oh Jeez, Oh No, My Rabbits Are Gone!",/app/1199140/,Dec 20 2019,7,30,0,0,82.22%
35798,变量 - Variables,/app/1054800/,Jul 30 2019,"1,541",845,128,128,82.20%
35799,Raccoo Venture,/app/849210/,Dec 11 2019,10,76,5,5,82.20%
35800,Rift Racoon,/app/1025460/,Nov 1 2019,5,59,3,3,82.19%
35801,Exodemon,/app/516820/,Aug 3 2019,10,50,2,2,82.19%
35802,Particle Wars,/app/1160700/,Oct 1 2019,16,50,2,2,82.19%
35803,Feria d'Arles,/app/1181570/,Dec 6 2019,4,50,2,2,82.19%
35804,Boxing School,/app/939990/,Jan 10 2019,476,347,45,45,82.14%
35805,Cthulhu Saves Christmas,/app/1057540/,Dec 23 2019,82,205,23,23,82.14%
35806,Raiders of the North Sea,/app/965600/,Jul 30 2019,60,171,18,18,82.14%
35807,Forgotten Hill Disillusion,/app/1133930/,Nov 20 2019,29,136,13,13,82.14%
35808,Genius! NAZI-GIRL GoePPels-Chan ep1,/app/921430/,Mar 20 2019,8,67,4,4,82.12%
35809,Hypnocult,/app/1127680/,Aug 23 2019,5,40,1,1,82.12%
35810,Disney's Hercules,/app/987400/,May 17 2019,68,346,45,45,82.11%
35811,Hellsplit: Arena,/app/1039880/,Sep 9 2019,147,"2,508",433,433,82.09%
35812,Hunt: Showdown,/app/594650/,Aug 27 2019,"38,802","132,593","27,212","27,212",82.08%
35813,Hobs,/app/1114860/,Aug 19 2019,722,"1,078",171,171,82.07%
35814,Madorica Real Estate,/app/1004150/,Feb 26 2019,23,58,3,3,82.07%
35815,Crawlco Block Knockers,/app/1069850/,Aug 1 2019,6,49,2,2,82.05%
35816,Roombo: First Blood - JUSTICE SUCKS,/app/1004610/,Aug 8 2019,74,268,33,33,82.04%
35817,Invasher,/app/769320/,Jan 25 2019,4,29,0,0,82.04%
35818,GhostGame,/app/843590/,Apr 19 2019,4,29,0,0,82.04%
35819,Militia 2,/app/1070510/,Aug 8 2019,6,29,0,0,82.04%
35820,Golden Rails: Tales of the Wild West,/app/1197710/,Dec 12 2019,9,29,0,0,82.04%
35821,The Jolly Gang's Misadventures in Africa,/app/1048920/,Mar 25 2019,8,90,7,7,82.02%
35822,The Eternal Castle [REMASTERED],/app/963450/,Jan 5 2019,49,565,82,82,82.01%
35823,Big Dipper,/app/984470/,Jan 7 2019,12,141,14,14,82.01%
35824,Corpse Party: Sweet Sachiko's Hysteric Birthday Bash,/app/778400/,Apr 10 2019,55,134,13,13,82.01%
35825,Akash: Path of the Five,/app/1098370/,Oct 1 2019,20,105,9,9,82.01%
35826,Zup! XS,/app/673800/,Apr 17 2019,306,998,158,158,81.99%
35827,Applewood,/app/1107470/,Sep 23 2019,4,39,1,1,81.97%
35828,Singled Out,/app/1144150/,Sep 4 2019,3,39,1,1,81.97%
35829,FlowScape,/app/1043390/,Aug 15 2019,379,"1,068",171,171,81.96%
35830,Dead or School,/app/789760/,Jun 3 2019,624,"2,234",387,387,81.94%
35831,Réussir : Code de la Route,/app/1109840/,Nov 29 2019,77,271,34,34,81.92%
35832,Magnibox,/app/999410/,Mar 26 2019,4,48,2,2,81.92%
35833,Katana Soul,/app/1028300/,Mar 25 2019,4,48,2,2,81.92%
35834,Glitch Arena,/app/1083800/,Jun 2 2019,7,48,2,2,81.92%
35835,Active Neurons,/app/1168630/,Oct 15 2019,4,48,2,2,81.92%
35836,Rising Kingdoms,/app/827050/,Jul 23 2019,17,153,16,16,81.90%
35837,Ravva and the Cyclops Curse,/app/945340/,Jan 15 2019,8,81,6,6,81.90%
35838,Chameleon Run Deluxe Edition,/app/1120950/,Aug 29 2019,21,81,6,6,81.90%
35839,Kaede the Eliminator / Eliminator 小枫,/app/1122040/,Oct 1 2019,92,459,65,65,81.89%
35840,ETHEREAL,/app/751220/,Mar 7 2019,9,118,11,11,81.89%
35841,Feud,/app/863400/,May 21 2019,21,173,19,19,81.88%
35842,River City Girls,/app/1049320/,Sep 5 2019,496,"2,303",403,403,81.86%
35843,Jamestown+,/app/377950/,Dec 12 2019,57,166,18,18,81.86%
35844,Once',/app/411880/,Jan 18 2019,6,103,9,9,81.85%
35845,Little Big Workshop,/app/574720/,Oct 17 2019,"2,774","2,436",429,429,81.84%
35846,Creme de la Creme,/app/1171820/,Nov 27 2019,45,88,7,7,81.84%
35847,Volcanoids,/app/951440/,Jan 29 2019,"2,783","5,266",981,981,81.83%
35848,Constructor Plus,/app/898800/,May 27 2019,83,312,41,41,81.83%
35849,Shovel Knight: King of Cards,/app/1116780/,Dec 10 2019,28,145,15,15,81.83%
35850,阿津,/app/1036960/,Mar 30 2019,26,110,10,10,81.83%
35851,Power Rangers: Battle for the Grid,/app/1110100/,Sep 24 2019,363,"1,131",185,185,81.81%
35852,Dress-up Traveller,/app/1129010/,Sep 6 2019,110,414,58,58,81.81%
35853,Toki,/app/1058320/,Jun 7 2019,24,348,47,47,81.81%
35854,Shattered Lights,/app/1057720/,Jun 11 2019,30,336,45,45,81.81%
35855,Soulscape,/app/1098040/,Jul 26 2019,6,38,1,1,81.81%
35856,Bundle Kitt,/app/1183320/,Nov 8 2019,2,38,1,1,81.81%
35857,Rise of Liberty,/app/775940/,May 30 2019,74,"1,502",254,254,81.79%
35858,Alien Squatter,/app/1131750/,Sep 30 2019,4,64,4,4,81.78%
35859,Heroes of Hellas Origins: Part One,/app/1158260/,Oct 10 2019,12,47,2,2,81.78%
35860,GUN GODZ,/app/522940/,Dec 9 2019,40,524,77,77,81.77%
35861,Battle Grounds III,/app/1057700/,Jun 30 2019,298,"2,709",485,485,81.75%
35862,Sakura Fox Adventure,/app/1157640/,Oct 25 2019,19,157,17,17,81.73%
35863,Fishing Adventure,/app/1101140/,Nov 1 2019,46,"1,134",187,187,81.72%
35864,Pogostuck: Rage With Your Friends,/app/688130/,Feb 28 2019,"1,018","4,279",795,795,81.70%
35865,The Dungeon of Lulu Farea,/app/998220/,Jan 8 2019,75,163,18,18,81.69%
35866,Courier of the Crypts,/app/362940/,Apr 18 2019,10,55,3,3,81.69%
35867,Oik Memory: Endgame,/app/1086450/,May 28 2019,3,55,3,3,81.69%
35868,Wraithslayer,/app/1007630/,May 8 2019,15,71,5,5,81.68%
35869,FutureGrind,/app/355820/,Jan 22 2019,11,63,4,4,81.67%
35870,Dogurai,/app/565180/,May 27 2019,11,63,4,4,81.67%
35871,Grisaia Phantom Trigger Vol.5.5,/app/1039960/,Apr 26 2019,76,63,4,4,81.67%
35872,Sunless Skies,/app/596970/,Jan 31 2019,"2,344","2,505",449,449,81.66%
35873,Trinoline,/app/965010/,Apr 18 2019,21,86,7,7,81.66%
35874,PyroMind,/app/695570/,Aug 27 2019,4,27,0,0,81.66%
35875,BOMBFEST,/app/729640/,Jan 31 2019,7,27,0,0,81.66%
35876,Brother Brother,/app/1147850/,Nov 8 2019,7,27,0,0,81.66%
35877,SpellForce 3: Soul Harvest,/app/817540/,May 28 2019,"1,550","1,746",304,304,81.63%
35878,The logic of the miniature garden,/app/943980/,Jun 19 2019,176,395,56,56,81.62%
35879,It Lurks Below,/app/697550/,May 29 2019,875,"1,037",171,171,81.61%
35880,Valfaris,/app/600130/,Oct 10 2019,148,"1,606",278,278,81.60%
35881,中华三国志,/app/1029500/,Mar 31 2019,439,"1,074",178,178,81.60%
35882,Shine's Adventures 2 (Zombie Attack),/app/1105410/,Sep 27 2019,19,107,10,10,81.59%
35883,Psychedelica of the Ashen Hawk,/app/865830/,Aug 30 2019,36,417,60,60,81.58%
35884,ARIDA: Backland's Awakening,/app/907760/,Aug 16 2019,25,486,72,72,81.57%
35885,Vignettes,/app/944340/,Mar 6 2019,16,70,5,5,81.57%
35886,Blazing Beaks,/app/585710/,May 10 2019,428,"1,746",306,306,81.56%
35887,Dissolving,/app/1077230/,Jun 14 2019,14,321,44,44,81.53%
35888,Beat Aim,/app/1142220/,Nov 1 2019,15,147,16,16,81.53%
35889,Irony Curtain: From Matryoshka with Love,/app/866190/,May 16 2019,63,303,41,41,81.52%
35890,Plunge,/app/1128690/,Aug 23 2019,13,120,12,12,81.52%
35891,Storm Chasers,/app/862800/,Jun 28 2019,66,"1,363",234,234,81.51%
35892,Sticks And Bones,/app/1032730/,Mar 29 2019,5,113,11,11,81.51%
35893,Hentai Jigsaw Puzzle 2,/app/1170340/,Nov 1 2019,10,45,2,2,81.48%
35894,Alternate DiMansion Diary,/app/1015720/,May 24 2019,85,337,47,47,81.47%
35895,RPG Fighter League,/app/550170/,Mar 15 2019,9,26,0,0,81.46%
35896,Ragtag,/app/1013280/,Mar 13 2019,6,26,0,0,81.46%
35897,Sordwin: The Evertree Saga,/app/1029130/,Mar 7 2019,19,26,0,0,81.46%
35898,Super Pig X,/app/1050520/,Jun 20 2019,6,26,0,0,81.46%
35899,We Met in May,/app/1097780/,Sep 30 2019,4,26,0,0,81.46%
35900,Wargroove,/app/607050/,Feb 1 2019,"5,065","3,907",737,737,81.44%
35901,Ain Dodo,/app/1144280/,Sep 11 2019,5,139,15,15,81.44%
35902,HALF DEAD 2,/app/914260/,Aug 2 2019,394,"1,836",327,327,81.43%
35903,Flandre's dream. - 36000 ft deep -,/app/1085340/,Aug 9 2019,13,53,3,3,81.42%
35904,Project Winter,/app/774861/,May 23 2019,"38,794","15,081","3,059","3,059",81.41%
35905,Ballade2: the Celestial Promise / 叙事曲2：星空下的诺言,/app/1080990/,May 24 2019,10,76,6,6,81.40%
35906,3rd eye,/app/1131900/,Sep 30 2019,85,257,34,34,81.38%
35907,Dota Underlords,/app/1046930/,Jun 20 2019,"202,334","74,074","15,823","15,823",81.35%
35908,Cartonfall,/app/839280/,Feb 27 2019,16,104,10,10,81.35%
35909,Rainbow Reactor,/app/789090/,May 16 2019,11,90,8,8,81.35%
35910,Skybolt Zack,/app/909670/,Nov 7 2019,23,90,8,8,81.35%
35911,First Person Tennis - The Real Tennis Simulator,/app/454140/,Apr 11 2019,15,286,39,39,81.34%
35912,Darkness and Flame: The Dark Side,/app/928480/,Apr 11 2019,14,44,2,2,81.33%
35913,Hellink,/app/1020520/,Mar 8 2019,6,44,2,2,81.33%
35914,Mundus - Impossible Universe 2,/app/1079970/,May 18 2019,12,44,2,2,81.33%
35915,Hellsinker.,/app/1067720/,Jul 19 2019,75,163,19,19,81.32%
35916,Darksiders Genesis,/app/710920/,Dec 5 2019,"6,433","8,785","1,753","1,753",81.31%
35917,Jump Off The Bridge,/app/1057780/,May 1 2019,338,188,23,23,81.30%
35918,Marble Trap,/app/1145560/,Sep 2 2019,7,60,4,4,81.30%
35919,Mars Underground,/app/578420/,Mar 14 2019,10,35,1,1,81.30%
35920,Shrine of the God-Ape,/app/1103930/,Jul 16 2019,5,35,1,1,81.30%
35921,STARDROP,/app/552880/,Feb 14 2019,27,206,26,26,81.27%
35922,Volleyball Fever,/app/599590/,Jun 19 2019,14,82,7,7,81.26%
35923,The Donnerwald Experiment,/app/705770/,Oct 31 2019,3,25,0,0,81.25%
35924,"持猫少女凯蒂/Kaidi, armed with a cat",/app/996550/,Jan 13 2019,3,25,0,0,81.25%
35925,Snake vs Snake,/app/1005310/,Mar 29 2019,5,25,0,0,81.25%
35926,Last Shark Standing,/app/1157300/,Oct 28 2019,10,25,0,0,81.25%
35927,Forbidden Love With The Ghost Girl,/app/1180270/,Nov 19 2019,72,168,20,20,81.24%
35928,1 Screen Platformer,/app/791180/,Mar 7 2019,12,351,51,51,81.18%
35929,Putin Life,/app/1151390/,Nov 13 2019,8,264,36,36,81.18%
35930,Tunche: Arena,/app/906200/,Jan 18 2019,67,293,41,41,81.17%
35931,"Its Simple, SHOOT",/app/1034200/,Mar 14 2019,13,59,4,4,81.17%
35932,Spark and The Digital Daydream,/app/1065750/,May 7 2019,11,59,4,4,81.17%
35933,Ballade: with Memories / 叙事曲：难忘的回忆,/app/1091720/,Oct 15 2019,7,43,2,2,81.17%
35934,SENRAN KAGURA Reflexions,/app/981770/,Jun 24 2019,94,356,52,52,81.16%
35935,孙悟空大战机器金刚 / Sun Wukong VS Robot,/app/1008830/,Jan 20 2019,12,81,7,7,81.16%
35936,At Home Alone II,/app/1120360/,Aug 9 2019,9,179,22,22,81.15%
35937,VR Paradise,/app/896890/,Dec 23 2019,971,"1,044",180,180,81.14%
35938,Depixtion,/app/1092780/,Jun 17 2019,13,51,3,3,81.14%
35939,Something for Someone Else,/app/1115980/,Sep 3 2019,19,338,49,49,81.13%
35940,Slapshot,/app/707680/,Mar 8 2019,553,"2,201",409,409,81.12%
35941,Rogue Empire,/app/650940/,Jan 25 2019,340,309,44,44,81.12%
35942,Eldervale,/app/1032830/,Oct 20 2019,8,108,11,11,81.11%
35943,Colorgrid,/app/1172520/,Nov 21 2019,31,108,11,11,81.11%
35944,Voltron: Cubes of Olkarion,/app/1078550/,Aug 29 2019,8,34,1,1,81.11%
35945,A NIGHTMARE'S TRIP,/app/1156630/,Oct 7 2019,3,34,1,1,81.11%
35946,Polyroll,/app/743850/,Oct 29 2019,7,66,5,5,81.10%
35947,DEAD OR ALIVE Xtreme Venus Vacation,/app/958260/,Mar 26 2019,"11,284","20,052","4,208","4,208",81.09%
35948,AFTERBURN,/app/608120/,Dec 11 2019,25,255,35,35,81.06%
35949,Rainswept,/app/772290/,Feb 1 2019,19,207,27,27,81.03%
35950,Winter's Empty Mask - Visual novel,/app/621170/,Mar 4 2019,3,24,0,0,81.03%
35951,5Leaps (Space Tower Defense),/app/1059420/,May 15 2019,6,24,0,0,81.03%
35952,Colloc,/app/1114210/,Jul 19 2019,6,24,0,0,81.03%
35953,Big Brother Is Shaping You,/app/933940/,Apr 12 2019,91,698,116,116,81.00%
35954,Perspectives: Paradise,/app/1016390/,Sep 10 2019,21,139,16,16,81.00%
35955,Argonus and the Gods of Stone,/app/699540/,Oct 8 2019,12,100,10,10,81.00%
35956,Ninja Legends,/app/1053830/,Oct 24 2019,10,50,3,3,81.00%
35957,Storm Tale,/app/1119940/,Jul 26 2019,13,50,3,3,81.00%
35958,Definitely Sneaky But Not Sneaky,/app/954010/,Feb 6 2019,6,42,2,2,81.00%
35959,Rashlander,/app/1054270/,Aug 6 2019,9,42,2,2,81.00%
35960,Armajet,/app/895670/,Oct 8 2019,81,559,90,90,80.99%
35961,Space War: Infinity,/app/1086160/,May 28 2019,4,93,9,9,80.97%
35962,They Came From a Communist Planet,/app/1176460/,Nov 11 2019,14,132,15,15,80.95%
35963,Starfighter: Infinity,/app/967330/,Jul 16 2019,29,106,11,11,80.94%
35964,Azure Reflections,/app/928440/,Sep 20 2019,29,138,16,16,80.93%
35965,A Summer with the Shiba Inu,/app/916030/,Aug 23 2019,3,33,1,1,80.92%
35966,Snow Island,/app/1153840/,Sep 25 2019,4,33,1,1,80.92%
35967,Spooky Station,/app/700100/,Oct 29 2019,35,320,47,47,80.91%
35968,It Moves,/app/1028930/,Feb 21 2019,28,240,33,33,80.91%
35969,Backspace Bouken,/app/1097170/,Dec 13 2019,10,57,4,4,80.90%
35970,The Beast Inside,/app/792300/,Oct 17 2019,794,"6,595","1,341","1,341",80.88%
35971,stikir,/app/952200/,Oct 23 2019,10,180,23,23,80.87%
35972,Steam Prison,/app/977460/,Feb 15 2019,117,279,40,40,80.86%
35973,The Takeover,/app/418620/,Nov 10 2019,24,731,124,124,80.85%
35974,Dead Wishes,/app/1010970/,Feb 1 2019,8,64,5,5,80.85%
35975,Shovel Knight Showdown,/app/1116770/,Dec 10 2019,22,71,6,6,80.84%
35976,Knights of the Temple: Infernal Crusade,/app/1194610/,Dec 25 2019,5,71,6,6,80.84%
35977,House of 1000 Doors: The Palm of Zoroaster,/app/1175160/,Oct 24 2019,13,49,3,3,80.84%
