,id,game,link,Primary Genre,Store Genres,Publisher,Developer,Detected Technologies,Store Asset Modification Time,review_percentage,players right now,24-hour peak,all-time peak,all-time date
237,237,Life After Magic,/app/2332130/,Indie (23),"Casual (4), Indie (23)",Chirashi Games,Team Starlight,Engine.RenPy,1 March 2023 – 05:06:50 UTC (2 months ago) (1677647210),100,1,9,16,2023-03-25T00:40:14+00:00
238,238,Flashback,/app/2252960/,Indie (23),"Casual (4), Indie (23), Strategy (2)",Renka,Renka,"Engine.Unity, SDK.SteamworksNET, SDK.cURL",18 February 2023 – 06:37:00 UTC (2 months ago) (1676702220),92,7,14,119,2023-02-21T13:50:08+00:00
239,239,銀斧 The Honest Elf,/app/1698870/,Action (1),"Action (1), Adventure (25), Indie (23), RPG (3)",Milk Bottle Studio,The Island Games,"Engine.Unity, SDK.SteamworksNET, SDK.UnityBurst, SDK.UnityURP",23 February 2023 – 15:47:16 UTC (2 months ago) (1677167236),96,1,2,17,2023-03-06T12:00:16+00:00
240,240,Swords and Sandals Immortals,/app/1707650/,RPG (3),"RPG (3), Strategy (2)",eGames.com,Whiskeybarrel Studios,Engine.Godot,9 March 2023 – 10:23:31 UTC (last month) (1678357411),88,36,44,326,2023-03-12T20:40:06+00:00
241,241,Ogu and the Secret Forest,/app/1985960/,Adventure (25),"Adventure (25), Early Access (70)",Sinkhole Studio,Moonlab Studio,"Engine.Unity, SDK.SteamworksNET, SDK.UnityURP, SDK.cURL",3 April 2023 – 04:35:55 UTC (12 days ago) (1680496555),93,34,52,235,2023-03-24T14:00:43+00:00
242,242,Neptunia: Sisters VS Sisters,/app/1932160/,Action (1),"Action (1), RPG (3)",Idea Factory International,Idea Factory,"Engine.Unity, SDK.CRIWARE, SDK.UnityBurst",18 January 2023 – 18:36:47 UTC (3 months ago) (1674067007),88,17,21,417,2023-01-24T19:50:04+00:00
243,243,The Missing Parts of Maria Gwozdek,/app/1822530/,Adventure (25),"Adventure (25), Free to Play (37), Indie (23)",Senokos Games,Senokos Games,Engine.RenPy,25 January 2023 – 22:01:39 UTC (3 months ago) (1674684099),96,0,2,12,2023-02-18T21:00:19+00:00
244,244,LoFi Hotel,/app/1983420/,Casual (4),Casual (4),Enchant Games,Enchant Games,"Engine.Unity, SDK.SteamworksNET, SDK.UnityURP, SDK.cURL",9 February 2023 – 13:56:16 UTC (2 months ago) (1675950976),100,0,0,6,2023-02-05T15:30:23+00:00
245,245,Physical Layer,/app/2298210/,Indie (23),"Action (1), Indie (23)",Phoenixx Inc.,RaStar Studio,"Engine.Unity, SDK.SteamworksNET, SDK.cURL",1 March 2023 – 01:14:19 UTC (2 months ago) (1677633259),100,1,3,43,2023-03-16T14:50:13+00:00
246,246,Broken Universe - Tower Defense,/app/1487680/,Strategy (2),"Casual (4), Indie (23), Strategy (2)",Jinthree Studio,Jinthree Studio,Engine.Unity,31 January 2023 – 15:30:43 UTC (2 months ago) (1675179043),90,14,21,387,2023-02-07T13:40:06+00:00
247,247,Dread Templar,/app/1334730/,Action (1),"Action (1), Indie (23)",Fulqrum Publishing,T19 Games,"Engine.Unity, SDK.UnityBurst, SDK.UnityURP",26 January 2023 – 17:57:47 UTC (3 months ago) (1674755867),87,8,19,159,2023-01-29T17:30:06+00:00
248,248,YOLKED,/app/1464010/,Action (1),"Action (1), Adventure (25), Simulation (28)",Hitcents,HardBoiled Studios,"Engine.Unity, SDK.FMOD, SDK.SteamworksNET",19 October 2022 – 19:30:00 UTC (6 months ago) (1666207800),97,0,2,8,2021-11-14T21:50:17+00:00
249,249,Veil of Dust: A Homesteading Game,/app/1593170/,RPG (3),"Adventure (25), Casual (4), RPG (3), Simulation (28)",Calamity Bay Games,Calamity Bay Games,,12 December 2022 – 12:37:14 UTC (4 months ago) (1670848634),98,0,4,14,2022-08-07T18:30:15+00:00
250,250,DESTRUCTURE: Among Debris,/app/1825210/,Action (1),"Action (1), Casual (4), Indie (23)",RockGame S.A.,Team Instant Defeat,"Engine.Unity, SDK.UnityURP, SDK.Wwise",28 February 2023 – 20:04:55 UTC (2 months ago) (1677614695),98,3,8,15,2023-02-27T17:00:15+00:00
251,251,Rich Lady's Slave Role Play,/app/1925010/,RPG (3),"RPG (3), Simulation (28)",Playmeow,Asami,Engine.Unity,24 March 2023 – 02:57:59 UTC (23 days ago) (1679626679),94,5,9,68,2023-03-16T15:50:08+00:00
252,252,Absinthia,/app/1848070/,RPG (3),"Adventure (25), Indie (23), RPG (3)",Team Bewitched,Joshua Keith,"Engine.RPGMaker, SDK.Greenworks, SDK.NWJS, SDK.NodeJS, SDK.Vorbis",23 December 2022 – 23:45:08 UTC (4 months ago) (1671839108),100,1,4,12,2023-03-13T18:40:16+00:00
253,253,XXX_CYBERRAT_XXX,/app/2132430/,Indie (23),"Indie (23), Simulation (28), Strategy (2)",Small Indie Studio,Small Indie Studio,"Engine.Unreal, SDK.CEF, SDK.Intel_OID, SDK.NVIDIA_GeForce_Now, SDK.NVIDIA_Nsight_Aftermath, SDK.NVIDIA_PhysX, SDK.Vorbis, SDK.XAudio2",22 March 2023 – 19:47:16 UTC (24 days ago) (1679514436),93,4,8,37,2023-03-22T20:10:13+00:00
254,254,Netherguild,/app/1464220/,Strategy (2),"Indie (23), RPG (3), Strategy (2), Early Access (70)",David Vinokurov,David Vinokurov,"Engine.Unity, SDK.Discord",27 March 2023 – 09:59:12 UTC (19 days ago) (1679911152),97,1,4,21,2023-03-29T01:00:15+00:00
255,255,Yggdra Union,/app/2107860/,RPG (3),"RPG (3), Simulation (28), Early Access (70)",Sting,Sting,SDK.Vorbis,24 January 2023 – 07:44:16 UTC (3 months ago) (1674546256),93,10,11,118,2023-02-07T15:50:08+00:00
256,256,Song Of The Prairie,/app/1350840/,Simulation (28),"Casual (4), Indie (23), RPG (3), Simulation (28), Early Access (70)",AOE Plus,The Droplet Studio,"Engine.Unity, SDK.UnityBurst, SDK.Wwise",12 April 2023 – 08:41:15 UTC (3 days ago) (1681288875),88,567,669,927,2023-04-10T14:00:05+00:00
257,257,大侠立志传,/app/1948980/,Adventure (25),"Adventure (25), Indie (23), RPG (3), Simulation (28), Early Access (70)",Paleo,半瓶醋工作室,Engine.Unity,10 April 2023 – 07:38:26 UTC (5 days ago) (1681112306),85,"4,563","5,049","28,936",2023-03-12T13:50:05+00:00
258,258,HITLER: BDSM BUNKER,/app/2287650/,Simulation (28),"Adventure (25), Casual (4), Simulation (28)",Romantic Room,Romantic Room,"Engine.Unity, SDK.SteamworksNET, SDK.UnityBurst, SDK.UnityHDRP, SDK.cURL",13 February 2023 – 10:03:26 UTC (2 months ago) (1676282606),93,1,2,403,2023-02-27T20:30:07+00:00
