,id,game,link,Primary Genre,Store Genres,Publisher,Developer,Detected Technologies,Store Asset Modification Time,review_percentage,players right now,24-hour peak,all-time peak,all-time date
2132,2132,While You Are Downloading,/app/749730/,Action (1),"Action (1), Indie (23), Early Access (70)",Alien Nude LTD,Alien Nude LTD,Engine.Unity,22 January 2018 – 07:48:08 UTC (5 years ago) (1516607288),86.0,0,0,3,2018-03-02T21:40:36+00:00
2133,2133,Shadowcrawl,/app/757730/,RPG (3),"Indie (23), RPG (3)",Wicked Cake Games,Wicked Cake Games,Engine.Unity,31 October 2019 – 17:43:06 UTC (4 years ago) (1572543786),86.0,0,0,6,2019-06-21T21:20:07+00:00
2134,2134,Up and Down,/app/776160/,Indie (23),Indie (23),Konstantin Pilipaka,Konstantin Pilipaka,Engine.GameMaker,9 May 2018 – 11:19:09 UTC (5 years ago) (1525864749),86.0,0,0,2,2018-01-21T18:41:12+00:00
2135,2135,The Directed,/app/781670/,Casual (4),"Casual (4), Free to Play (37), Indie (23)",Magnolia Art,Magnolia Art,Engine.Unity,16 April 2018 – 11:06:32 UTC (5 years ago) (1523876792),86.0,0,0,14,2019-07-03T19:00:07+00:00
2136,2136,What Are You Stupid,/app/839570/,Indie (23),"Casual (4), Indie (23)",Beat-Fu Studio,Beat-Fu Studio,Engine.Unity,26 May 2018 – 06:50:38 UTC (5 years ago) (1527317438),86.0,0,1,10,2018-04-22T15:40:21+00:00
2137,2137,Blood Money,/app/886180/,Indie (23),"Adventure (25), Indie (23), RPG (3)",Choice of Games,Choice of Games,Container.Electron,16 June 2018 – 00:47:36 UTC (5 years ago) (1529110056),86.0,0,2,45,2018-07-12T19:30:14+00:00
2138,2138,Dog Jam,/app/895120/,Indie (23),"Casual (4), Indie (23), Strategy (2)",D4 Laboratory,D4 Laboratory,Engine.GameMaker,15 October 2018 – 14:17:15 UTC (5 years ago) (1539613035),86.0,0,0,5,2018-10-13T04:40:26+00:00
2139,2139,Fruit Tower Defense,/app/911760/,Strategy (2),"Adventure (25), Casual (4), Indie (23), Strategy (2)",Fratboy Entertainment,Fratboy Entertainment,"SDK.JVM, SDK.OpenAL",26 July 2018 – 00:26:45 UTC (5 years ago) (1532564805),86.0,0,1,4,2018-11-26T04:30:07+00:00
2140,2140,Kitsune Kitchen,/app/862920/,Casual (4),"Casual (4), Indie (23)",Technomancy Studios,Technomancy Studios,,30 May 2018 – 21:43:29 UTC (5 years ago) (1527716609),82.0,0,1,7,2018-06-07T21:00:26+00:00
2141,2141,Picross Fairytale - nonogram: Red Riding Hood secret,/app/820030/,Casual (4),Casual (4),8Floor,Somer Games,Engine.Unity,18 June 2018 – 08:59:27 UTC (5 years ago) (1529312367),76.0,5,15,"1,128",2022-12-23T00:05:04+00:00
2142,2142,Still Not Dead,/app/337290/,Action (1),"Action (1), Indie (23)",Flying Interactive,Greg Sergeant,Engine.Unity,25 February 2018 – 15:15:39 UTC (5 years ago) (1519571739),77.0,1,3,103,2018-02-19T15:50:09+00:00
2143,2143,DCR: Drive.Crash.Repeat,/app/501850/,Indie (23),"Adventure (25), Casual (4), Indie (23), Racing (9)",Tarboosh Games,Tarboosh Games,"Engine.Cocos, SDK.OpenAL, SDK.Vorbis, SDK.cURL",21 August 2018 – 20:49:18 UTC (5 years ago) (1534884558),,0,0,13,2018-08-22T18:20:18+00:00
2144,2144,Witchcraft,/app/577000/,Action (1),"Action (1), Indie (23), RPG (3), Strategy (2)",Silky Smooth Studio,Silky Smooth Studio,Engine.Unity,15 June 2019 – 17:39:35 UTC (4 years ago) (1560620375),,0,0,118,2017-12-30T02:20:08+00:00
2145,2145,Interstellar Invaders,/app/680190/,Action (1),"Action (1), Casual (4), Indie (23)",Interstellar Tortoise,Interstellar Tortoise,"Engine.Construct, SDK.NWJS, SDK.NodeJS",15 March 2018 – 16:01:54 UTC (5 years ago) (1521129714),,0,0,2,2017-09-21T15:30:49+00:00
2146,2146,Ionball 3,/app/726300/,Casual (4),"Action (1), Casual (4), Indie (23)",Ironsun Studios,Ironsun Studios,Engine.Unity,11 April 2018 – 04:37:54 UTC (5 years ago) (1523421474),,0,0,2,2017-12-16T17:00:36+00:00
2147,2147,LOGistICAL: South Africa,/app/733530/,Casual (4),"Casual (4), Indie (23), Strategy (2)",Sacada,Sacada,"SDK.CEF, SDK.SteamworksNET",13 October 2017 – 01:08:16 UTC (6 years ago) (1507856896),,0,1,8,2018-01-04T22:30:26+00:00
2148,2148,Galactic Orbital Death Sport,/app/738210/,Indie (23),"Action (1), Indie (23), Sports (18)",Plug In Digital,MECH'AT,Engine.Unity,11 September 2019 – 15:52:34 UTC (4 years ago) (1568217154),,0,0,7,2018-04-06T17:10:24+00:00
